#
# File created on 2019-05-18 23:23:41 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
38	North Dakota	035	Grand Forks County	1985	68.650
38	North Dakota	035	Grand Forks County	1990	70.680
38	North Dakota	035	Grand Forks County	1995	71.880
38	North Dakota	035	Grand Forks County	2000	66.110
38	North Dakota	035	Grand Forks County	2005	65.940
38	North Dakota	035	Grand Forks County	2010	66.861
38	North Dakota	035	Grand Forks County	2015	70.916
38	North Dakota	037	Grant County	1985	4.170
38	North Dakota	037	Grant County	1990	3.550
38	North Dakota	037	Grant County	1995	3.240
38	North Dakota	037	Grant County	2000	2.840
38	North Dakota	037	Grant County	2005	2.615
38	North Dakota	037	Grant County	2010	2.394
38	North Dakota	037	Grant County	2015	2.388
38	North Dakota	039	Griggs County	1985	3.640
38	North Dakota	039	Griggs County	1990	3.300
38	North Dakota	039	Griggs County	1995	3.040
38	North Dakota	039	Griggs County	2000	2.750
38	North Dakota	039	Griggs County	2005	2.497
38	North Dakota	039	Griggs County	2010	2.420
38	North Dakota	039	Griggs County	2015	2.314
38	North Dakota	041	Hettinger County	1985	4.020
38	North Dakota	041	Hettinger County	1990	3.440
38	North Dakota	041	Hettinger County	1995	3.020
38	North Dakota	041	Hettinger County	2000	2.720
38	North Dakota	041	Hettinger County	2005	2.486
38	North Dakota	041	Hettinger County	2010	2.477
38	North Dakota	041	Hettinger County	2015	2.704
38	North Dakota	043	Kidder County	1985	3.780
38	North Dakota	043	Kidder County	1990	3.330
38	North Dakota	043	Kidder County	1995	3.040
38	North Dakota	043	Kidder County	2000	2.750
38	North Dakota	043	Kidder County	2005	2.481
38	North Dakota	043	Kidder County	2010	2.435
38	North Dakota	043	Kidder County	2015	2.417
38	North Dakota	045	LaMoure County	1985	6.120
38	North Dakota	045	LaMoure County	1990	5.380
38	North Dakota	045	LaMoure County	1995	5.030
38	North Dakota	045	LaMoure County	2000	4.700
38	North Dakota	045	LaMoure County	2005	4.384
38	North Dakota	045	LaMoure County	2010	4.139
38	North Dakota	045	LaMoure County	2015	4.125
38	North Dakota	047	Logan County	1985	3.260
38	North Dakota	047	Logan County	1990	2.850
38	North Dakota	047	Logan County	1995	2.480
38	North Dakota	047	Logan County	2000	2.310
38	North Dakota	047	Logan County	2005	2.059
38	North Dakota	047	Logan County	2010	1.990
38	North Dakota	047	Logan County	2015	1.935
38	North Dakota	049	McHenry County	1985	7.500
38	North Dakota	049	McHenry County	1990	6.530
38	North Dakota	049	McHenry County	1995	6.320
38	North Dakota	049	McHenry County	2000	5.990
38	North Dakota	049	McHenry County	2005	5.511
38	North Dakota	049	McHenry County	2010	5.395
38	North Dakota	049	McHenry County	2015	5.968
38	North Dakota	051	McIntosh County	1985	4.480
38	North Dakota	051	McIntosh County	1990	4.020
38	North Dakota	051	McIntosh County	1995	3.650
38	North Dakota	051	McIntosh County	2000	3.390
38	North Dakota	051	McIntosh County	2005	3.013
38	North Dakota	051	McIntosh County	2010	2.809
38	North Dakota	051	McIntosh County	2015	2.759
38	North Dakota	053	McKenzie County	1985	8.530
38	North Dakota	053	McKenzie County	1990	6.380
38	North Dakota	053	McKenzie County	1995	5.780
38	North Dakota	053	McKenzie County	2000	5.740
38	North Dakota	053	McKenzie County	2005	5.594
38	North Dakota	053	McKenzie County	2010	6.360
38	North Dakota	053	McKenzie County	2015	12.826
38	North Dakota	055	McLean County	1985	12.900
38	North Dakota	055	McLean County	1990	10.460
38	North Dakota	055	McLean County	1995	9.850
38	North Dakota	055	McLean County	2000	9.310
38	North Dakota	055	McLean County	2005	8.604
38	North Dakota	055	McLean County	2010	8.962
38	North Dakota	055	McLean County	2015	9.744
38	North Dakota	057	Mercer County	1985	14.900
38	North Dakota	057	Mercer County	1990	9.810
38	North Dakota	057	Mercer County	1995	9.470
38	North Dakota	057	Mercer County	2000	8.640
