"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,0.862311179728908,0.763157894736842,0.807319698600646,0.83843797856049,0.837556306306306,0.859176410777834,0.845310944188386,0.849184782608696,0.83116543624214,0.802310654685494,0.810555629978463,0.883272639658555,0.761764705882353,0.763047958036718,0.767134930248916,0.759493670886076,0.789473684210526,0.845595774839031,0.859598853868195,0.818452380952381,0.805885853248004,0.786251977190745,0.810268966006671,0.830946803687472,0.826045627376426,0.819672131147541,0.792199878123096,0.788344818502273,0.855024261705068,0.858538074426697,0.892983699503898,0.860832137733142,0.911172161172161,0.873262105060365,0.895638629283489,0.929961089494163,0.875400820604765,0.923732828043581,0.91540404040404,0.946372239747634,1.00716204118174,1.01303272450533,1.03179029559398,1.02917946574384,0.991605148296985,0.941422594142259,0.940111231160271,0.933870752478847,0.996719518862767,1.00409836065574,1.00471997275488,0.999359592733404,0.988313944306996,0.933870752478847,1.02164009111617,1.06667162676426,1.00608604123934,1.0054908846246,1.04330207334612,1.04275741710297,1.06679035250464,1.05807829946437,1.16343269591301,1.08578697579674,1.08882521489971,1.04124787120148,1.06604513828725,1.09905318578989,1.14298323036187,1.04493207941484,1.16039426523297,1.09635248277554,1.11345445751552,1.15434083601286,1.16137566137566,1.24343832020997,1.31651124520022,1.31744040150565,1.22081623547783,1.20697965526172,1.21307072515667,1.14912397817429,1.13218226711921,1.21307072515667,1.19688809096349,1.19957558720735,1.24081337316631,1.28135454079015,1.30537974683544,1.26839719429249,1.28571428571429,1.27674897119342,1.26083188908146,1.27232142857143,1.25739644970414,1.2289975572425,1.21815087878436,1.26044123427673,1.28308228998216,1.32674306307913
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,0.733270819265001,0.743013957110339,0.751173708920188,0.77807848443843,0.772581653383341,0.77720207253886,0.774793388429752,0.772607764877617,0.760634363762876,0.743494423791822,0.742222074703487,0.741720146304211,0.749293119698398,0.733298097480096,0.728058510638298,0.735667462871872,0.752840909090909,0.747663551401869,0.740693681098449,0.741950045455117,0.739938080495356,0.739592559787422,0.738396624472574,0.736511737159406,0.728951932453617,0.734779566130161,0.747653103081899,0.754005655042413,0.754005655042413,0.756302521008403,0.762453398487689,0.756023086380864,0.747588424437299,0.747699386503067,0.752299605781866,0.753367003367003,0.749267551015179,0.748697916666667,0.751143043762247,0.749318801089918,0.744416873449132,0.75693913929208,0.755336698869632,0.760724980089615,0.766270118964311,0.766270118964311,0.765810276679842,0.765148587621992,0.77720207253886,0.76129252728684,0.749138471177945,0.768321513002364,0.773134328358209,0.786878024085594,0.798095834078312,0.803629836168977,0.808338412909128,0.798319327731092,0.799375028827084,0.799086757990868,0.797152652377588,0.815024805102764,0.828460038986355,0.833559793582275,0.831727681438664,0.820588235294118,0.8125,0.834671033050458,0.814793244030285,0.831404320987654,0.807899461400359,0.794135613927917,0.82737030411449,0.846905537459283,0.840163934426229,0.839710884353742,0.85221878516101,0.846066233705635,0.876229407188903,0.874431726426128,0.870617273734197,0.868711175779282,0.89530728844966,0.87956698240866,0.885335018963338,0.902729181245626,0.914373088685015,0.920245398773006,0.91339648173207,0.93984962406015,0.937174123254374,0.968013468013468,0.970785149117468,0.959467960559826,0.951017811704835,0.966048420767887,0.973551768632245,0.955805779744858,0.962616822429907,0.983502538071066
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.10175763182239,5.26951743648332,5.51232166018158,5.27272727272727,5.18504901960784,5.23513139695712,5.24324324324324,5.19213738734828,5.36869340232859,5.37855665839537,5.37555228276878,5.35607420706164,5.31034482758621,5.2,5.26630760023938,5.08705140419207,5.26951743648332,5.42483660130719,5.479145392698,5.39587852494577,5.35607420706164,5.28219696969697,5.20790912518854,5,4.75866757307954,4.72946428571429,4.75433378653977,5.07142857142857,5.18504901960784,5,4.9,4.791826242786,5.21955128205128,5.00813449023861,5.11037037037037,4.86698578474035,4.72222222222222,4.75866757307954,4.96481481481482,4.94404761904762,5,4.96551724137931,4.96875,4.77255911790943,4.88329248366013,4.75862068965517,4.72901785714286,4.95208333333333,4.72857142857143,4.6875,4.72946428571429,4.94116465863454,4.76470588235294,4.96666666666667,4.95454545454545,4.99875,5.19002450980392,5,4.78473581213307
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06228231657775,2.02933560692181,2.10854033119658,2.09090909090909,2.23245614035088,2.17717717717718,2.20984634383832,2.13963963963964,2.09143968871595,2.09143968871595,2.17518860016764,2.37857142857143,2.35159817351598,2.14857975236708,2.12975098296199,2.20323741007194
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,0.712264150943396,0.688073394495413,0.687616520362373,0.685330922926137,0.710702341137124,0.706014312167939,0.696564885496183,0.683728036669213,0.691618241539099,0.687789799072643,0.67489851150203,0.67971023122776,0.669896239086202,0.681302043906132,0.670580595920805,0.679395167398879,0.688182301062461,0.695952590947,0.687154262350079,0.676305970149254,0.676545300592718,0.672020753987967,0.670477662678337,0.668449197860963,0.667635401797841,0.674603174603175,0.676905186695552,0.675675675675676,0.668906536346976,0.669409124906507,0.668449197860963,0.676095689945938,0.675675675675676,0.672436874812299,0.664652567975831,0.66212578882986,0.668819188191882,0.664715719063545,0.670640834575261,0.66747572815534,0.666666666666667,0.666243654822335,0.664990912753061,0.687743360150296,0.68716577540107,0.6765899864682,0.675675675675676,0.683950315728528,0.677966101694915,0.687547746371276,0.685255920550038,0.686711210096511,0.674715909090909,0.674962292609351,0.708689458689459,0.708037178786222,0.705645161290323,0.705218617771509,0.692459914755429,0.687830687830688,0.69280653367888,0.708502024291498,0.721096296746239,0.702662721893491,0.734367781474962,0.730101646257163,0.712579617834395,0.736708971616614,0.725446428571429,0.725446428571429,0.724907063197026,0.73277381062784,0.744349250931703,0.768765033103824,0.776652075380652,0.791094074950047,0.775465955173594,0.782361308677098,0.792894935752079,0.807111111111111,0.798163154091291,0.79646017699115,0.80138825317498,0.808625336927224,0.802139037433155,0.797682027787312,0.7996632996633,0.821033210332103,0.855151250718966,0.840978593272171,0.85149863760218,0.856060606060606,0.860323886639676,0.851065542106619,0.864478114478115,0.880087871775851,0.889315949428098,0.901038485033598,0.911251980982567,0.911251980982567
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,0.724446786090622,0.747986191024166,0.72265625,0.722815702622894,0.746753246753247,0.739408473221423,0.728319783197832,0.736771600803751,0.742790746162333,0.74424898511502,0.732322137955941,0.724242424242424,0.730423832720284,0.723668297323006,0.72463768115942,0.724340175953079,0.724763037008282,0.729345093067211,0.720164609053498,0.721003134796238,0.721443816638241,0.723241509531989,0.723388848660391,0.719616669086685,0.717967599410898,0.714854817264605,0.719004495524304,0.728175891748806,0.730868443680138,0.727392977392977,0.731334149326805,0.729285428715766,0.725004400633691,0.732459521973786,0.728658536585366,0.723970944309927,0.726527570789866,0.731512220368398,0.73015873015873,0.732459521973786,0.742738589211618,0.74580484773151,0.747879193640709,0.74487895716946,0.735294117647059,0.729736070381232,0.73988272705409,0.744203440538519,0.740662156042621,0.745942571785268,0.756253635834788,0.771929824561403,0.77292817679558,0.774932614555256,0.766947055912914,0.765688048123167,0.76271186440678,0.753465943339361,0.765462339252909,0.785596183332845,0.783699059561129,0.811965811965812,0.817153996504973,0.8193315266486,0.816326530612245,0.818598559266536,0.816013094657658,0.822603719599428,0.820852809181115,0.811798147725076,0.800324476109566,0.805,0.817386550027337,0.8083645443196,0.83737377411814,0.862422997946612,0.861126298523784,0.869867780097425,0.8700408020328,0.860948667966212,0.853314598852999,0.862945051864312,0.87719298245614,0.866269626421224,0.857927247769389,0.876948775055679,0.909130767261892,0.923236514522822,0.93002915451895,0.937519254421756,0.951935081148564,0.919618528610354,0.925174013921114,0.92295559293112,0.943477518636242,0.949754901960784,0.953678474114441,0.985865724381625,0.998336106489185,0.996922208059366
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.921801163213377,0.964102564102564,1.03755102040816,1.0490746860542,1.03365384615385,1.00832343713459,1.04079933388843,0.979166666666667,0.982730263157895,0.949827741984514,1.07591428405116,1.08842495744782,1.0830526427149,1.09931400398241,1.13780207134638,1.12177121771218,1.19442022667829,1.18102996321404,1.1723020944267,1.19442022667829,1.24330753988342,1.26984126984127,1.32350718065004,1.26984126984127,1.33106575963719,1.34699215344377,1.34699215344377,1.16414572393098
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02738363122651,1.03597122302158,1,1.06647570832223,1.08275328692962,1.0010162601626,0.9375,0.981767180925666,0.985611510791367,0.97841726618705,1.03048780487805,1.00571428571429,1.03928571428571,1.0584681052944,1.07930785868782,1.05263157894737,1.08514724711908,1.08147080028839,1.16247755834829,1.09744392884764,1.1002886002886,1.09575489081632,1.1002886002886,1.1043412033511,1.11409395973154
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.905088269262498,0.915728420849281,0.99009900990099,0.872576177285319,0.972322232223222,0.954545454545455,0.953206239168111,0.965686274509804,0.959132610508757,0.961601307189543,0.99009900990099,0.997026805164367,1.02253032928943,1,0.997398091934085,0.956839032527106,0.997398091934085,0.977192362093352,0.92,0.94577871373811,0.951352994831256,0.948160535117057,1.078856152513,1.04166666666667,1.1222559214327
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80952380952381,2.7,2.69230769230769,2.72727272727273,2.8,2.76388888888889,2.72727272727273,2.66666666666667,2.72727272727273,2.7,2.63636363636364,2.6,2.55844155844156,2.52105263157895,2.6,2.61538461538462,2.58333333333333,2.63157894736842,2.66666666666667,2.66611111111111,2.69230769230769,2.7,2.69160526315789,2.69,2.72727272727273,2.7,2.63636363636364,2.75,2.69230769230769
