"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-04-30,1826,"Johnson County","TN",,1540,86200,-0.0137299771167048,-0.0411568409343715,0.0448484848484848,0.0246995502104028,0.0110880943157008,"2018-12","2018-Q4",90000,-0.0422222222222222,"2018-09"
2019-04-30,887,"Bosque County","TX",,1541,130600,-0.00305343511450382,-0.000765110941086458,0.0748971193415638,0.0661712514878001,0.0374746042008403,"2019-02","2019-Q1",131100,-0.003813882532418,"2019-01"
2019-04-30,1623,"Clayton County","IA",,1542,123500,-0.00563607085346216,0.00243506493506494,0.0257475083056478,0.0516691755203718,0.0326089734830304,"2018-09","2018-Q3",127500,-0.0313725490196078,"2018-07"
2019-04-30,2271,"Franklin County","AR",,1543,90900,-0.0010989010989011,0.0719339622641509,0.0656506447831184,0.0104402031655462,0.024153576806242,"2008-07","2008-Q3",109000,-0.16605504587156,
2019-04-30,1886,"Lincoln County","WY",,1544,203900,0.00344488188976378,0.00443349753694581,-0.0538283062645012,0.0150775405359462,0.0098294486977164,"2018-05","2018-Q2",216900,-0.0599354541263255,"2016-07"
2019-04-30,2262,"Fentress County","TN",,1545,87400,-0.00455580865603645,-0.0124293785310734,0.0467065868263473,0.0593855052567478,0.0144754817974584,"2019-01","2019-Q1",88500,-0.0124293785310734,"2018-10"
2019-04-30,2962,"Los Alamos County","NM","Los Alamos",1546,316500,0.00221659278024066,0.026930564568462,0.0962937305161067,0.0480513770808237,0.0129454332249088,"2019-04","2019-Q2",316500,0,"2019-04"
2019-04-30,273,"Pike County","GA","Atlanta-Sandy Springs-Roswell",1547,181500,0,-0.00547945205479452,0.0848774656306037,0.0757248886457258,0.0198584500378558,"2019-01","2019-Q1",182500,-0.00547945205479452,"2018-12"
2019-04-30,1231,"Morgan County","GA","Atlanta-Sandy Springs-Roswell",1548,227500,-0.00219298245614035,-0.0104393214441061,0.0828177058543551,0.0857154347550479,0.0295032186474329,"2019-01","2019-Q1",229900,-0.0104393214441061,"2018-12"
2019-04-30,1560,"Bristol City","VA","Kingsport-Bristol-Bristol",1549,94700,-0.00315789473684211,-0.0186528497409326,-0.0104493207941484,0.0178087410143779,0.00366301375583933,"2018-11","2018-Q4",98600,-0.039553752535497,"2018-01"
2019-04-30,1606,"Chaffee County","CO",,1550,386300,-0.00643004115226337,-0.0122730759396574,0.0937146092865232,0.0939219259627735,0.0460345507998052,"2019-01","2019-Q1",391100,-0.0122730759396574,"2018-12"
2019-04-30,734,"Stone County","MS",,1551,113400,0.00442869796279894,0.0188679245283019,0.00353982300884956,0.00757662405217419,,"2018-06","2018-Q2",116200,-0.0240963855421687,"2018-05"
2019-04-30,102,"Bond County","IL","St. Louis",1552,93600,-0.00742311770943796,0.00106951871657754,0.0184983677910773,0.0324156791192542,0.0135665152256901,"2013-03","2013-Q1",95500,-0.0198952879581152,"2012-09"
2019-04-30,2246,"Delaware County","IA",,1553,147100,0,-0.0114247311827957,0.0194040194040194,0.0394940566533966,0.027636366767956,"2018-12","2018-Q4",149500,-0.0160535117056856,"2018-09"
2019-04-30,1472,"Warren County","IL",,1554,65100,-0.0106382978723404,-0.0283582089552239,0.0533980582524272,0.0171288219732735,0.0144489301252053,"2019-01","2019-Q1",67000,-0.0283582089552239,"2018-11"
2019-04-30,1028,"Gaines County","TX",,1555,161900,0.00123685837971552,0.0074673304293715,0.0807743658210948,0.105615591691688,0.0671832839933699,"2019-04","2019-Q2",161900,0,"2019-04"
2019-04-30,873,"Benzie County","MI","Traverse City",1556,184400,-0.00539374325782093,-0.0133761369716426,0.102211595935445,0.114377254006135,0.0529248117321817,"2019-01","2019-Q1",186900,-0.0133761369716426,"2018-11"
2019-04-30,3201,"Westmoreland County","VA",,1557,177700,-0.00448179271708683,-0.0105790645879733,0.0242074927953891,0.0193022437950503,-0.00167274564264774,"2006-09","2006-Q3",218800,-0.187842778793419,"2005-03"
2019-04-30,3291,"Colonial Heights City","VA","Richmond",1558,169200,-0.00176991150442478,-0.00704225352112676,0.0310786106032907,0.0422127574831952,0.000771585828176713,"2007-08","2007-Q3",182900,-0.074904319300164,"2006-08"
2019-04-30,310,"Rush County","IN",,1559,104900,-0.00285171102661597,-0.00190294957183635,0.0836776859504132,0.0499792926277118,0.0171458271740921,"2019-02","2019-Q1",105300,-0.00379867046533713,"2019-01"
2019-04-30,2655,"Chickasaw County","MS",,1560,80000,-0.0062111801242236,0.0025062656641604,0.147776183644189,0.0553821762490676,,"2019-02","2019-Q1",80700,-0.00867410161090459,"2019-02"
2019-04-30,668,"Parke County","IN",,1561,80700,-0.00738007380073801,-0.0134474327628362,0.133426966292135,0.0765838662288265,,"2019-02","2019-Q1",81900,-0.0146520146520147,"2018-12"
2019-04-30,832,"Andrew County","MO","St. Joseph",1562,158700,-0.00626174076393237,-0.0130597014925373,0.122347949080622,0.0737283693382056,0.0259775456543354,"2019-01","2019-Q1",160800,-0.0130597014925373,"2018-12"
2019-04-30,162,"Frio County","TX",,1563,86400,-0.00803673938002296,-0.0226244343891403,-0.00575373993095512,0.05092269095087,0.0337421039589585,"2017-10","2017-Q4",90800,-0.0484581497797357,"2017-05"
2019-04-30,2662,"Claiborne Parish","LA",,1564,59900,0.00841750841750842,0.0327586206896552,0.0970695970695971,0.0457268565544668,0.0176205854399454,"2005-06","2005-Q2",60800,-0.0148026315789474,"2005-05"
2019-04-30,2158,"Burleson County","TX","College Station-Bryan",1565,124700,-0.000801282051282051,-0.00160128102481986,0.0154723127035831,0.0528291088747899,0.0371339625716369,"2018-10","2018-Q4",127200,-0.0196540880503145,"2018-08"
2019-04-30,2362,"Kalkaska County","MI","Traverse City",1566,95300,0.00210304942166141,0.00315789473684211,0.0683856502242152,0.0591497590896983,0.0326698211191987,"2005-12","2005-Q4",120400,-0.208471760797342,"2004-03"
2019-04-30,1324,"Pitkin County","CO","Glenwood Springs",1567,1136100,0.00194020636740453,0.0140128525526598,0.120414201183432,0.0530853893940715,0.0228333386103252,"2019-04","2019-Q2",1136100,0,"2019-04"
2019-04-30,1613,"Chester County","TN","Jackson",1568,99300,0,0.00100806451612903,0.0195071868583162,0.0342784062278987,0.0174809277363028,"2018-11","2018-Q4",99800,-0.00501002004008016,"2018-09"
2019-04-30,1119,"Jasper County","MS","Laurel",1569,86100,0.0177304964539007,0.048721071863581,-0.0771704180064309,0.0183946779967024,,"2010-10","2010-Q4",101200,-0.149209486166008,
2019-04-30,2032,"Spencer County","KY","Louisville/Jefferson County",1570,204400,-0.00292682926829268,-0.00583657587548638,0.0245614035087719,0.0517828344802935,0.0278528479994498,"2019-02","2019-Q1",205600,-0.00583657587548638,"2018-10"
2019-04-30,384,"Bates County","MO","Kansas City",1571,103600,-0.000964320154291225,0.00484966052376334,0.065843621399177,0.0488995988856578,0.0202260074699163,"2019-03","2019-Q1",103700,-0.000964320154291225,"2019-03"
2019-04-30,799,"Wayne County","TN",,1572,79200,0.00253164556962025,-0.00126103404791929,0.0380078636959371,0.0578030125372564,0.0388498744946031,"2018-12","2018-Q4",79700,-0.00627352572145546,"2018-09"
2019-04-30,2704,"Gilchrist County","FL","Gainesville",1573,137200,0.000729394602479942,-0.00938628158844765,0.0610982211910286,0.0946315804991675,0.0242194894521179,"2019-01","2019-Q1",138500,-0.00938628158844765,"2018-11"
2019-04-30,2130,"Atchison County","KS","Atchison",1574,98400,-0.015015015015015,-0.0381231671554252,0.087292817679558,0.0438423655012874,,"2019-01","2019-Q1",102300,-0.0381231671554252,"2018-12"
2019-04-30,1719,"Garrard County","KY",,1575,124100,0.00812347684809098,0.0073051948051948,0.0625,0.0470778517751669,0.0211140010814592,"2018-10","2018-Q4",125100,-0.00799360511590727,"2018-09"
2019-04-30,293,"Polk County","TN","Cleveland",1576,110100,0.00181983621474067,0.0357478833490122,0.148070907194995,0.0853604408729571,0.0439685839191462,"2019-04","2019-Q2",110100,0,"2019-04"
