"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"Henry County","OH",,1214,1022,0.00491642084562439,0.0159045725646123,0.034412955465587,8194
2019-04-30,"Mineral County","WV","Cumberland",1215,933,0.00107296137339056,0.00214822771213749,-0.00426894343649947,9835
2019-04-30,"Park County","WY",,1216,1189,-0.00418760469011725,-0.0149130074565037,0.0294372294372294,11019
2019-04-30,"Glenn County","CA",,1217,1484,0.0227429359062715,0.0554765291607397,0.105812220566319,6436
2019-04-30,"Madison County","GA","Athens-Clarke County",1218,1110,0.00543478260869565,0.0146252285191956,0.068334937439846,8211
2019-04-30,"Powhatan County","VA","Richmond",1219,1608,0.00437226733291693,0.0125944584382872,0.0380890897353131,10554
2019-04-30,"Dinwiddie County","VA","Richmond",1220,1174,0.000852514919011083,0.00170648464163823,0.0289219982471516,14185
2019-04-30,"Montgomery County","NC",,1221,995,0.00100603621730382,0.00708502024291498,0.0607675906183369,6473
2019-04-30,"Door County","WI",,1222,1002,0.00906344410876133,0.0245398773006135,-0.0166830225711482,5985
2019-04-30,"Le Sueur County","MN","Minneapolis-St. Paul-Bloomington",1223,1435,0.00139567341242149,0.0105633802816901,0.0528246515040352,10907
2019-04-30,"Peach County","GA","Warner Robins",1224,1113,0.005420054200542,0.0118181818181818,0.0229779411764706,7197
2019-04-30,"Barton County","KS","Great Bend",1225,722,-0.00550964187327824,-0.0163487738419619,-0.0411686586985392,9750
2019-04-30,"Wells County","IN","Fort Wayne",1226,1044,0.00191938579654511,0.00384615384615385,0.00675024108003857,10225
2019-04-30,"Garvin County","OK",,1227,807,0.00373134328358209,0.00623441396508728,0.0112781954887218,10727
2019-04-30,"Custer County","OK","Weatherford",1228,927,0.00651465798045603,0.00870511425462459,0.00324675324675325,8686
2019-04-30,"Cherokee County","NC",,1229,1145,-0.0129310344827586,-0.0205303678357571,0.0232350312779267,11954
2019-04-30,"Ashe County","NC",,1230,1159,-0.00855431993156544,-0.0152931180968564,0.0017286084701815,9973
2019-04-30,"Orleans County","VT",,1231,1514,-0.0238555770470664,-0.0213316095669037,0.160153256704981,8286
2019-04-30,"Codington County","SD","Watertown",1232,1192,-0.0124275062137531,-0.0116086235489221,-0.0107883817427386,8694
2019-04-30,"Toombs County","GA","Vidalia",1233,1023,0.00392541707556428,0.00887573964497041,0.0271084337349398,5648
2019-04-30,"Cibola County","NM","Grants",1234,972,-0.00307692307692308,0.00102986611740474,0.0418006430868167,4122
2019-04-30,"Upson County","GA","Thomaston",1235,906,0.00778642936596218,0.0202702702702703,0.0671378091872792,9706
2019-04-30,"White County","GA",,1236,1218,0.00412201154163232,0.0116279069767442,0.0637554585152838,17267
2019-04-30,"Union County","MS",,1237,1048,0.0106075216972035,0.0164888457807953,-0.0269266480965645,1547
2019-04-30,"Baker County","FL","Jacksonville",1238,1318,0.00841622035195103,0.0201238390092879,0.055244195356285,4699
2019-04-30,"Lewis County","NY",,1239,1333,0.00755857898715042,0.0136882129277567,0.0357420357420357,7928
2019-04-30,"Elmore County","ID","Mountain Home",1240,1054,0.00285442435775452,0.0115163147792706,0.0550550550550551,9863
2019-04-30,"Edgefield County","SC","Augusta-Richmond County",1241,1077,0.00279329608938547,0.0112676056338028,0.0748502994011976,8159
2019-04-30,"Anson County","NC",,1242,861,0.00937866354044549,0.0189349112426036,0.0538555691554468,8915
2019-04-30,"Clay County","IN","Terre Haute",1243,849,0.00711743772241993,0.0119189511323004,0.0253623188405797,11202
2019-04-30,"Logan County","KY",,1244,895,0.00223964165733483,0.00674915635545557,0.0394889663182346,6033
2019-04-30,"Juneau County","WI",,1245,966,-0.00206611570247934,0.00940438871473354,0.0627062706270627,9918
2019-04-30,"Grimes County","TX",,1246,1313,0.00305576776165011,0.00613026819923372,0.0186190845616757,3089
2019-04-30,"Somerset County","MD","Salisbury",1247,1344,-0.00148588410104012,0.0112866817155756,0.0847457627118644,14996
2019-04-30,"Jackson County","OK","Altus",1248,671,0.00298953662182362,-0.0103244837758112,-0.0641562064156206,9279
2019-04-30,"Monroe County","GA","Macon-Bibb County",1249,1286,0.00547302580140735,0.0157977883096366,0.0279776179056755,6964
2019-04-30,"San Jacinto County","TX",,1250,1296,-0.0023094688221709,-0.00384319754035357,0.0245059288537549,7490
2019-04-30,"Boone County","IA","Boone",1251,1039,-0.0170293282876064,-0.0325884543761639,-0.0334883720930233,10089
2019-04-30,"Winchester City","VA","Winchester",1252,1396,-0.00285714285714286,-0.00285714285714286,0.0386904761904762,6436
2019-04-30,"Stephens County","GA","Toccoa",1253,1090,0.00739371534195933,0.0158434296365331,0.0792079207920792,8240
2019-04-30,"Randolph County","IN",,1254,779,0.00776196636481242,0.0169712793733681,0.0400534045393858,9641
