SizeRank,RegionID,RegionName,RegionType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
0,102001,United States,Country,0.919965202261853,0.9191673425250068,0.926829268292683,0.9322033898305084,0.9370277078085643,0.9380863039399625,0.9340252038547072,0.9328114807566862,0.925764192139738,0.9215686274509803,0.9178630265944928,0.9140625,0.9108635097493036,0.9096989966555183,0.9130434782608695,0.9187423438138016,0.9254627313656828,0.9306930693069307,0.9313556398758193,0.9289990900818926,0.925,0.9229583975346687,0.9220872051465332,0.920830551846907,0.9194159004867496,0.9212283044058746,0.9292035398230089,0.9375157755058379,0.9463157894736842,0.9505703422053232,0.9518987341772152,0.9500510652447569,0.9485224022878932,0.9478672985781991,0.9471766848816029,0.9457627118644067,0.9447058823529412,0.9466666666666667,0.952683391552874,0.9583333333333334,0.9631413224671236,0.9662288930581614,0.9662980516061085,0.964156710197277,0.9607686148919136,0.9567723342939481,0.9526372443487621,0.9493390958706066,0.9459459459459459,0.948200416264785,0.9537210756722951,0.9585853885528153,0.9633802816901409,0.9663865546218487,0.9647058823529412,0.9615384615384616,0.9574468085106383,0.9535135135135135,0.9513227513227513,0.9486166007905138,0.9470899470899471,0.9501900380076015,0.9583991574512901,0.9643835616438357,0.9693877551020408,0.9712380158399333,0.9697986577181208,0.9666731111540744,0.9634749215892405,0.96,0.9578544061302682,0.9564449676280165,0.9545454545454546,0.9565217391304348,0.9642207398423287,0.9699201964395334,0.9742647058823529,0.9761904761904762,0.9755015608089372,0.972940103374886,0.9696428571428571,0.9672727272727273,0.9651352823135653,0.9625,0.9605351355460193,0.9629012088370155,0.9696969696969697,0.975,0.9788430637386181,0.980980980980981,0.9798994974874372,0.9765109527579836,0.9737470167064439,0.970873786407767,0.9687755102040816,0.9666666666666667,0.9649749821300929,0.9688888888888889,0.9753363228699552,0.9798994974874372,0.9828300769686205,0.98399599899975,0.981675392670157,0.9771986970684039,0.972972972972973,0.9689922480620154,0.9653333333333334,0.9615384615384616,0.9591194968553459,0.9633197480548351,0.9695290858725761
1,394913,"New York, NY",Msa,0.9,0.8987239165329053,0.8982474021926667,0.9090909090909091,0.9118541033434651,0.9221704576596328,0.9227467811158798,0.92,0.9127457627118644,0.9102902374670184,0.9108773589521033,0.9054820415879017,0.9,0.9002025461356338,0.8974358974358975,0.9039242219215156,0.9062610961241382,0.913211317517269,0.9212202128089979,0.92,0.9093576217034051,0.9022556390977443,0.8954154727793696,0.8908045977011494,0.8836524300441826,0.8899183703485807,0.8913886080215706,0.9001350205031505,0.9090909090909091,0.9183673469387755,0.9279731993299832,0.9261576971214017,0.9220882456176573,0.919732441471572,0.9170670987283227,0.918854415274463,0.9144820406038522,0.919732441471572,0.9150883166631198,0.925728878484784,0.9382716049382716,0.9460526315789474,0.9500039583504862,0.9538461538461539,0.9510528403743086,0.9459152194486438,0.9418837675350702,0.9388049388650224,0.9375,0.9355587392550143,0.9365853658536586,0.936109248959017,0.95000095000095,0.9565217391304348,0.9580838323353293,0.9564449676280165,0.949748743718593,0.9433962264150944,0.939688591487294,0.9388794567062818,0.9370717433979037,0.9370988446726572,0.9370393767108866,0.9453221365903259,0.94972067039106145,0.9549795361527967,0.9610027855153204,0.959349593495935,0.9548347984237647,0.9496605900511419,0.944468056153136,0.9435146443514645,0.9413037518292817,0.9411764705882353,0.9444451940047172,0.9471644904575043,0.955955955955956,0.9603694070157485,0.964696223316913,0.9633805500857524,0.959773765982971,0.9573493975903614,0.9537458388798645,0.9518210456504919,0.95009500950095,0.9508035368529753,0.9523809523809523,0.9590909090909091,0.9651930386077215,0.9686618584077749,0.9717151698514847,0.9714285714285714,0.9674320992131124,0.965243069537548,0.9623085983510011,0.9620738186806521,0.9587020648967551,0.9555555555555556,0.9598853868194842,0.964036860399321,0.969932345894797,0.9733333333333334,0.9749303621169917,0.9715994020926756,0.9671669793621013,0.9639542884549084,0.9599332220367279,0.9566574211087908,0.9519230769230769,0.9500022670508768,0.9506172839506173
2,753899,"Los Angeles-Long Beach-Anaheim, CA",Msa,0.9619065941112883,0.9550138225684845,0.9661286656058196,0.9699624530663329,0.9692489543553373,0.9685614480787551,0.9690225385355404,0.9647495361781077,0.9585693461010623,0.9556563350466059,0.9509746012994684,0.9456608695652174,0.9464400946440095,0.940219071315403,0.9456264775413712,0.9501039457026602,0.9513888888888888,0.9512195121951219,0.9508196721311475,0.9488413789587281,0.942079553384508,0.9452054794520548,0.9440009440018879,0.9454545454545454,0.9442896935933147,0.9482758620689655,0.9511568123393316,0.9592326139088729,0.9657102869139258,0.9742605554301197,0.9764705882352941,0.9784283513097073,0.9795918367346939,0.9824561403508771,0.9836612204068023,0.9855233853006682,0.9907144814674538,0.9986248564794734,1,1,1.0001222856943206,1.0002222716159146,1,1,0.9983330246341915,0.9876388753906338,0.9816632709761067,0.9796610169491525,0.9763152782120116,0.979498861047836,0.983510011778563,0.9855072463768116,0.9860212552423616,0.9844961240310077,0.9836065573770492,0.9791666666666666,0.9758134157891805,0.9733333333333334,0.9717868338557993,0.9705882352941176,0.9696969696969697,0.9762202753441802,0.9814814814814815,0.9868253079507279,0.989506072874494,0.9897172236503856,0.9886363636363636,0.9874213836477987,0.9852738765212923,0.9808102345415778,0.9782608695652174,0.9795918367346939,0.9782152653092073,0.9818181818181818,0.9880632636340968,0.9904038246571698,0.9930103639431188,0.992462311557789,0.9929078014184397,0.9891544486844748,0.9864431813245382,0.9839831401475237,0.9830729166666666,0.9801591171118125,0.9801960392078416,0.9836038694868011,0.9911111111111112,1,1,1,1,0.9946742343357152,0.9908433394671927,0.990625,0.9894736842105263,0.987765883261388,0.9881319585528925,0.9938554530410292,1,1,1,1,0.994413407821229,0.990990990990991,0.9838998211091234,0.9807692307692307,0.975,0.9711779448621554,0.969143782279759,0.973554375814604,0.9797493158273322
3,394463,"Chicago, IL",Msa,0.8804276427552153,0.8769959051093282,0.8792589320227511,0.8870967741935484,0.8930124673818498,0.907900701754386,0.9045226130653267,0.9019673224408136,0.9003751563151313,0.8915169894827701,0.8836594819675333,0.8798496240601503,0.8702011418645892,0.8806157027882291,0.8793588927048828,0.8799638989169675,0.8924663957486715,0.8997429305912596,0.8931800198396616,0.8995494610606942,0.885785744060025,0.8857142857142857,0.8757297748123436,0.8826990976853668,0.8790170132325141,0.8779728828628585,0.8775981524249422,0.8934953538241601,0.9079858417974762,0.9186519190773303,0.9210686601963982,0.9212730318257957,0.921899651238844,0.9175257731958762,0.9171597633136095,0.9205020920502092,0.9130434782608695,0.9170487703209671,0.9237411539924131,0.9312320916905444,0.9434285921426371,0.9515767274241049,0.9546165884194053,0.9524892020913844,0.9522889109890773,0.9495982468955442,0.9417040358744395,0.9387503847337643,0.9371685261718186,0.9391831455784945,0.9377930603313536,0.9481481481481482,0.9553158705701078,0.9585853885528153,0.9566290156783659,0.9549795361527967,0.9483793517406963,0.9411764705882353,0.9365079365079365,0.9312320916905444,0.9254627313656828,0.9285714285714286,0.9318323952470294,0.9464368157235192,0.955955955955956,0.9595959595959596,0.9562974163085575,0.953125,0.9483730267660277,0.9437523593808984,0.9400544959128065,0.9352115105766436,0.9295415959252971,0.9311224404498986,0.9437751004016064,0.9553072625698324,0.961153384060873,0.9636363636363636,0.9625,0.96045197740113,0.9555555555555556,0.9517105999536453,0.9485251590514748,0.9439929982495623,0.9404388714733543,0.9444444444444444,0.9531772575250836,0.9626500666963095,0.9687337151371963,0.9700532429987135,0.9687679943884908,0.9640102827763496,0.9604438786088219,0.9565217391304348,0.9517241379310345,0.9498069498069498,0.9444444444444444,0.9449694274596998,0.9576271186440678,0.9685534591194969,0.9711595055915244,0.9719839908519153,0.9696048632218845,0.9649749821300929,0.96,0.9559804357492219,0.95,0.9425088379064939,0.9379660518911979,0.9443777511004402,0.9544072948328267
4,394514,"Dallas-Fort Worth, TX",Msa,0.9744160301605954,0.9748155953635406,0.9872855510750238,0.9867922004080404,0.9904989517819707,0.9837298842428538,0.9738933333333334,0.9674583969640951,0.9765975696926376,0.9598604044357468,0.9577094824349692,0.941923076923077,0.944029432668794,0.948020008336807,0.9552502120441052,0.9609587923201368,0.9633096774193548,0.9634205016506565,0.957796875,0.96,0.9568167941794179,0.9544516658437998,0.9515072933549433,0.9575606420209984,0.9673814890581317,0.9760475651189128,0.9690612878200155,0.9794301675977654,0.980701754385965,0.9820369079894233,0.9814136986301369,0.9818823529411764,0.9810907097835023,0.971832,0.9739656283552953,0.9815208690680389,0.9779310344827586,0.9808492875592943,0.9847562895927602,0.9891878172588833,0.9884378378378378,0.9868451612903226,0.9851223656116945,0.9836580149141569,0.9810940113750418,0.9770738469044152,0.974025974025974,0.9729003630496168,0.9677715745301952,0.9694333664686239,0.9726418137915425,0.9819398188836951,0.9846676243959775,0.9827098078867543,0.9836065573770492,0.9779310344827586,0.9781648439583889,0.9661743151790296,0.9675013737231419,0.975716707232097,0.9722960431440556,0.9754599631519274,0.9859479198035406,0.9846153846153847,0.9916666666666667,1.0002733564013842,0.9889056268224861,0.9883745080500894,0.9846768883449688,0.9763163246694027,0.9779561498698965,0.9729004269616408,0.9738946427064878,0.9782998336897125,0.9881175734834271,0.9898916914812869,0.9955505004549591,0.9933333333333333,0.9917,0.9900200133422281,0.9838709677419355,0.9816590245935807,0.9714186497816036,0.9715651948051949,0.9795188490201617,0.9788488416687928,0.9836612204068023,0.9900413043478261,0.988359375,0.9914893617021276,0.9892148792698472,0.980980980980981,0.9799095881011484,0.973532986071186,0.9733654048370137,0.971861225621521,0.9722298956414979,0.9767441860465116,0.9815176470588235,0.9895833333333334,0.9906661009758168,0.9868558753383336,0.9824865999109271,0.9777444361090273,0.9750243756093903,0.9724687388352983,0.9705882352941176,0.9682760920306769,0.9678870967741936,0.977398909184855,0.9823336134453782
5,394974,"Philadelphia, PA",Msa,0.9185898695649284,0.9142857142857143,0.9197022863095565,0.9307583157578678,0.9366234462805514,0.941316291982907,0.9342712684106397,0.9245986624118158,0.923432089265102,0.9176470588235294,0.9147212958551691,0.9099653712966526,0.9036144578313253,0.8970976253298153,0.8979489744872436,0.9007380652319418,0.9172413793103448,0.9237634685597531,0.9252313078269567,0.9149392423159399,0.9076338923162409,0.9051929490233445,0.8992767341391195,0.9004739336492891,0.8933155237796667,0.8951965065502183,0.9,0.906816760475297,0.92,0.9296869059325867,0.9336445481827276,0.929144385026738,0.9235505387378142,0.9198997493734336,0.9203681472589036,0.9236363636363636,0.9174311926605505,0.9193844962740734,0.9213618245402926,0.9312248776991867,0.9414225941422594,0.95,0.9545727482678984,0.9466019417475728,0.9421509399004898,0.9383565758743175,0.9303959627329192,0.9310747225647349,0.9285714285714286,0.9249060150375941,0.9298622091709962,0.936,0.9451513803965166,0.9554640794710129,0.9523752820966442,0.9484484484484484,0.9425625920471281,0.9396998348586652,0.9335111449799962,0.92828147243088,0.9245225826007881,0.9236970355858765,0.9289031797070382,0.9441410121737811,0.954653937947494,0.9554777388694348,0.958716111813457,0.9518072289156626,0.9433962264150944,0.9433962264150944,0.9413333333333334,0.9378907878282617,0.9308141150319533,0.9333333333333333,0.9363653388460706,0.9503167722574192,0.9611612397018439,0.9654755647096265,0.9646302250803859,0.9619161370066027,0.9578270192994996,0.9551020408163265,0.9514515735545255,0.95,0.9463869463869464,0.942015146811601,0.9519038076152304,0.9611111111111111,0.967741935483871,0.9719839908519153,0.9705882352941176,0.966183574879227,0.9633895102441131,0.9615791448852896,0.957533185095344,0.9554140127388535,0.9536679536679536,0.9504752376188094,0.9578602130681653,0.9649749821300929,0.9731543624161074,0.9777171441564347,0.9752216412821095,0.9735449735449735,0.9687836383207751,0.9629031916582862,0.96,0.9563953488372093,0.95,0.9484030439462057,0.9534072440213606
6,394692,"Houston, TX",Msa,0.9445822911455728,0.9372916690211146,0.9494734651404787,0.951328112849085,0.96086,0.9551138888888889,0.9456891108681132,0.943939393939394,0.9304904904904905,0.9238507209499576,0.9117058823529411,0.9165154639175258,0.9040285899935023,0.9140290894821121,0.918827747863459,0.9265661781152199,0.9200762267746546,0.9202109347980877,0.9126544240400668,0.9194277539341917,0.9224763289402848,0.9220622381168433,0.9180219216543777,0.9216398546964193,0.9154962962962963,0.9343478260869565,0.9263655943283697,0.9295826186392224,0.9395729729729729,0.9509831716833891,0.9470395634379263,0.9534827862289832,0.953021052631579,0.9374838709677419,0.9370825819829507,0.9355925378935095,0.9437217993079585,0.9417189403545412,0.944930747539993,0.9482506811989101,0.95466,0.9550878089505019,0.9548936478978356,0.9494333333333334,0.9573755656108597,0.9491228070175438,0.9387431410223123,0.9350447422241434,0.9420289855072463,0.9394778761061947,0.95275,0.9642857142857143,0.9655143932039628,0.9716352108627511,0.9689763779527559,0.9717434226147361,0.9644348209771278,0.9552377777777777,0.9496312121212122,0.9583333333333334,0.9722856453170261,0.9690802033676866,0.9703903903903904,0.9706816560888365,0.9773379629629629,0.9816965402250938,0.9724797808349711,0.9721172408924333,0.9652509652509652,0.9563851093210587,0.9612650579252799,0.9541195998331458,0.9565122832233297,0.9551759513894346,0.9655686206896552,0.9729150369404607,0.9713881194213604,0.971669860263387,0.9721179694931414,0.9684808238294595,0.9606012292913257,0.9498456869719876,0.9518220677554325,0.9503856749311295,0.9506081601231716,0.951203506097561,0.9599935989758361,0.9604321968907623,0.9683174489127448,0.9639175257731959,0.9681457286432161,0.9596069141094608,0.9534818666689644,0.9563416856492027,0.9573048699132756,0.9516058252427184,0.9565217391304348,0.9566184649610678,0.9604802401200601,0.9696333333333333,0.9702677549583087,0.9686575342465753,0.9666337611056268,0.9623576568670469,0.9615384615384616,0.950458341834369,0.9469298245614035,0.9456727272727272,0.9498612440191387,0.9582297006684104,0.9559392285134221
7,395209,"Washington, DC",Msa,0.949874686716792,0.9508950837900088,0.9534368070953437,0.9643226473629782,0.9652768467623005,0.9657565806895821,0.9608020516844058,0.9574468085106383,0.9549150245610073,0.9549295774647887,0.9549575792351966,0.9523771724914762,0.9460737937559129,0.9447068711213451,0.9551823604923355,0.9621466561712937,0.9638116021094745,0.9665859577656621,0.963502565065065,0.960256068284876,0.950354609929078,0.9473813675005744,0.9493670886075949,0.9492775238047166,0.9421796682048221,0.9482740784164971,0.9565217391304348,0.9693877551020408,0.9740018345966301,0.9763454516589934,0.9742118749423191,0.970873786407767,0.9713187224790646,0.9707241910631741,0.9706774519716885,0.9690937663698271,0.9662714097496706,0.9695856297203511,0.9793876913464542,0.9871742413508293,0.9904153354632588,0.9941975932003703,0.9913541796437025,0.9870967741935484,0.9832691967213,0.9814033442725426,0.9764467730412003,0.9740932642487047,0.9658502932045533,0.9714526264459882,0.9795918367346939,0.9851470142467414,0.9883786839372407,0.9874542568958959,0.982159096814426,0.9771707771056305,0.971996705107084,0.9707317073170731,0.9673776148915001,0.961038961038961,0.9595959595959596,0.9643672295595414,0.9750243756093903,0.9827115559599636,0.9863040720659508,0.9849977269283224,0.9808056444888433,0.9765823690233978,0.9722222222222222,0.9705882352941176,0.9687512109405274,0.9644736842105263,0.9628438728117185,0.9643674403399803,0.9753236242490162,0.9845662586482171,0.9883305548940224,0.9863851069741595,0.9859649122807017,0.9803921568627451,0.9769914414739596,0.9777375092330166,0.9759699624530663,0.9712380158399333,0.9709090909090909,0.9739726027397261,0.9837373885787051,0.9919839679358717,0.9926729323304608,0.9921752738654147,0.9884678747940692,0.983974814617794,0.9826086956521739,0.98236592755507,0.9805194805194806,0.974903474903475,0.9733405432632835,0.9785915492957746,0.9888611047965447,0.9995555555555555,1,1,0.9938742342792849,0.9876971029510111,0.984,0.9820371354885853,0.978865406006674,0.9738234632043772,0.9748030871178304,0.9801819534849536,0.9890322580645161
8,394856,"Miami-Fort Lauderdale, FL",Msa,0.8764607679465777,0.8671484265039892,0.8705701078582434,0.8672086720867209,0.8858753945634519,0.8921417565485362,0.906829268292683,0.9127324749642346,0.9065332916536417,0.9045226130653267,0.9066666666666666,0.9039836567926456,0.9060402684563759,0.9047619047619048,0.8934953538241601,0.8947368421052632,0.8954477238619309,0.898989898989899,0.9034147040816867,0.9129965592743197,0.9161290322580645,0.9099181073703366,0.9148084619782733,0.9169213670464018,0.9194159004867496,0.9192825112107623,0.9181969949916527,0.92,0.9239599759705639,0.9287864549782165,0.9341117597998332,0.9380863039399625,0.9384615384615385,0.9427993059572006,0.9422850412249706,0.9392265193370166,0.9420289855072463,0.9375,0.9373106534828152,0.9407526020816653,0.9429143143000072,0.9426306773006337,0.9497354497354498,0.9523809523809523,0.951859681060656,0.9502222222222222,0.9483793517406963,0.9454776112994574,0.9433962264150944,0.9408941651932307,0.9382239382239382,0.9368421052631579,0.9386092389462286,0.9426702577914583,0.9403761504601841,0.9411764705882353,0.9411764705882353,0.9408194233687405,0.9375,0.9373354397051079,0.9348659003831418,0.9342141631026155,0.9347959783945665,0.9357798165137615,0.9428571428571428,0.9454949944382648,0.9446398874016882,0.944,0.9448160535117057,0.9433962264150944,0.9433962264150944,0.9422222222222222,0.9399024367363212,0.9384615384615385,0.9422492401215805,0.9411792387706086,0.9426702577914583,0.9463276836158192,0.9469148437958395,0.9468085106382979,0.9455587392550143,0.9444444444444444,0.9444221310387915,0.9423704240666908,0.9385474860335196,0.939638002974259,0.9393181685580092,0.9404726002936392,0.9417721518987342,0.9420289855072463,0.9417087702200633,0.9448275862068966,0.9433962264150944,0.944,0.9411833755687977,0.9418837675350702,0.939280253385758,0.9410145856244452,0.9422750424448217,0.9433551198257081,0.9428571428571428,0.9454949944382648,0.9450274725274725,0.9473684210526315,0.9432387312186978,0.9419354838709677,0.9419354838709677,0.9389158824855977,0.9354120267260579,0.9341317365269461,0.9385964912280702
9,394347,"Atlanta, GA",Msa,0.8760951188986232,0.875456760462885,0.8786638772663877,0.8898876404494382,0.8931374582358576,0.9080248390119607,0.9047515482922182,0.9,0.8895265423242468,0.8906182795698925,0.87248322147651,0.8754377188594297,0.8689602613656096,0.8571428571428571,0.8693877551020408,0.8769230769230769,0.8916920400173989,0.893563282113814,0.8888888888888888,0.9,0.8887001881577075,0.8928571428571429,0.905625,0.9006004002668445,0.9050006265664161,0.8973368421052632,0.9138903742616923,0.9322033898305084,0.936060606060606,0.9383429672447013,0.9393205950940261,0.9433962264150944,0.9421095455607382,0.945547731209428,0.9449694274596998,0.9487179487179487,0.944755804643715,0.954,0.9563466550624167,0.9622714134239692,0.9622641509433962,0.9628107982084266,0.963377972123531,0.9629629629629629,0.96,0.9577401253918495,0.9544416770444168,0.9515717926932881,0.9538461538461539,0.9516837481698389,0.9566361097284442,0.9630645371941969,0.9663855417620664,0.965410439244954,0.9622641509433962,0.9575873070870689,0.9542972816657027,0.9507366288784969,0.9487278244279537,0.9480705097665555,0.9483667017913593,0.9505703422053232,0.9612817089452603,0.9646094920928288,0.9697309417040358,0.9698416458794947,0.967741935483871,0.9636143117040631,0.9614285714285714,0.957688679245283,0.956900974858902,0.9551724137931035,0.9551466211658268,0.9591555759522716,0.9666462837370551,0.9734513274336283,0.9783498339918573,0.9783214839635073,0.9763413561490484,0.9741952470740118,0.9703703703703703,0.9696297658235257,0.968199436222692,0.9658502932045533,0.9666666666666667,0.9675933075933076,0.9754877438719359,0.979498861047836,0.9825978801643954,0.9815809561505188,0.9796523517382414,0.975975975975976,0.9739826551034023,0.9714285714285714,0.9712643678160919,0.9714285714285714,0.9700054280350513,0.9759188846641318,0.98,0.987012987012987,0.98875402247191,0.9871244635193133,0.9854014598540146,0.9802653880697684,0.9774718045112782,0.9731443453871582,0.9718412109978375,0.97021721214507906,0.9663934159061278,0.9722222222222222,0.9777678968430413
