SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
19,60,Wisconsin,State,WI,41203,41107,40846,40898,40838,40351,39971,40141,40417,40501,40464,40200,39774,39365,39448,40377,41247,41582,41919,42111,41969,41764,41362,40618,40060,39850,38513,36883,37314,37876,37215,36456,35778,35057,34567,34456,34265,34064,34362,34666,34645,34845,34918,34560,34066,33348,32515,31810,31361,31154,31016,30731,29985,29056,28300,27716,27406,27200,26926,26733,26525,26189,25951,25519,24626,23911,23773,23933,24334,25001,25414,25503,25526,25013,24319,24176
20,31,Minnesota,State,MN,21276,21349,20947,20602,20534,20450,20544,20773,20834,21091,21703,22167,22174,21829,21674,22130,23057,24170,25074,25581,26193,26860,26524,25449,24634,24228,24006,24073,24183,23702,23261,23604,23998,23896,23758,23471,23012,23042,23647,24152,24247,24169,23935,23453,22789,21853,20795,20261,20191,20032,19703,19355,18909,18380,18012,17948,18042,18043,17946,17825,17751,17662,17388,17036,16877,16913,17026,17150,17182,17243,17366,17360,17184,16725,16238,16128
21,10,Colorado,State,CO,32931,33361,33582,33692,33529,33010,32535,32097,31515,31335,31429,31156,30615,30055,29995,30564,30890,30790,30588,30242,29690,28712,27632,26992,26635,26253,25456,24562,24370,24531,24646,24849,25120,25264,25023,24189,22895,21901,21745,21939,22198,22912,23636,23862,23770,23443,23089,23015,23045,22728,22026,21519,21251,20481,19486,19065,18950,18638,18424,18764,19186,19214,19258,19336,19076,18563,18265,18591,19422,20355,20945,21176,21330,21232,21110,21317
22,4,Alabama,State,AL,29991,30268,30446,30378,30346,30255,29763,28879,27639,26821,26983,27412,27381,27118,27302,27804,28011,27950,28308,29266,30070,30311,30208,30261,30576,30810,30714,30509,30818,31255,31335,31150,30763,30336,29878,29455,29167,29035,29185,29417,29434,29416,29322,29302,29602,29708,29522,29397,29359,29131,28548,28040,27677,27272,26996,26837,26643,26335,26147,26164,26059,25800,25734,25681,25286,24880,24629,24474,24589,24771,24484,23797,23173,22634,22142,21869
23,51,South Carolina,State,SC,40762,41086,41784,42440,42690,42330,41629,41291,41348,41513,41579,41483,41328,41272,41616,42473,43016,42740,42066,41595,41645,41733,41542,41072,40331,39062,36939,34832,34182,34879,35713,36182,36159,35366,34409,34101,33825,33303,33052,32999,32877,32726,32582,32322,32027,31777,31600,31642,31758,31647,31332,30895,30201,29453,29075,28890,28770,28867,28968,28983,28871,28533,28244,28047,27693,27161,26760,26723,26961,27368,27603,27619,27653,27556,27531,27663
24,25,Louisiana,State,LA,14484,14656,14597,14440,14312,14092,13890,13944,14096,14194,14312,14405,14294,14031,13969,14206,14373,14250,14078,14002,13959,13924,13973,14070,13998,13847,13853,13980,14074,14055,14035,14105,14128,13951,13712,13618,13576,13607,13771,13860,13869,14123,14561,14695,14575,14586,14682,14799,15216,15810,16109,16529,17290,17778,18010,18326,18713,18967,19128,19349,19449,19511,19799,20045,20132,20203,20125,19990,20057,20235,20223,20055,19966,19857,19785,19892
25,24,Kentucky,State,KY,23491,23883,24455,24793,24801,24390,23817,23506,23383,23274,23117,22977,22801,22482,22370,22639,22918,23132,23341,23412,23333,23133,22911,22748,22508,22070,21406,20808,20701,20874,20860,20658,20394,19989,19510,19149,18859,18610,18576,18592,18345,18098,18062,17982,17779,17557,17390,17335,17433,17490,17178,16538,15943,15642,15536,15530,15594,15731,15899,15921,15787,15656,15576,15516,15460,15409,15416,15482,15602,15818,15947,15894,15763,15461,15077,14782
26,46,Oregon,State,OR,19810,20139,20161,20179,20141,19736,19528,19869,20195,20212,20148,20064,19849,19629,19728,20478,21428,21724,21492,21282,21157,20792,20136,19591,19239,18977,18790,18728,18798,18639,18279,18047,17745,17257,16830,16434,16026,15722,15583,15491,15328,15335,15476,15453,15310,15210,15192,15244,15169,14789,14358,13992,13714,13782,14063,14271,14409,14437,14325,14282,14340,14403,14568,14698,14682,14652,14646,14746,15027,15345,15466,15431,15402,15251,15036,14973
27,45,Oklahoma,State,OK,19910,19882,19803,19903,19958,19786,19581,19403,19130,18890,18737,18646,18560,18319,18124,18306,18595,18636,18629,18711,18717,18529,18185,18016,18144,18133,17671,17264,17320,17398,17549,17889,18146,18362,18549,18540,18478,18769,19390,19739,19487,19306,19488,19561,19445,19217,18984,19033,19437,20113,20557,20273,19768,19661,19785,19799,19656,19522,19487,19448,19237,18862,18639,18652,18747,18792,18722,18631,18540,18446,18218,17818,17359,16728,16204,16089
28,11,Connecticut,State,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17876,17697,17233,16758,16480,16225,15993,16094,16312,16524,16912,17221,17174,16870,16596
