"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"Almont","MI","Detroit-Warren-Dearborn","Lapeer County",6519,1303,-0.0239700374531835,-0.0461200585651537,0.00540123456790123,2127
2019-04-30,"Ferris","TX","Dallas-Fort Worth-Arlington","Ellis County",6520,1345,0.00373134328358209,0.0128012048192771,0.0394126738794436,1658
2019-04-30,"Bridge City","TX","Beaumont-Port Arthur","Orange County",6521,1366,-0.00870827285921625,-0.0207885304659498,0.0156133828996283,3408
2019-04-30,"Marcellus","NY","Syracuse","Onondaga County",6522,1506,-0.00330906684315023,-0.0156862745098039,-0.0143979057591623,2109
2019-04-30,"Marengo","OH","Columbus","Morrow County",6523,1177,0.00512382578992314,0.0103004291845494,0.0146551724137931,1979
2019-04-30,"Williamson","GA","Atlanta-Sandy Springs-Roswell","Pike County",6524,1281,0.0126482213438735,0.037246963562753,0.063953488372093,1934
2019-04-30,"Sturbridge","MA","Worcester","Worcester County",6525,1745,-0.00228702115494568,0,0.0575757575757576,2439
2019-04-30,"Norton","VA","Big Stone Gap","Norton City",6526,1024,0.00490677134445535,0.0128585558852621,0.0189054726368159,981
2019-04-30,"Perham","MN","Fergus Falls","Otter Tail County",6527,1257,-0.0210280373831776,-0.0389908256880734,-0.0217898832684825,3085
2019-04-30,"Spring","PA","State College","Centre County",6528,1320,-0.000757002271006813,0.00609756097560976,0.0662358642972536,1419
2019-04-30,"Granby","MA","Springfield","Hampshire County",6529,1749,-0.00228180262407302,-0.00114220445459737,0.03125,2292
2019-04-30,"Dundee","OH","New Philadelphia-Dover","Tuscarawas County",6530,1242,-0.00877893056664006,-0.0181818181818182,-0.0460829493087558,741
2019-04-30,"Ashburnham","MA","Worcester","Worcester County",6531,1580,-0.00189513581806696,0,0.0141206675224647,2340
2019-04-30,"Sandusky South","OH","Sandusky","Erie County",6532,1115,-0.012400354295837,-0.0253496503496504,-0.0176211453744493,2260
2019-04-30,"Coldwater","OH","Celina","Mercer County",6533,1176,0.00944206008583691,0.0164217804667243,0.05,1794
2019-04-30,"Mount Healthy","OH","Cincinnati","Hamilton County",6534,1045,0.00287907869481766,0.00577478344562079,0.045,1679
2019-04-30,"Shady Hollow","TX","Austin-Round Rock","Travis County",6535,2229,0.00224820143884892,0.00632054176072235,0.0953316953316953,2034
2019-04-30,"Windsor","NY","Binghamton","Broome County",6536,1097,-0.0214094558429973,-0.0583690987124464,-0.0804694048616932,1793
