"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"Salt Lake City, UT","UT",50,1619,0.00185643564356436,0.0037197768133912,0.0240354206198608,344134
2019-04-30,"Rochester, NY","NY",51,1414,0.00141643059490085,0.00568990042674253,0.0343818580833943,329050
2019-04-30,"Grand Rapids, MI","MI",52,1370,0.00146198830409357,0.00439882697947214,0.0208643815201192,350652
2019-04-30,"Tucson, AZ","AZ",53,1250,0.00401606425702811,0.0129659643435981,0.0460251046025105,311717
2019-04-30,"Urban Honolulu, HI","HI",54,2405,0.00124895920066611,0.00291909924937448,0.0207979626485569,279827
2019-04-30,"Tulsa, OK","OK",55,1037,0.00193236714975845,0.00679611650485437,0.0432595573440644,341781
2019-04-30,"Fresno, CA","CA",56,1369,0.00440205429200293,0.0118255728011826,0.0277777777777778,224914
2019-04-30,"Worcester, MA","MA",57,1642,0.000609384521633151,0.00674432863274065,0.0307595731324545,287016
2019-04-30,"Stamford, CT","CT",58,2287,0.00483304042179262,0,0.00971302428256071,295449
2019-04-30,"Albuquerque, NM","NM",59,1230,0.00162866449511401,0.0032626427406199,0.0267111853088481,298057
2019-04-30,"Albany, NY","NY",60,1537,0.00130293159609121,-0.00129954515919428,-0.00388852883992223,261747
2019-04-30,"Omaha, NE","NE",61,1332,0.00301204819277108,0.00985595147839272,0.0293663060278207,448448
2019-04-30,"New Haven, CT","CT",62,1637,-0.0012202562538133,-0.00304506699147381,0.0244055068836045,272709
2019-04-30,"Bakersfield, CA","CA",63,1305,0.00384615384615385,0.00694444444444444,0.0332541567695962,214467
2019-04-30,"Knoxville, TN","TN",64,1168,0.00343642611683849,0.00950734658599827,0.0236634531113059,345690
2019-04-30,"Greenville, SC","SC",65,1241,0.000806451612903226,0.00161420500403551,0.0048582995951417,275326
2019-04-30,"Ventura, CA","CA",66,2811,0.00106837606837607,0.00392857142857143,0.0259124087591241,221309
2019-04-30,"Allentown, PA","PA",67,1472,-0.000678886625933469,-0.000678886625933469,0.0222222222222222,277425
2019-04-30,"El Paso, TX","TX",68,1002,0.002,0.00400801603206413,0.0193285859613428,211806
2019-04-30,"Baton Rouge, LA","LA",69,1319,0.00151860288534548,0.00227963525835866,-0.0186011904761905,251338
2019-04-30,"Dayton, OH","OH",70,1011,0.00397219463753724,0.012012012012012,0.0542231491136601,285659
2019-04-30,"McAllen, TX","TX",71,997,-0.00100200400801603,-0.00100200400801603,0.0299586776859504,184255
2019-04-30,"Columbia, SC","SC",72,1152,0.00348432055749129,0.00875656742556918,0.0472727272727273,274523
2019-04-30,"Greensboro, NC","NC",73,1048,-0.00474833808167141,0.00383141762452107,0.106652587117212,263072
2019-04-30,"Akron, OH","OH",74,1120,0.00448430493273543,0.0108303249097473,0.0265811182401467,246322
2019-04-30,"North Port-Sarasota-Bradenton, FL","FL",75,1816,0.00386954118297402,0.0111358574610245,0.00665188470066519,350398
2019-04-30,"Little Rock, AR","AR",76,1024,0.00589390962671906,0.0108588351431392,0.0270812437311936,244958
2019-04-30,"Stockton, CA","CA",77,1719,0.00467562828755114,0.0117716303708064,0.0437158469945355,174613
2019-04-30,"Charleston, SC","SC",78,1650,0.00303951367781155,0.00671140939597316,0.0331872260488416,247181
2019-04-30,"Syracuse, NY","NY",79,1338,-0.00149253731343284,0,0.0436817472698908,198251
2019-04-30,"Colorado Springs, CO","CO",80,1568,0.00448430493273543,0.0116129032258065,0.0309007232084155,223584
2019-04-30,"Winston-Salem, NC","NC",81,1118,0.000895255147717099,0.00811541929666366,0.0791505791505791,242712
2019-04-30,"Wichita, KS","KS",82,968,0.004149377593361,0.0072840790842872,0.0308839190628328,215209
2019-04-30,"Springfield, MA","MA",83,1629,-0.00244947948560931,0.0018450184501845,0.0369191597708466,181740
2019-04-30,"Fort Myers, FL","FL",84,1646,0.00182592818015825,0.00919681177191907,0.0141712877387554,339175
2019-04-30,"Boise City, ID","ID",85,1356,0.00593471810089021,0.0157303370786517,0.0753370340999207,207439
2019-04-30,"Toledo, OH","OH",86,977,0.00102459016393443,-0.00306122448979592,-0.0101317122593718,213847
2019-04-30,"Madison, WI","WI",87,1479,0.00543847722637661,0.0150995195607412,0.0321004884856943,219543
2019-04-30,"Lakeland, FL","FL",88,1280,0.00628930817610063,0.0142630744849445,0.038961038961039,190712
2019-04-30,"Ogden, UT","UT",89,1518,0.00396825396825397,0.012,0.0578397212543554,184572
2019-04-30,"Daytona Beach, FL","FL",90,1435,0.00279524807826695,0.00985221674876847,0.049743964886613,252443
2019-04-30,"Des Moines, IA","IA",91,1313,0.0015255530129672,-0.00076103500761035,0.0146831530139104,209054
2019-04-30,"Jackson, MS","MS",92,1234,0.00406834825061025,0.0073469387755102,-0.000809716599190283,178839
2019-04-30,"Youngstown, OH","OH",93,830,0.00362756952841596,0.0196560196560197,0.041405269761606,209568
2019-04-30,"Augusta, GA","GA",94,938,0.00320855614973262,0.00535905680600214,-0.00424628450106157,230587
2019-04-30,"Scranton, PA","PA",95,969,-0.00103092783505155,-0.00920245398773006,-0.016243654822335,203582
2019-04-30,"Harrisburg, PA","PA",96,1301,0.000769230769230769,0.00153964588144727,0.026835043409629,183262
2019-04-30,"Melbourne, FL","FL",97,1463,0.00480769230769231,0.0124567474048443,0.0464949928469242,237680
2019-04-30,"Chattanooga, TN","TN",98,1213,0.00497100248550124,0.0108333333333333,0.0142140468227425,200948
2019-04-30,"Spokane, WA","WA",99,1354,0.00370644922164566,0.00819061801935964,0.0463678516228748,176711
2019-04-30,"Provo, UT","UT",100,1497,0.00200803212851406,0.00200803212851406,0.0267489711934156,146766
2019-04-30,"Lancaster, PA","PA",101,1239,0,-0.000806451612903226,0.0376884422110553,150978
2019-04-30,"Modesto, CA","CA",102,1559,0.00257234726688103,0.00971502590673575,0.0871687587168759,132015
2019-04-30,"Durham, NC","NC",103,1432,0.00491228070175439,0.0127298444130127,0.0265232974910394,160714
2019-04-30,"Santa Rosa, CA","CA",104,2806,0,-0.00742836929607358,-0.0123196057726153,144828
2019-04-30,"Lexington, KY","KY",105,1204,0.00249791840133222,0.00500834724540901,0.0203389830508475,168483
2019-04-30,"Lafayette, LA","LA",106,1144,-0.00435161009573542,-0.00866551126516464,-0.0171821305841924,135889
2019-04-30,"Lansing, MI","MI",107,1189,-0.00668337510442774,-0.0149130074565037,0.0171086398631309,144350
2019-04-30,"Fayetteville, AR","AR",108,1162,0.00432152117545376,0.0104347826086957,0.0157342657342657,149206
2019-04-30,"Pensacola, FL","FL",109,1221,0.00659521846661171,0.0175,0.0571428571428571,168719
2019-04-30,"Visalia, CA","CA",110,1231,0.0016273393002441,0.00736497545008183,0.0327181208053691,112449
2019-04-30,"Shreveport, LA","LA",111,1022,-0.00486854917234664,-0.00583657587548638,0.0292044310171198,145917
2019-04-30,"Springfield, MO","MO",112,859,0.00467836257309942,0.0117785630153121,0.0361881785283474,125858
2019-04-30,"York, PA","PA",113,1304,0.000767459708365311,0.00462249614791988,0.0423661071143086,146012
2019-04-30,"Corpus Christi, TX","TX",114,1375,0,-0.00145243282498184,0.0102865540044085,141857
2019-04-30,"Reno, NV","NV",115,1763,0.00341491178144565,0.00915855752718947,0.045050385299348,140232
2019-04-30,"Asheville, NC","NC",116,1440,0.00278551532033426,0.00911002102312544,0.0344827586206897,160858
2019-04-30,"Port St. Lucie, FL","FL",117,1609,0.00311720698254364,0.0081453634085213,0.0400775694893342,196688
2019-04-30,"Huntsville, AL","AL",118,1173,0.00686695278969957,0.0182291666666667,0.0712328767123288,133798
2019-04-30,"Fort Wayne, IN","IN",119,1108,0.00180831826401447,0.00635785649409628,0.00818926296633303,142214
2019-04-30,"Salinas, CA","CA",120,2630,0.00650593187906621,0.0154440154440154,0.063915857605178,88758
2019-04-30,"Vallejo, CA","CA",121,2237,0.00268937696100403,0.0117593848937133,0.0581835383159886,124637
2019-04-30,"Mobile, AL","AL",122,962,0.00312825860271116,0.00944386149003148,0.0433839479392625,139698
2019-04-30,"Reading, PA","PA",123,1290,0.00467289719626168,0.0125588697017268,0.0369774919614148,115388
2019-04-30,"Brownsville, TX","TX",124,921,0.00436205016357688,0.00765864332603939,-0.0128617363344051,129782
2019-04-30,"Killeen, TX","TX",125,1033,0.000968992248062016,0.0029126213592233,0.0381909547738693,126666
2019-04-30,"Canton, OH","OH",126,948,-0.00105374077976818,-0.00105374077976818,0.00743889479277365,143592
2019-04-30,"Beaumont, TX","TX",127,1197,-0.00166805671392827,-0.00333055786844296,-0.000834724540901503,131630
2019-04-30,"Manchester, NH","NH",128,1846,0.000542005420054201,0.00108459869848156,0.044708545557442,150800
2019-04-30,"Salem, OR","OR",129,1558,0.00321957501609787,0.00711053652230123,0.0386666666666667,104478
2019-04-30,"Anchorage, AK","AK",130,1753,0.0028604118993135,0.00343445907269605,0.0115406809001731,108069
2019-04-30,"Davenport, IL","IL",131,978,0.0155763239875389,0.0327349524815206,0.00824742268041237,141052
2019-04-30,"Myrtle Beach, SC","SC",132,1296,0.00154559505409583,0.000772200772200772,0.0277557494052339,246080
2019-04-30,"Montgomery, AL","AL",133,940,-0.00106269925611052,0.00106496272630458,0.00642398286937901,147792
2019-04-30,"Salisbury, MD","DE",134,1341,0.00149365197908887,0.00827067669172932,0.00449438202247191,199843
2019-04-30,"Gulfport, MS","MS",135,1051,0.00190657769304099,0.00670498084291188,0.0531062124248497,121965
2019-04-30,"Tallahassee, FL","FL",136,1248,0.00483091787439614,0.0146341463414634,0.0426065162907268,103312
2019-04-30,"Trenton, NJ","NJ",137,1902,0.00210748155953635,0.00369393139841689,-0.0088587806149036,114870
2019-04-30,"Fayetteville, NC","NC",138,901,0.00445930880713489,0.00782997762863535,0.0157835400225479,116588
2019-04-30,"Hickory, NC","NC",139,1011,0.00198216055500496,0.00297619047619048,0.0698412698412698,166277
2019-04-30,"Huntington, WV","WV",140,916,0,-0.00434782608695652,0.0223214285714286,118546
2019-04-30,"Eugene, OR","OR",141,1455,0.00344827586206897,0.00761772853185596,0.0400285918513224,94958
2019-04-30,"Rockford, IL","IL",142,1140,0.00352112676056338,0.0169491525423729,0.0805687203791469,114692
2019-04-30,"Savannah, GA","GA",143,1297,0.00309358081979892,0.00542635658914729,0.025296442687747,126704
2019-04-30,"Ann Arbor, MI","MI",144,1840,0.00163309744148067,-0.00162778079218665,-0.00915455035002692,113909
2019-04-30,"Ocala, FL","FL",145,1183,0.00424448217317487,0.0128424657534247,0.037719298245614,121341
2019-04-30,"Kalamazoo, MI","MI",146,1268,0.00157977883096367,0.00714853057982526,0.0593149540517962,121159
