"RegionName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"California",1,,,,,,,,,,,,,,,,,,1.17079889807163,1.02774054215073,1.02941176470588,1.02644454799627,1.06177606177606,1.06818181818182,1.08654212733511,1.11111111111111,1.12826603325416,1.11190062111801,1.11111111111111,1.13513513513514,1.101,1.15,1.19461077844311,1.32777777777778,1.38888888888889,1.45302353896104,1.40777649399833,1.4,1.36875,1.38888888888889,1.42857142857143,1.44215888812629,1.42261904761905,1.4,1.375,1.39152846257284,1.35714285714286,1.37037037037037,1.38425925925926,1.43769968051118,1.45454545454545,1.49883581620262,1.53766712672589,1.57692307692308,1.63636363636364,1.625,1.65281593406593,1.59056920148645,1.5625,1.68,1.66940605704205,1.61157024793388,1.66533333333333,1.74375,1.70166545981173,1.75,1.7425641025641,1.91040843214756,1.76916596461668,1.7683568677792,1.76250275391055,1.76848874598071,1.8,1.86699507389163,1.8448098663926,1.92857142857143,1.96153846153846,2,1.99285714285714,1.99444444444444,2.02222804668553,2.0211038961039,2.00688073394495,2,2.0125,2.08333333333333,2.0320197044335,2,2.05263157894737,2.03571428571429,2.01612903225806,2.04725741151887,2.0154305983183,2.01086956521739,2.02403542061986,2.05555555555556,2.08636363636364,2.13571428571429,2.125,2.11875,2.14007782101167
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11195158850227,1.06024096385542,1.07223476297968,1.0597302504817,1.05882352941176,1.06633057503913,0.935294117647059,0.884266846621035,0.876395534290271,0.89051094890511,0.927455336367529,1,0.994469026548673,0.984615384615385,0.913621262458472,0.874933722163309,0.853658536585366,0.8777633289987,0.854874857317854,0.857365549493375,0.85,0.85,0.848400556328234,0.85536019251669,0.85137227010292,0.852272727272727,0.842148358922339,0.86875,0.920079409343213,0.92039401721596,0.910476978218914,0.939261114589856,0.928571428571429,0.93503937007874,0.933756166314306,0.948836359325918,0.941422594142259,0.927197802197802,0.913705583756345,0.904605263157895,0.914194389275074,0.950570342205323,0.958813600810489,0.961538461538462,0.959839357429719,0.945892575039494,0.946963109354414,0.955073000067281,0.95,0.95968992248062,0.950570342205323,0.951818661115569,0.952836201402167,0.966474780701754,0.963541666666667,0.956521739130435,0.963541666666667,0.963103788198845,0.967261904761905,0.96045197740113,0.97809667673716,0.98125,0.990706319702602,0.990974729241877,0.996810207336523,1
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.375,3.32222222222222,3.18181818181818,3.08181818181818,3.06666666666667,3.11764705882353,3.125,3.16129032258065,3.25,3.04783950617284,3.06923076923077,3.08333333333333,3.13333333333333,3.11111111111111,3.01724137931034,2.9809619238477,2.94736842105263,2.96312483812484,2.94736842105263,2.96551724137931,3.09104959955037,3.14583333333333,3.13571428571429,3.23154623154623,3.16583333333333,3.13361823361823,3.14285714285714,3,2.93333333333333,3.1,3.06335116731517,3.03480475382003,3.1,3.14285714285714,3.14285714285714,3.125,3.1,3,2.9,2.85714285714286,2.84615384615385,2.81348484848485,2.79726806526807,2.82616847826087,2.88777777777778,2.95929663378266,2.97297297297297,3,2.99,2.895,2.82142857142857,2.79501552795031,2.75724789915966,2.75318871269575,2.75,2.79455882352941,2.90818181818182
"Florida",4,,,,,,,0.86875,0.869565217391304,0.876843503180261,0.877926421404682,0.882190803554057,0.892857142857143,0.90465367965368,0.937892095357591,0.958466453674121,0.960871149990888,0.97858826610791,0.969871993793638,0.958333333333333,0.965295385395537,0.972222222222222,0.941176470588235,0.95360824742268,0.954198473282443,0.9526938239159,0.975428640425018,1,1.00983946141895,1.01522842639594,1.02857142857143,1.11542192046557,1.15833333333333,1.20249187355471,1.22222222222222,1.32819912239089,1.29469790382244,1.25,1.23076923076923,1.20704792467682,1.1890243902439,1.19168825561313,1.19461337966985,1.21412803532009,1.22743055555556,1.25,1.23456790123457,1.23456790123457,1.27412422567239,1.26315789473684,1.27298444130127,1.29805196101925,1.27931769722815,1.27081366147664,1.25,1.26931567328918,1.27895247748208,1.25817932067932,1.27381168359942,1.33159420289855,1.36691137488219,1.41349891823698,1.43097643097643,1.48809523809524,1.39570957889421,1.42857142857143,1.43333333333333,1.4,1.39175257731959,1.38423859126984,1.46915715438718,1.5,1.4453125,1.45322434150772,1.45050396029797,1.47437888198758,1.48316992970371,1.5,1.49166666666667,1.5,1.52429665678003,1.51257211348489,1.49887883358472,1.51428571428571,1.52366946778711,1.55,1.56411119579475,1.58543490870922,1.58719011949349,1.53015301530153,1.53403643336529,1.51630434782609,1.53846153846154,1.55593666099415,1.55875299760192,1.5625,1.55555555555556,1.60241305976461,1.60550458715596,1.61579892280072,1.64705882352941
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68512851897185,1.75,1.81939153439153,1.82182835820896,1.82604347826087,1.72666666666667,1.70291171088747,1.73125,1.7395652173913,1.66666666666667,1.71875,1.71764077037433,1.7175572519084,1.72923260351181,1.74375,1.72566371681416,1.78237577639752,1.77777777777778,1.90607028753994,1.94744241108864,1.93863614722737,1.82886904761905,1.89655172413793,1.93865275520967,1.94174208144796,1.9572192513369,2.02479338842975,2.1,2.2,2.25,2,1.95624195624196,1.83783783783784,1.93661971830986,2.04166666666667,2.17194928684628,1.95833333333333
"Pennsylvania",6,,,,,,,,,,,,,,,,,,,,,,0.782235987379362,0.792682926829268,0.811011904761905,0.83843808630394,0.823611111111111,0.864241987756572,0.891891891891892,0.895,0.914285714285714,0.928571428571429,0.99375,1.04615384615385,1.05505874429395,1.12173913043478,1.07142857142857,1.05555555555556,1.0625,1.05,1.04761904761905,1.05,1.04446640316206,1.0258064516129,0.975,1,1,1,1,1,1.04375,1.08208955223881,1.07,1.06907395358924,1.04549117280785,1.0536398467433,1,0.993303571428571,0.979728098135806,1,0.958706308610401,0.955610357583231,0.944444444444444,0.96875,1.03285567632211,1.05,1.04366812227074,1.06458333333333,0.962962962962963,1,0.99626400996264,0.9375,0.964476655376237,1.00219890336075,1.02884615384615,1.04545454545455,1.0545905707196,1.04166666666667,1.03571428571429,1.05,1.01585728444004,1.025,1.00240577385726,1.04,1.0132735583685,1.01232394366197,1,1,1.0625,1.066,1.05555555555556,1.05428744029539,1.00874289063518,1,0.991144200626959,1,1,1.05370496261047,1.0625,1.09375,1.1
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6875,0.6875,0.686813186813187,0.694749694749695,0.6875,0.678571428571429,0.661111111111111,0.643715846994536,0.642425550280535,0.661764705882353,0.625657894736842,0.647058823529412,0.683333333333333,0.683418116179849,0.709677419354839,0.712375356125356,0.708333333333333,0.732758620689655,0.708884688090737,0.706766917293233,0.68886337543054,0.714285714285714,0.705467372134039,0.650964620315582,0.650887573964497,0.652892561983471,0.714285714285714,0.714285714285714,0.714285714285714,0.706194690265487,0.743898809523809,0.748125,0.709917129813418,0.662689393939394,0.714285714285714,0.690073384554768,0.706766917293233,0.71875,0.751366120218579,0.787878787878788,0.765986394557823,0.752831514550265,0.720555555555556,0.714285714285714,0.733333333333333,0.747238466536712,0.75,0.738683845987896,0.749531835205993,0.758620689655172,0.762766188613646,0.738095238095238,0.737103174603175,0.741264416111107,0.707142857142857,0.696969696969697,0.706038521603332,0.708333333333333,0.716666666666667,0.708700401088669,0.714285714285714,0.731063113759241,0.754377394636015,0.76463963963964
"Michigan",8,0.678571428571429,0.71875,0.75,0.75,0.796875,0.75,0.808333333333333,0.79,0.785971223021583,0.720833333333333,0.722222222222222,0.720833333333333,0.732520325203252,0.766666666666667,0.79,0.78390352904916,0.795,0.75,0.742574257425743,0.746825989544436,0.74375,0.75,0.749166666666667,0.733333333333333,0.722222222222222,0.746825989544436,0.749149659863946,0.75,0.773611111111111,0.775,0.78125,0.785714285714286,0.822368421052632,0.834950458185375,0.816326530612245,0.81275406504065,0.821428571428571,0.823529411764706,0.833333333333333,0.837354651162791,0.866003220422478,0.844097222222222,0.832172701949861,0.85,0.85,0.846153846153846,0.843780135004822,0.833333333333333,0.849358974358974,0.857142857142857,0.8740234375,0.86875,0.853889943074004,0.860389221556886,0.875,0.866666666666667,0.878679653679654,0.870098039215686,0.857142857142857,0.861111111111111,0.865384615384615,0.849358974358974,0.849679487179487,0.875,0.82,0.9,0.945945945945946,0.928571428571429,0.908181818181818,0.964285714285714,0.957427536231884,0.894905920146856,0.906344410876133,0.974930362116992,0.951841874084919,0.961290322580645,0.933333333333333,0.915384615384615,0.95,0.911611519607843,0.952,0.9375,0.930116279069767,0.931665574844415,0.826003458815959,0.926666666666667,0.9375,0.958030603258476,0.964901477832512,0.960555555555556,0.97,0.9575,0.944444444444444,0.940217391304348,0.952941176470588,0.964285714285714,0.958333333333333,0.96875,0.965882352941177,0.977457831325301
"Georgia",9,,,,,,,,,,,,,,,,,,0.727828092959672,0.601430429128739,0.623840811965812,0.599202127659574,0.583053691275168,0.576923076923077,0.576923076923077,0.588905775075988,0.579896341539889,0.589464882943144,0.602226720647773,0.611111111111111,0.612853773584906,0.613636363636364,0.62043795620438,0.65359477124183,0.666666666666667,0.702028081123245,0.680087051142546,0.652985074626866,0.662509742790335,0.68530701754386,0.704638872577804,0.665634920634921,0.642857142857143,0.647363608655898,0.663143247729714,0.673076923076923,0.65359477124183,0.654859967051071,0.675675675675676,0.665714285714286,0.655498907501821,0.666666666666667,0.678571428571429,0.71031746031746,0.694444444444444,0.668896321070234,0.680693069306931,0.676776960784314,0.675,0.683188867085902,0.694058641975309,0.6875,0.713719270420301,0.71664829106946,0.730769230769231,0.741185897435897,0.75,0.740131578947368,0.759615384615385,0.75,0.75,0.731497418244406,0.792582013693451,0.785859171254709,0.8,0.84149247633962,0.864406779661017,0.856777493606138,0.888079762291657,0.901268115942029,0.915948275862069,0.895,0.846274415239932,0.895496941304349,0.895598771750256,0.902339523981248,0.876529431216931,0.876736111111111,0.938566552901024,0.923076923076923,0.909090909090909,0.954861111111111,0.956,0.95,0.916666666666667,0.867158671586716,0.852380952380952,0.881481481481482,0.892583988221572,0.908207152536381,0.9
"North Carolina",10,,,,,,,,,0.738394691250267,0.734883720930233,0.728478771756856,0.727258698092031,0.725,0.742403109028961,0.769669327251995,0.771055753262159,0.76500600240096,0.749318801089918,0.701119239944259,0.71758734100971,0.723611111111111,0.717790350246224,0.722222222222222,0.708616780045351,0.729847494553377,0.72968244536872,0.736127784447112,0.744047619047619,0.741666666666667,0.744444444444444,0.734055354993983,0.734061991222482,0.736961451247165,0.753327417923691,0.755555555555556,0.753327417923691,0.751239669421488,0.752886251891074,0.75,0.765322580645161,0.77850697292863,0.772764561115669,0.77850697292863,0.77850697292863,0.765940274414851,0.76530612244898,0.769539201776571,0.776528938972437,0.770562770562771,0.77047619047619,0.763888888888889,0.777668533001096,0.766666666666667,0.756880733944954,0.75,0.736901778255162,0.737058536494767,0.73679040430152,0.735155143222418,0.732421875,0.736315213772768,0.743944636678201,0.75,0.785714285714286,0.738859006511792,0.766010949834479,0.787268518518519,0.784267052595498,0.755079626578803,0.780625,0.782480818414322,0.747607655502392,0.794166666666667,0.796,0.794102564102564,0.818181818181818,0.818181818181818,0.810185185185185,0.822368421052632,0.820629890320156,0.823259434549757,0.832456140350877,0.833333333333333,0.854840164445553,0.822474533106961,0.827415726564598,0.823037401006435,0.823529411764706,0.833333333333333,0.834597875569044,0.821995464852608,0.818080357142857,0.794285714285714,0.837837837837838,0.877412940576114,0.896860986547085,0.892857142857143,0.897277227722772,0.910776050284979,0.910364145658263
