RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
84574,60545,Illinois,5367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122400,125700,121900,137300,137500,150100,141700,140800,129300,134100,135500,143600,14e4,143500,143600,139400,144900,151200,165200,174e3,168600,179600,165600,177300,159800,165200,158300,156900,164300,168e3,171800,162900,164600,156900
72239,32814,Florida,5368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392300,393800,359400,374700,371e3,349500,345400,340300,382400,377900,382500,365600,387500,385600,415900,421400,417300,394400,350700,371700,382500,411300,421e3,417900,435600,472900,446200,421800,365e3,399600,407500,420200,399800,405800,383500,391300,373600,397800,392900,426800,424700,453300,425200,410900,376300,397700,400700,413900,407200,415200,420200,427900,430400,492500,502100,493300,435600,458500,472400,472900,437900,429e3,431200,420200,431e3,417600,433400,488e3,497200,508600,452400,498500,494600,487100,448400,433e3,472e3,523900,518900,509200,463700
60571,07062,New Jersey,5369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160200,17e4,161200,187300,19e4,196300,184500,180800,169200,190900,182900,193400,178700,179700,186800,182200,190500,203300,222200,216200,219100,215800,228800,222300,228500,
98104,95320,California,5370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298100,296600,288e3,288900,275300,278e3,271400,300900,311600,308e3,306700,311e3,323100,314800,318600,300400,327400,346900,368300,333200,315800,297700,318900,309600,314100,324500,339800,354800,355500,347e3,354700,355e3,367500,356100,343e3,352200,354e3,373e3,374200,389200,385700,398800,394200,394200,375500,384400,378700,375600,382200,395400,413600,397800,389100,402300,397700,405e3
73724,36064,Alabama,5371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243900,230600,239400,230200,220800,202600,205300,227100,237500,234800,237100,225700,247200,277600,293500,290300,263100,289600,292800,298500,292e3,306100,318400,296200,289400,294600,300400,300300,283700,307900,296300,326100,303900,287e3,271400,249600,249900,248800,256900,286600,262300,31e4,302200,303800,274700,
87142,66226,Kansas,5372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262100,263900,262600,284500,283500,285400,264400,257600,265200,256600,261200,255900,265200,269700,277e3,289e3,286900,277900,273700,287400,297e3,314700,316e3,324300,311200,302400,285900,283300,277600,284200,297900,298100,309700,
99504,98019,Washington,5373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370400,375200,390600,410800,428200,420400,397300,392100,408400,423800,414800,425300,446200,482700,467900,465100,433800,464300,467700,476300,453400,458200,464300,475600,469800,460700,473e3,469100,500400,498400,523200,547100,568200,530600,517600,524700,547200,541e3,535900,532200,548300,547500,563800,583200,616300,626700,627800,615500,618700,607400,623300,606200,626700,590500,622600,615300,603600,601400,613900
93470,80549,Colorado,5374,198500,185600,182800,170400,169600,165400,162400,161800,174800,191e3,193900,189300,179300,187e3,179500,181100,172900,178500,174800,177500,178700,182300,183900,186200,183e3,182200,179900,188200,180400,186500,175800,176400,174600,175900,183700,179400,184500,179700,179100,179600,182300,183700,179500,177e3,182900,189700,197300,190200,188900,178100,178300,179700,185700,190500,196700,194400,188300,185800,197600,204900,206400,195600,198200,194900,200200,206500,209900,222100,215300,215100,207700,219200,221200,223e3,216600,219400,222700,223100,228800,233400,234200,237400,234800,240100,236e3,238300,24e4,243600,250100,251600,254700,253500,254900,259100,259600,265700,267600,279600,277300,284900,280600,288200,284400,282900,283400,284100,292500,304e3,309600,308100,297600,301100,303800,306600,304400,307400,314300,317e3,317e3,312300,317500,325200,332300,331e3,329200,333100,329100,332200,335800,349600,347500,345600,341e3,341500
99734,98346,Washington,5375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301700,276800,263400,275900,292300,285600,298800,294700,375e3,373500,387e3,335300,311200,327700,331600,343100,313900,318400,322300,356300,345200,343e3,297900,338700,344e3,380400,354100,351100,363e3,409700,401800,398500,376600,392600,395e3,373900,392100,388300,479800,480400,465700,,,,,,
66560,20695,Maryland,5376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269300,265200,256400,276500,259800,249600,265400,255300,269800,252300,258100,245500,249900,248800,256e3,255300,273500,264200,272400,253900,239500,242800,248e3,265300,268800,251200,245400,241300,261300,291300,289700,313300,302700,309300,285900,280100,281800,305100,305500,320300,314900,327300,304200,315300,319500,342900,347400,351200,351700,330500,318e3,312600,301100,318800,319700,347800,334200,324e3,329500,325800,
