"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Jacksonville, NC",134,,,,,,,,,,,,,,1200,1200,1200,1250,1250,1300,1300,1250,1250,1200,1200,1195,1175,1222.5,1250,1250,1225,1250,1246,1200,1180,1150,1150,1150,1195,1200,1250,1225,1200,1195,1150,1175,1125,1150,1100,1100,1137.5,1195,1250,1200,1200,1200,1200,1195,1100,1150,1150,1150,1150,1200,1200,1200,1195,1195,1150,1145,1137,1100,1150,1150,1195,1200,1250,1200,1250,1200,1100,1197,1195,1100,1200,1194,1200,1250,1250,1250,1225,1150,1100,1150,1123.5,1150,1191,1200,1200,1200,1275,1250,1295,1250,1248.5,1250,1250,1300,1250,1275,1250,1300
"East Stroudsburg, PA",135,,,,,,,,,,,,,,,,1500,1500,1450,1500,1550,1695,1600,1600,1600,1525,1500,1467.5,1500,1500,1575,1550,1450,1450,1497.5,1498.5,1500,1485,1500,1500,1600,1600,1522.5,1525,1600,1600,1450,1450,1500,1387.5,1400,1400,1500,1500,1600,1597.5,1500,1475,1500,1450,1450,1500,1500,1500,1500,1550,1550,1600,1597.5,1500,1500,1450,1500,1497.5,1500,1600,1600,1600,1500,1600,1595,1547.5,1500,1500,1600,1600,1572.5,1600,1600,1600,1625,1550,1500,1500,1500,1472.5,1500,1550,1550,1600,1550,1550,1595,1550,1500,1425,1450,1572.5,1500,1600,1500,1600
"Dover, DE",136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1587.5,1499.5,1661,1650,1600,1650,1595,1599,1541,1500,1600,1699.5,1700,1700.5,1686,1675,1600,1690.5,1700,1700,1655,1664.5
"Bloomington, IN",137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397.5,2250,2490,2500,2699.5,2625,2900,2975,2749,2600,2400,2700,2675,2612.5,2650,2625,2500,2600,2775,2800
"Bend, OR",138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895,1995,1995,1850,1747.5,1725,1895,1850,1995,1995,1900,1995,1950,1997.5,1995,2000,2095,2100,2247.5,2150,1995
"St. George, UT",139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,1725,1695,1625,1633,1750,1716.5,1716,1708,1616,1616,1655.5,1750,1750,1750,1780.5,1850,1850,1862.5,1896,1800,1800,1900,1820,1850,1995,1895,1850
"Lawton, OK",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147.5,1095,1200,1163,1250,1131,1200,1200,1140.5,1197.5,1131,1200,1200,1250,1067,1095,1095,1195,1067,1092,1092,1094,1094,1094,1094,1094,1094,1094
"Morgantown, WV",141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1367.5,1450,1300,1350,1375,1300,1300,1300,1392.5,1525,1400,1400,1470,1400,1400,1300
"Watertown, NY",142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230,1230,1200,1230,1230,1230,1230,1277.5,1335,1300,1200,1200,1342.5,1290,1300,1315,1270,1317.5,1399,1377,1300,1377,1388,1315,1245,1250,1250,1262.5,1293.5
"Lawrence, KS",143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,1298,1300,1325,1300,1300,1273.5,1300,1325,1350,1289,1312.5,1280,1325,1362.5,1300,1300,1299,1350,1372.5,1395,1395,1300,1300,1275,1250,1380
"Manhattan, KS",144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455,1460,1300,1250,1250,1300,1250,1300,1450,1450,1400,1300,1425,1300,1337.5,1400,1400,1275,1250,1295,1300,1295,1300,1300,1375,1390,1375,1400,1400,1400,1350,1345,1250,1250,1250,1400,1400,1435,1400,1350,1350,1350,1350,1450,1350,1400,1372.5,1372.5,1362.5,1440,1450,1400,1347,1350,1350,1362.5,1300,1200,1200,1300,1400,1400,1400,1380,1380,1300,1295,1200,1200,1200,1297.5,1395,1400,1449,1440,1400,1399
"Corvallis, OR",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097.5,2300,2395,2295,2247.5,2100,1995,1995,1995,1995,1995,1995,2050,2200
"Junction City, KS",146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1200,1262.5,1250,1250,1200,1200,1250,1250,1212.5,1200,1200,1225,1250,1225,1225,1300,1300,1250,1250,1250,1250,1250,1175,1175,1200
"Vineyard Haven, MA",147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4775,4775,4750,4750,4750,4475,4100,4200,4200,4200,4100,4200
