"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Little Haiti","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2050,1900,2000,2050,2225,1895,1900,1850,1999,1999,1945,1950,1925,1800,1925,2100,2200,2175,2000,2200,2250,2150,2007.5,1975
"Spring Branch West","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1725,1700,1825,1700,1700,1795,1800,1800,1800,1800,1800,1774.5,1800,1800,1850,1774,1900,1849,1800,1772.5,1800,1700,1875,2000,1987.5,1900,1850,1913,1987.5,2000,2075,1950,1887.5,1850
"Winnetka Heights","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1800,1950,1995,2022.5,1850,1772.5,1825,1750,1600,1695,1750
"Pacific Beach","San Diego","CA","San Diego-Carlsbad","San Diego County",200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2825,3170,3300,3500,3695,3647.5,3097.5,3250,3447.5,3500,3322.5,3350,2995,3150
"Neartown - Montrose","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,2500,2600,2600,2500,2600,2500,2700,2862.5,2825,2750,2750,2595,2500,2625,2550,2700,2650,2600,2850,2700,2500,2600,2575,2500,2550,2697.5
"Downtown","Jersey City","NJ","New York-Newark-Jersey City","Hudson County",202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,2300,2200,2175,2200,2100,2100,2050,2100,2197.5,2200,2125,2250,2350,2300,2270,2499.5,2100,2125,2185,2000,2000
"Sugar House","Salt Lake City","UT","Salt Lake City","Salt Lake County",203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,1550,1775,1895,1850,1785,1725,1700,1597.5,1695,1725,1895,1800,1845,1795,1972.5,2025,1962.5,1795,1727.5,1727.5,1795,1800,1845,1895,1797.5
"South End","Boston","MA","Boston-Cambridge-Newton","Suffolk County",204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,3700,3600,3300,3450,3400,3625,3450,3000,3100,3375,3700,3250,3600,3525,3450,3600,3400,3200,3000,3525,3600,3850,3922.5,3850,3600
"Westchase","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,782.5,772.5,767,769,776,767,777.5,782.5,782.5,782.5,780,782.5,780,785.5,786,788,785,788
"Washington Avenue Coalition - Memorial Park","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,2875,2850,2772.5,2800,2800,2800,2800,2800,2900,2900,2975,2900,2899,2700,2750,2797.5,2700,2700,2800,2875,2700,2800,2600,2700,2750,2600,2522.5,2500,2650,2650,2600,2650,2650,2650,2600,2600,2600,2595,2600,2650,2625,2600,2595,2585,2600,2600,2700,2700,2650,2725,2700,2700,2750,2695,2695,2700
"Eagle River","Anchorage","AK","Anchorage","Anchorage Borough",207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2090,2050,2070,1972.5,1967.5,1900,1900,2199.5,2070,2090,2200,2100,2100,2100,2000,2070,2050,2097.5,2097.5,2190,2240,2250,2200,2145,2200,2200,2150,2070,1997.5,2050,1999.5,2195,1975,2100,2070,2090,1865,1925,1990,1925,2000,1995,2012.5,2225,2200,2170,1990,1950,2000,1995,1900,1900,1882.5,2045,2095,2200,2100,2100,2000,2000,1975,1962.5,1992.5,1995,1995,1950,2070
"Capitol Hill","Washington","DC","Washington-Arlington-Alexandria","District of Columbia",208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,3300,3400,3200,3500,3489.5,3500,3425,3425,3400,3500,3500,3200,3450,3100,3185,3350,3400,3462.5,3380,3425,3450,3325,3237.5,3250,3250,3400,3300
"Financial District","New York","NY","New York-Newark-Jersey City","New York County",209,,,,,,,,,,,,,,,,,,3295,3548,3300,3200,3500,3500,3500,3300,3250,3250,3250,3300,3250,3250,3395,3416.5,3475,3394,3340.5,3300,3350,3400,3500,3495,3540,3600,3583,3566.5,3515,3495,3515,3530,3515,3500,3497.5,3495,3497.5,3500,3500,3500,3500,3500,3515,3515,3515,3500,3500,3500,3500,3500,3490,3530,3530,3530,3515,3515,3500,3500,3497.5,3530,3500,3497.5,3500,3500,3500,3500,3515,3500,3515,3515,3515,3497.5,3500,3540,3540,3515,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3515,3530
"Southeast Boise","Boise","ID","Boise City","Ada County",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1125,1050,1100,1175,1175,1175,1225,1197.5,1195,1135,1150,1100,1200,1170,1049,1050,1100,1225,1295,1250,1250,1277.5,1160,1200,1200,1150,1147.5,1167.5,1275,1300,1332.5,1295,1295,1350,1300,1295,1250,1250,1297.5,1297.5,1295,1395,1345,1400,1412.5,1500,1400,1400,1400,1350,1350,1350,1400,1425,1550
"Paradise Hills","Albuquerque","NM","Albuquerque","Bernalillo County",211,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1212.5,1200,1200,1200,1195,1195,1150,1225,1190,1220,1300,1297.5,1250,1200,1200,1200,1200,1200,1200,1199.5,1199.5,1195,1195,1225,1200,1195,1200,1250,1200,1195,1195,1200,1195,1250,1250,1200,1200,1250,1275,1295,1275,1275,1297.5,1300,1295,1275,1250,1350,1295,1325,1250,1250,1295,1275,1252.5,1247.5,1275,1285,1275,1295,1297.5,1325,1350,1325,1297.5,1295,1300,1300,1300,1295,1350,1325,1324,1350,1395,1350,1350,1350,1337.5,1350,1395,1395,1395
"Clinton","New York","NY","New York-Newark-Jersey City","New York County",212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3695,3717.5,4272.5,3775,3707.5,3598,3695,3647.5,3707.5,3775,3707.5,3747.5,3775,3775,3785,3775,3747.5,3775,3747.5,3747.5,3747.5,3747.5,3775,3720,3775,3747.5,3747.5,3747.5,3747.5,3747.5,3775,3775,3775,3775,3747.5,3775,3775,3720,3720,3720,3747.5,3747.5,3747.5,3747.5,3747.5,3747.5,3747.5,3747.5,3747.5,3747.5,3747.5,3747.5,3747.5,3747.5,3747.5,3747.5,3747.5
"Las Tierras","El Paso","TX","El Paso","El Paso County",213,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1275,1197.5,1250,1250,1195,1175,1100,1150,1100,1100,1100,1100,1100,1100,1200,1200,1200,1200,1150,1150,1195,1100,1100,1100,1100,1195,1175,1200,1195,1175,1100,1100,1100,1130,1175,1150,1135,1150,1175,1195,1150,1100,1100,1100,1100,1100,1100,1100,1100,1100,1124.5,1100,1100,1095,1037.5,1100,1100,1100,1100,1127.5,1110,1100,1100,1095,1097.5,1095,1062.5,1037.5,1050,1075,1095,1100,1100,1100,1195,1200,1195,1100,1095,1100,1100,1100,1150,1150,1150
"Near Eastside","Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",214,,,,,,,,,,,,,,,,,,650,625,650,650,600,600,600,650,650,635,650,630,650,650,625,650,650,650,650,647.5,650,650,650,675,675,675,665,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,675,650,650,650,650,650,662.5,650,650,650,675,675,650,680,700,695,700,695,650,650,675,695,675,650,650,650,695,695,695,695,700,725,700,705,725,700,700,695,699,695,700,700,700,700,700,700,700,725
