"RegionID","RegionName","RegionType","StateName","SizeRank","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4"
753924,"Urban Honolulu, HI","Msa","HI",54,5.39,6.08,5,3.04,1.37,0.39,0.1,0.2,0.69,0.59,0.29,0.49,0.98,1.18,0.88,0.78,1.08,1.27,1.67,2.35,1.76,1.47,2.25,2.65,2.84,2.45,2.75,3.14,3.73,4.12,4.31,5.98,9.02,9.9,10,9.8,9.41,8.92,9.31,9.61,9.71,9.51,8.53,6.37,4.61,5.29,6.27,7.06,7.35,7.55,7.16,6.86,6.76,7.94,9.12,9.22,8.63,6.67,4.51,4.02,3.82,3.43,3.33,3.24,3.92,4.41,4.71,4.8,5.1,5.59,5.78,5.69,5.2,4.9,5.88,6.47,7.45,8.04,7.84,8.14,8.24,8.33,7.25,6.57,6.18,6.96,7.65,8.43,8.82,8.73,7.75,5.49,4.22,3.63,3.53,2.94,2.55,2.16,1.96,2.06,1.86,1.57
395169,"Tulsa, OK","Msa","OK",55,2.65,2.35,2.06,1.67,1.47,1.08,0.98,0.39,0.2,0.1,0.29,0.49,0.59,0.69,0.78,0.88,1.18,1.37,1.27,1.57,1.86,2.45,2.25,1.96,1.76,2.16,2.55,2.84,2.75,2.94,3.04,3.14,3.24,3.53,3.82,4.41,4.02,4.12,3.73,4.51,4.61,4.71,3.92,3.33,3.43,3.63,4.22,4.31,4.8,4.9,5.49,5.59,5.69,5.98,6.37,7.25,6.86,6.67,6.27,6.18,6.08,5.78,5.29,5.2,5.1,5,5.39,5.88,6.76,6.47,6.57,6.96,7.06,7.35,7.84,8.82,9.8,9.9,10,9.71,9.02,8.14,7.75,7.55,8.33,8.63,9.31,8.73,7.65,7.45,7.16,7.94,8.53,9.22,9.51,9.61,9.41,9.12,8.43,8.24,8.04,8.92
394619,"Fresno, CA","Msa","CA",56,1.08,0.49,0.39,0.59,0.88,0.78,0.29,0.1,0.2,0.69,0.98,1.18,1.27,1.37,1.47,1.57,4.41,5.2,5.1,3.92,2.75,3.43,2.45,4.22,5,5.88,6.18,6.67,6.08,5.59,5.29,5.39,5.49,5.78,5.98,6.27,6.47,6.57,5.69,4.71,3.82,2.16,3.53,3.04,2.84,1.96,2.35,3.73,4.61,4.8,4.51,3.14,1.76,1.86,2.25,2.65,3.24,2.55,3.63,3.33,4.02,4.12,4.31,2.06,1.67,2.94,4.9,6.37,6.86,7.16,6.76,6.96,7.06,7.35,7.25,7.55,7.65,7.84,8.14,8.82,8.73,8.53,8.43,8.63,8.92,9.02,9.22,9.41,9.8,10,9.9,9.71,9.61,9.51,9.31,9.12,8.33,8.24,8.04,7.94,7.75,7.45
395238,"Worcester, MA","Msa","MA",57,1.27,0.98,1.37,2.06,2.35,2.16,0.78,0.49,0.88,1.96,1.57,1.08,0.29,0.1,0.39,0.2,0.59,0.69,1.18,1.47,1.67,1.76,1.86,2.25,2.55,2.94,2.84,2.75,2.45,2.65,3.04,3.82,3.73,3.24,3.14,3.33,4.02,4.61,5.29,5.39,5.59,5.78,5.88,5.2,4.31,3.43,4.12,4.71,4.8,4.22,3.53,4.41,5.1,4.9,3.63,4.51,6.18,6.67,6.76,6.57,6.37,6.27,5.98,5.69,5.49,3.92,5,6.08,6.47,6.86,6.96,7.06,7.16,7.45,7.55,7.35,7.25,7.94,8.14,8.24,8.04,7.75,7.65,7.84,8.33,8.63,9.02,9.22,9.61,9.8,10,9.9,9.41,8.82,8.53,8.43,8.73,8.92,9.12,9.31,9.51,9.71
394415,"Stamford, CT","Msa","CT",58,2.84,2.94,3.33,4.12,4.9,5.88,5.69,3.43,2.75,2.45,2.25,1.47,1.08,0.59,0.49,0.29,0.1,0.39,0.2,0.88,1.27,1.67,1.57,1.37,1.18,0.78,0.69,0.98,2.16,3.63,6.67,6.57,5.2,3.92,4.71,6.27,7.25,6.76,6.37,7.06,6.86,3.73,2.35,2.06,3.04,5,5.29,5.59,6.08,7.45,6.96,6.47,5.1,4.31,4.02,3.53,4.41,4.61,5.49,5.98,5.78,5.39,4.22,3.14,2.65,1.96,1.76,1.86,2.55,3.24,3.82,4.51,4.8,6.18,7.35,8.04,9.12,9.71,9.8,9.22,8.24,7.55,7.65,8.14,8.82,9.02,8.53,7.94,7.16,7.84,9.41,10,9.9,9.61,8.73,8.43,8.33,8.92,9.51,9.31,8.63,7.75
394312,"Albuquerque, NM","Msa","NM",59,2.35,2.84,2.75,2.65,1.96,2.06,0.88,0.29,0.1,0.2,0.39,0.78,0.69,0.49,0.59,0.98,1.27,1.08,1.47,3.04,4.22,5.88,6.37,5.59,4.41,3.92,4.31,5.78,6.96,6.47,6.67,5.98,6.18,5.49,5.1,5.39,4.8,4.51,3.82,3.53,1.86,1.57,1.18,2.25,2.55,2.16,1.67,1.37,1.76,2.94,3.33,3.63,3.43,3.24,2.45,3.14,3.73,4.12,4.02,4.61,5,5.69,5.2,4.71,4.9,5.29,6.08,6.27,6.76,6.57,6.86,7.06,7.16,7.25,7.75,7.55,7.45,7.35,7.65,7.84,8.24,8.33,8.43,8.14,7.94,8.04,8.53,8.63,9.02,9.61,9.9,10,9.8,9.51,9.31,8.73,8.82,8.92,9.12,9.22,9.41,9.71
394308,"Albany, NY","Msa","NY",60,2.75,3.53,3.63,3.43,3.14,3.24,3.82,3.04,2.94,2.65,2.45,2.06,1.27,1.08,0.88,0.69,0.78,0.49,0.29,0.59,0.39,0.2,0.1,0.98,1.18,1.37,1.57,1.67,1.47,1.76,1.86,1.96,2.25,3.33,4.8,4.71,4.41,3.92,4.22,4.31,4.9,5.2,5.49,5.1,4.12,2.55,2.16,2.35,2.84,3.73,5,5.39,5.29,4.51,4.02,4.61,5.59,5.69,5.78,5.88,6.27,6.37,6.18,5.98,6.08,6.47,6.57,6.67,6.76,6.86,6.96,7.06,7.16,7.25,7.35,7.45,7.55,7.65,7.75,7.84,7.94,8.04,8.33,8.82,9.02,9.22,9.61,9.51,9.31,9.41,9.8,10,9.9,9.71,9.12,8.92,8.73,8.63,8.43,8.53,8.24,8.14
394938,"Omaha, NE","Msa","NE",61,1.47,1.37,1.86,1.76,1.57,1.27,0.88,0.39,0.59,1.08,0.78,0.98,0.69,0.49,0.2,0.1,0.29,1.18,1.67,1.96,2.06,2.16,2.25,2.35,2.45,2.55,2.65,2.75,2.94,2.84,3.04,3.14,3.24,3.33,3.43,3.53,3.63,3.82,3.73,4.02,3.92,4.12,4.22,4.31,4.41,4.51,4.61,4.71,4.8,4.9,5,5.1,5.2,5.29,5.39,5.59,5.49,5.69,5.98,6.27,6.57,7.06,6.86,6.37,6.08,5.78,5.88,6.18,6.96,6.76,6.47,6.67,7.16,7.25,7.35,7.45,7.55,7.65,7.75,7.84,7.94,8.14,8.33,8.43,8.53,8.82,9.12,9.61,9.8,10,9.9,9.71,9.51,9.41,9.31,9.22,9.02,8.92,8.73,8.63,8.24,8.04
394908,"New Haven, CT","Msa","CT",62,2.25,3.04,3.43,3.33,3.14,2.94,2.45,1.27,0.2,0.78,1.67,2.06,1.47,0.29,0.1,0.49,1.37,1.76,1.96,2.16,2.35,1.86,0.69,0.39,0.59,0.88,1.08,0.98,1.18,1.57,2.84,6.18,6.96,6.76,6.67,7.06,7.25,7.16,7.55,7.45,7.35,6.86,6.08,5.2,5,4.41,5.1,4.22,4.71,4.02,4.8,4.9,4.61,3.24,2.65,2.55,2.75,4.51,5.88,5.98,5.59,5.29,4.31,3.82,4.12,3.63,3.73,3.53,3.92,5.39,5.69,6.47,6.37,6.27,5.49,5.78,6.57,7.65,7.75,7.84,7.94,8.04,8.14,8.24,8.33,8.43,8.53,8.63,8.73,9.02,9.51,10,9.9,9.12,8.82,8.92,9.22,9.61,9.8,9.71,9.41,9.31
394357,"Bakersfield, CA","Msa","CA",63,2.16,1.67,1.18,0.98,0.69,0.49,0.1,0.2,0.29,0.39,0.59,0.78,1.27,1.57,2.25,3.63,5.29,6.08,6.47,6.76,6.67,6.27,5.78,5.49,5.1,4.71,4.8,5.59,7.35,8.24,7.06,5.69,6.18,8.04,9.22,9.71,9.9,10,9.8,8.92,8.33,9.02,9.31,8.82,7.55,5.98,5.2,4.61,4.51,5,4.9,4.12,2.94,3.14,4.22,4.31,3.24,2.84,2.45,2.75,2.55,1.96,1.86,1.76,1.37,1.08,0.88,1.47,2.06,2.35,2.65,3.04,3.43,3.53,3.82,3.92,4.02,3.33,3.73,4.41,5.39,6.86,7.75,7.16,5.88,6.37,7.65,8.63,9.41,9.61,9.51,9.12,8.73,8.53,7.94,7.25,6.57,6.96,7.45,7.84,8.14,8.43
