"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,1595,1425,1450,1395,1600,1600,1595,1524.5,1524.5,1595,1550,1715,1890,1650,1785,1497.5,1550,1775,1800,1562.5,1750,1745,1650,1700,1950,1961,2050,2059,1995,1850,1850,1795,1795,1892.5,1900,1950,1900,1975,1975,1950,1975,1900,1847.5,1950,2000,1950,1900,1937,1962.5,2025
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,,1095,1100,1100,1150,1150,1150,1150,1100,1100,1100,1100,1100,1100,1095,1095,1100,1125,1100,1097,1075,1047.5,1050,1050,1050,1050,1095,1099.5,1100,1100,1100,1100,1125,1125,1100,1100,1100,1100,1100,1100,1137,1100,1150,1125,1125,1100,1100,1100,1137,1100,1150,1166,1195,1195,1200,1200,1195,1150,1200,1200,1200,1200,1247.5,1217,1230,1250,1250,1250,1200,1200,1275,1195,1250,1250,1275,1295,1300,1300,1312.5,1300,1300,1300,1300,1300,1300,1310,1375,1369,1375,1395,1400,1395,1400,1400,1398,1400,1424.5,1400,1402.5,1450
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,5037.5,5541,5075,5250,5500,5800,5950,6000,5995,5497.5,5490,5700,5725,5585,5700,6089.5,6095,6172,6000,5950,6000,5800,5500,5500,5296.5,4995,5500,5500,5200,5495,5499,5500,5700,5695,5295,5600,6250,6500,6500,6545,6500,6600,6500,6472.5,6500,6700,6500,6425,6500,6500,6400,6400,6295,6397.5,6200,6300,6250,6050,6200,6000,5497,5272.5,6200,5950,5868.5,5995,5773,6000,6000,6000,5700,5515,5950,5799.5,5798,5995,6250,6000,6250,6200,5997.5,6000,6000,5990,5647.5,5965.5,6050,5500,6200,6200,6400,6000,6000,5787.5
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,2495,2480,2395,2395,2395,2350,2212.5,2292.5,2195,2195,2350,2500,2500,2600,2500,2500,2600,2700,2617.5,2645.5,2650,2597,2695,2645.5,2699.5,2643,2610
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",5,,,,,4500,4350,4295,4300,4397.5,4232.5,4495,4300,4400,4497.5,4495,4495,4200,4400,4495,4300,4495,4585,4585,4600,4650,4650,4695,4595,4500,4400,4495,4500,4895,4895,4795,4900,5000,5100,5299.5,5200,5000,5500,5795,6000,6000,6000,6225,6450,5500,5500,5980,5990,5450,5500,5595,5497.5,5195,5247.5,5500,5897.5,5995,5995,5972.5,6040,6220.5,5500,5000,4995,5064.5,5697.5,5547.5,5597.5,5500,5995,5900,5565,5650,5569,5535,5500,6092.5,5847.5,5500,5195,5474.5,5454,5129,5000,4990,4995,4950,5054,5197.5,4995,5225,5500,5595,5500,5500,5500
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,900,900,950,900,925,950,925,900,925,925,900,895,900,899.5,895,900,925,900,900,900,900,900,900,895,895,897,900,900,900,900,900,900,899,895,899,899,899,900,900,905,950,925,925,930,950,950,950,940,932.5,950,950,950,950,950,950,950,950,975,975,950,950,985,995,975,975,1000,1025,975,1000,975,1000,999.5,995,999,1050,1050,1050,1100,1072.5,1065,1097,1095,1075,1075,1075,1050,1095,1100,1125,1130,1172.5,1100,1125,1145,1150,1150,1195,1195,1200,1197.5
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,1195,1200,1225,1250,1200,1200,1200,1195,1162.5,1150,1175,1150,1125,1100,1100,1100,1125,1100,1100,1100,1100,1100,1125,1150,1150,1150,1150,1150,1150,1125,1135,1125,1150,1150,1150,1150,1175,1190,1188,1185,1180,1175,1195,1200,1195,1195,1200,1199,1200,1200,1200,1225,1200,1200,1235,1250,1200,1247,1250,1275,1250,1226,1250,1247.5,1250,1295,1250,1250,1275,1250,1250,1250,1299,1295,1300,1300,1300,1300,1325,1350,1350,1350,1350,1350,1350,1350,1395,1450,1450,1400,1400,1400,1450,1489.5,1495,1495,1500,1525,1500,1600
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,1800,1800,1800,1800,1800,1800,1900,1900,1900,1900,1900,2000,2000,2000,1900,2000,2000,2000,2000,1900,2000,2000,2000,2000,2000,2050,2200,2100,2000,2150,2100,2200,2150,2200,2200,2200,2190,2200,2195,2200,2200,2200,2250,2300,2300,2200,2200,2250,2250,2300,2285,2250,2299,2299,2300,2350
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1268,1335,1339,1354.5,1405,1398.5,1351,1392,1372.5,1343,1335,1300,1349,1479,1474,1500,1509,1545,1545,1532,1545,1587,1552,1561,1719,1729.5,1600
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",10,,,2195,2200,2200,2195,2250,2200,2200,2200,2200,2200,2250,2295,2295,2295,2300,2300,2300,2300,2250,2295,2295,2299,2295,2299,2325,2375,2400,2400,2450,2400,2400,2395,2390,2395,2395,2395,2395,2415,2500,2510,2400,2472.5,2500,2525,2495,2495,2550,2500,2405.5,2500,2500,2550,2550,2625,2700,2700,2642.5,2595,2650,2650,2650,2550,2500,2500,2500,2600,2595,2450,2595,2500,2650,2657,2612,2699,2699.5,2750,2800,2772.5,2700,2612,2595,2562,2595,2565,2625,2650,2625,2650,2699,2750,2699,2750,2700,2600,2595,2558,2597.5,2650
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177,1303.5,1350,1356.5,1318,1291,1234,1277,1300,1300,1300,1310,1325,1347.5,1420,1436.5,1370,1449,1400,1426.5,1449.5,1449,1370,1450,1495
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.5,1050,1100,1194.5,1142.5,1145,1170,1135,1165,1087,1099.5,1125,1199.5,1220,1197,1176,1225,1230,1229.5,1205,1237.5,1150,1190,1245.5,1200,1287.5
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",13,,,,,,2225,2300,2400,2400,2400,2350,2400,2400,2495,2500,2500,2400,2400,2500,2600,2700,2600,2500,2600,2550,2550,2600,2600,2650,2625,2600,2695,2715,2800,2800,2675,2700,2700,2700,2800,2887.5,2900,2864,3000,3000,3000,2800,2800,2800,2800,2800,2900,2900,2850,2862.5,3000,3000,3000,3000,2998.5,3000,3000,3000,3000,3000,3000,3000,3000,3000,3172.5,3000,2950,2900,3000,2950,3000,3000,3000,2950,2900,2850,2850,2900,2800,2800,2800,2800,2800,2850,2900,2950,3000,2975,2800,2800,2900,2895,2900,2900,2900
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",14,,,1500,1600,1500,1615,1597.5,1397.5,1500,1397.5,1375,1397.5,1275,1230,1334,1314,1375,1450,1415,1495,1495,1365,1318,1363,1405,1347.5,1409,1450,1450.5,1475,1475,1432.5,1550,1597.5,1650,1600,1642.5,1690,1695,1651,1685,1800,1775,1650,1600,1597.5,1610,1670,1745,1699,1650,1695,1700,1750,1729,1722,1697.5,1697.5,1724.5,1750,1797.5,1750,1742,1722,1729.5,1750,1756,1800,1875,1800,1750,1750,1859.5,1800,1799,1888,2000,2000,2000,1950,1950,1850,1895,1837.5,1800,1765,1816,1897.5,1964,2000,1968,1922,1935,1975,1982.5,1963.5,2000,1954,1976.5,1854
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings County",15,,,,,,,1950,1950,1900,1900,1900,1900,1950,1850,1900,1900,1999,2000,2099.5,2200,2100,2100,2000,2000,2100,2112.5,2200,2200,2450,2600,2599,2645,2599,2500,2500,2500,2550,2550,2550,2599,2500,2500,2599,2600,2699,2675,2650,2600,2566,2600,2600,2600,2700,2695,2695,2700,2795,2750,2800,2799,2800,2795,2750,2700,2795,2800,2800,2800,2800,2875,2850,2750,2800,2700,2765.5,2800,2800,2800,2800,2800,2842,2795,2672,2600,2699,2695,2750,2800,2799,2799,2800,2800,2895,2799,2695,2679,2700,2700,2700,2800
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",16,,,,,,3000,3000,2975,3000,3250,3200,3000,2900,3000,3049.5,3000,3100,3032.5,3200,3300,3300,3200,3200,3200,3300,3200,3195,3300,3499,3499,3500,3500,3595,3500,3500,3403.5,3395,3300,3400,3450,3514.5,3600,3500,3500,3500,3425,3499,3500,3500,3500,3500,3600,3825,3699,3658.5,3650,3800,3725,3700,3650,3700,3795,3800,3750,3626,3644.5,3600,3785,3700,3992.5,3795,3693.5,3749,3325,3400,3599,3625,3699.5,3695,3600,3750,3699.5,3522.5,3520,3550,3570,3500,3500,3499,3595,3500,3495,3450,3319.5,3300,3200,3200,3300,3425,3750
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,3895,3600,3597.5,3825,3825,3850,3695,3945,3895,3895,4387,4000,3895,4000,4150,4150,4150,4100,4197.5,4095,4095,4395,4595,4295,4085,4000,4395
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677,1759,1700,1588.5,1619.5,1589,1566,1550,1578.5,1495,1487.5,1497,1499.5,1500,1600,1606.5,1591,1625,1692,1640,1775,1775,1668,1774.5,1885,1745,1715
"Flatbush","New York","NY","New York-Newark-Jersey City","Kings County",19,,,,,,,,,,,,,,,1725,1750,1700,1900,1900,1850,1850,1899,1800,1850,1900,1950,1900,1900,2000,2150,2200,2300,2299,2100,2000,2200,2100,2100,2150,2200,2150,2150,2200,2100,2150,2300,2295,2100,2100,2199.5,2300,2350,2400,2375,2300,2375,2375,2325,2300,2300,2395,2400,2400,2375,2350,2400,2400,2400,2500,2400,2350,2350,2400,2362.5,2395,2400,2445,2495,2500,2500,2500,2495,2490,2470,2425,2475,2450,2500,2499,2499,2499.5,2600,2600,2567.5,2549.5,2500,2495,2495,2475,2500
"Southeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",20,,985,1025,975,912.5,950,925,850,875,985,985,975,950,899.5,900,950,950,995,995,999.5,985,953,951.5,950,960,998,995,1000,1000,975,995,950,950,950,950,950,950,1012.5,1025,1025,1050,1050,1025,1036.5,1050,1075,1050,1075,1025,1025,1075,1050,1050,1050,1050,1000,990,975,995,977.5,975,975,975,1069,1120,1050,1125,1000,1050,995,1026.5,1013,1037.5,1122.5,1062.5,1087.5,1062.5,1140,1150,1197.5,1175,1100,1100,1168,1195,1150,1150,1150,1150,1100,1195,1200,1150,1169,1200,1195,1200,1295,1295,1212.5
"Crown Heights","New York","NY","New York-Newark-Jersey City","Kings County",21,,,,,,,,,,,,,,,,,,,2400,2400,2500,2499,2375,2300,2374.5,2499,2500,2500,2672.5,2700,2799,2800,2800,2789,2697,2600,2650,2695,2650,2600,2650,2750,2799,2800,2850,2900,2900,2850,2800,2789,2725,2750,2800,2799,2800,2800,2797,2850,2800,2795,2800,2850,2895,2899,2950,2880,2850,2900,3000,3200,3000,2750,2769.5,2700,2725,2782,2799,2849,2850,2850,2847,2750,2695,2750,2769.5,2760,2799.5,2899,2850,2900,2999,2999,3099.5,2800,2800,2700,2700,2695,2700,2799
"Jamaica","New York","NY","New York-Newark-Jersey City","Queens County",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2100,2126.5,2225,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2225,2299,2250,2300,2300,2350,2300,2300,2300,2300,2300,2400
"Harlem","New York","NY","New York-Newark-Jersey City","New York County",23,,,,,,,,,,,2500,2500,2450,2400,2400,2250,2250,2300,2350,2495,2400,2500,2500,2400,2200,2300,2495,2500,2650,2700,2695,2600,2500,2500,2500,2450,2500,2600,2650,2700,2850,2800,2700,2700,2800,2899,2700,2700,2700,2600,2600,2600,2700,2750,2900,2900,2999,2900,2900,2850,2850,2900,2850,2850,2900,2750,2772.5,2975,2797.5,2843.5,2988,2650,2875,2850,2950,2994,3000,3000,3200,3000,2998,2960,2750,2676.5,2750,2872,2900,2933,2895,3050,3187.5,3100,3000,2885,2894.5,2750,2894.5,2850,2815,2995
"East Side","El Paso","TX","El Paso","El Paso County",24,,,,,1050,1000,1050,995,1025,1050,997.5,995,1050,1050,1100,1150,1100,1100,1050,1050,1000,995,995,975,975,975,975,995,1000,1000,1000,1000,1000,1000,950,995,980,975,975,975,950,995,975,975,950,995,1000,1022.5,1022.5,1010,1035,1095,1040,1095,1095,1050,1000,1050,1030,1000,1000,1000,1000,1000,1035,995,1075,1025,995,1050,975,980,1000,1000,1000,1000,995,1050,1000,1040,997.5,995,995,985,995,955,1000,995,1000,1050,1025,995,995,995,995,995,982.5,995,982.5,1050
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",25,1200,1200,1250,1200,1200,1200,1195,1200,1200,1200,1200,1195,1195,1195,1195,1195,1195,1200,1195,1195,1195,1170,1150,1150,1150,1175,1195,1195,1195,1199,1200,1195,1195,1195,1195,1195,1195,1195,1195,1195,1200,1200,1247.5,1225,1225,1200,1200,1200,1250,1228.5,1225,1225,1225,1250,1250,1265,1250,1250,1250,1250,1250,1267.5,1255,1250,1295,1275,1295,1295,1275,1295,1295,1250,1300,1300,1349.5,1350,1350,1350,1365,1350,1350,1350,1350,1375,1395,1395,1395,1400,1425,1447.5,1411,1450,1450,1450,1450,1485,1495,1495,1499,1550
"Williamsbridge","New York","NY","New York-Newark-Jersey City","Bronx County",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1750,1800,1700,1750,1800,1750,1750,1775,1750,1700,1800,1800,1800,1750,1750,1800,1800,1800,1800,1800,1850,1800,1900,1900,1850,1900,1900,1800,1800,1800,1900,1995.5,1875,1950,1900,1900,1950,1974,1990,1900,1950,1950,1900,1956,1950,1992,2100,2100,2000,2000,2000,2000,2100,2155,2150,2150,2200,2200,2175,2200,2200,2200,2162.5,2300,2300,2300,2250,2200
