RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
53900,Pinetop,Arizona,3286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226900,221400,221500,225e3,230200,223300,227e3,232700,210900,204400,179200,213e3,217900,229500,237e3,237700,229300,215100,210800,250800,248e3,246600,214100,219200,22e4,216200,224600,211400,225800,236100,244e3,232700,223600,228300,247100,245300,242e3,231900,232500,240500,229800,250600,252600,253e3,228600,217200,218100,240600,249100,265500,251800,259200,266300,288700,27e4,275700,267900,281400,263300,250300,257300,251600,260300,238800,249300,256700,268700,290600,266300
50065,Sisters,Oregon,3287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290500,285200,280100,283e3,293200,315300,311900,317600,286100,281200,282100,292100,302100,299200,333400,326200,332900,334900,340800,350600,395800,393500,375600,327300,322600,322200,375800,391100,411900,348200,351600,364800,369500,392e3,361400,390500,373500,390400,374100,371200,361700,385800,379700,378900,377800,392100,400800,401900,379600,411400,42e4,463600,456200,457e3,471600,471600,418600,405100,385300
40124,Ocean Isle Beach,North Carolina,3288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308700,337500,316800,309200,326e3,314300,349300,290500,310800,268700,304400,264700,264900,233600,263700,291700,294400,318900,299900,322500,291800,287300,260200,309300,333700,340600,320900,300800,312200,3e5,265500,310900,277500,327200,294500,321900,315500,302500,291900,319300,295700,309300,278200,282100,287200,298800,326200,309400,306200,320700,335700,302600,316500,307e3,353100,334200,352800,332700,309e3,337500,353100,371300,294700,273500,319100,345500,351300,290200,314600,345500
51365,Chatham,Illinois,3289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171600,174500,167500,174400,176800,178200,171900,173700,188500,18e4,193e3,182300,189800,183900,191800,194600,191100,187300,181800,186700,179200,178400,163200,175600,178900,186700,186200,189400,191100,188300,191800,178900,187100,187400,198300,199100,195200,186900,177200,170200,174300,176300,180200,172600,168600,167e3,186200,
30083,Dagsboro,Delaware,3290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263200,203500,206200,215800,267200,265e3,267800,231100,232800,247e3,263700,278700,273300,256700,251200,256200,271300,263400,302700,269500,267800,198900,210400,219100,223600,242e3,263300,28e4,270700,249e3,256700,243200,
44161,Big Bear Lake,California,3291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216100,221800,217700,226800,222400,237800,263100,277400,280500,282700,268900,268800,259800,270200,274600,278800,280400,278600,263100,265500,254300,268100,274200,287600,262e3,267400,267800,305500,304700,283900,285300,287400,281200,268500,265600,280800,299500,292e3,290800,272600,27e4,265200,263800,280600,304500,305700,298e3,296200,306800,308100,303200,293500,301200,309600,322800,318100,312400,324600,326e3,324800,312100,331500,341500,347e3,342400,343800,341800,329e3,332600,336900,346800,341700,327300,334800,342500,366100,356300,364800,348200,36e4
47914,Surfside Beach,South Carolina,3292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198900,197400,233300,243400,264300,259600,250500,240500,215e3,212600,200100,201200,202200,223600,243800,247400,237300,223200,230900,247600,255800,239800,240300,268800,257700,237400,211600,237100,232600,241600,233100,233700,235e3,272300,268100,279200,238400,247900,243700,243100,239400,244400,252200,276e3,241400,242800,239400,260700,
14747,Youngtown,Arizona,3293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78900,81500,77900,82800,77800,78e3,77700,79300,80800,78600,80900,79200,83800,86400,98700,96700,105400,106600,111600,117900,122300,135500,117900,116200,95600,113900,118800,117200,112600,108700,122200,124200,123400,127500,134100,139300,136300,131100,128100,128300,125700,129300,141600,143800,148e3,135700,141600,140200,147600,145900,148400,156500,161500,162400,169800,167700,167900,162400,157e3,154700,150100
38756,Grand Ledge,Michigan,3294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121600,119700,116900,109800,110900,115e3,115500,120100,133400,139900,135700,126900,121700,120900,128600,157600,155200,146e3,120700,124600,123600,161900,166500,159400,117200,121e3,138300,150700,151e3,145800,142700,138200,143e3,158100,172700,
32988,Mount Shasta,California,3295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257100,243600,240200,236300,24e4,228400,238500,245600,246700,247500,231700,238600,243200,261200,261500,270700,262100,255100,262500,263400,290500,281300,34e4,313600,327600,29e4,303200,290600,269e3,300900,290200,,,,
15265,Lake Dallas,Texas,3296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196100,197200,189800,204500,205100,207200,201700,186600,190200,179200,206600,203100,205700,209600,225500,234900,229200,222600,231300,234600,241600,242600,233500,240100,239300,252400,245600,248400,242100,254800,254700,266e3,252700,246200,216700,211e3,212200
36962,Mineral Bluff,Georgia,3297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181800,197e3,198600,210500,241400,236900,222e3,200900,220500,221100,226500,222600,228400,209400,214400,215300,223900,227700,220400,234400,193700,200100,200700,248900,245500,246700,231400,228e3,208900,219e3,236400,225900,217300,216300,232800,249100,255300,268900,283300,280400,273100,259400,256800,245e3,232900,267800,283700,256900,231600,
45902,Isle of Palms,South Carolina,3298,,,,,,,,,,,,,,,,,,,,,,,,,,,658500,606e3,549700,618100,658300,725900,605500,611800,630700,631200,610800,589800,589600,616400,616100,627700,661500,584400,719900,666600,651700,460700,464900,533300,559400,586700,628e3,686e3,580600,496700,515700,623100,615900,605400,568500,618100,563800,574500,540900,574600,591700,620700,637800,631700,658100,689400,658700,580200,527800,524900,597900,617700,621200,597700,532400,53e4,506100,557100,540900,568900,584100,652500,688100,667e3,580300,568500,605900,682600,682200,631400,620200,650900,749200,738400,729400,699500,732900,746700,713900,701600,700300,711500,737800,689100,687800,655700,654200,653800,647200,661100,729300,736600,791700,693300,731200,676700,722300,710100,756800,767e3,776600,764800,763900,815500,892800,829200,867400,
56112,Orange Beach,Alabama,3299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207e3,194500,199300,198e3,208800,211100,218500,206800,193500,179600,193800,203100,205400,227e3,243800,257500,231800,224700,236800,250700,259100,230400,238400,239100,264500,243800,279300,254400,270800,232400,250800,23e4,245600,258500,301300,279100,275500,251700,262500,269700,299200,269400,264600
15959,Sanibel,Florida,3300,586900,559300,610800,654100,663700,632700,646500,764400,790900,757200,746800,746700,734400,592e3,563e3,629100,636700,608600,556700,584700,570700,586700,591100,599400,552400,522800,557e3,57e4,559200,528900,502400,607800,586900,651900,582200,595200,548500,529100,547600,570700,582600,590500,569900,589700,520900,548400,490900,537400,495500,495600,493500,502800,530200,547100,584700,552700,534400,539300,536e3,538e3,513500,555800,577400,573700,550100,586600,602800,631900,571e3,577700,606100,653e3,647900,597200,587500,620100,676400,682e3,656600,604500,616600,597200,608200,597e3,616400,64e4,631700,626900,619200,603400,632300,660200,706500,710300,672400,645700,634200,640800,671300,664300,667700,683900,676e3,608e3,610300,671100,767900,759700,715e3,712900,685900,697700,695e3,676700,674700,656500,651400,622500,669700,691800,730500,699400,778200,787100,775700,682700,673700,646600,685200,701700,777200,815700,771100,722600
