"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Anchorage Borough","AK","Anchorage","02","020",216,192000,191000,189000,187700,182000,180950,184900,184900,179900,180350,185000,185000,183450,182500,184900,185000,184950,188450,188450,184950,182900,179900,179900,175000,179900,179000,179900,178950,179000,179700,175000,177900,175000,179000,179990,185000,184700,168700,170000,169900,179000,179900,178500,174700,175000,175750,175000,178000,175000,189900,189900,189855,189875,187500,188800,189000,184000,180000,177900,179900,182495,178000,189000,181000,189000,190000,199000,196950,195000,193000,193000,189900,189900,189000,189950,193000,190000,190000,195000,194900,199000,194250,193000,190000,189000,188900,185250,186000,185000,186900,185000,189000,189000,189900,195000,191500,185000,185000,193728.5,189000,189900,199500,199625,199900,199000,199000,189700,190000,189900,189900,189000,190000
"Galveston County","TX","Houston-The Woodlands-Sugar Land","48","167",217,75000,74900,75000,74905.5,74995,74500,72600,69991,69900,69999,70450,70000,69900,69500,69900,69900,72900,71195,72900,70000,72000,69800,68713,69000,67250,65000,66000,67000,69000,69000,69000,69000,67500,69000,69050,69850,69900,71000,73000,75000,75000,74000,73500,75000,75000,75950,75000,75950,75000,75000,75000,75000,75000,74900,74900,75500,75000,75900,73700,74500,79000,76900,75000,79000,79000,79900,79900,79900,80000,80000,79900,79500,79900,79974.5,84000,87700,89000,89900,95000,95000,96250,95500,99000,96000,99000,99900,99900,102000,107950,110000,113100,110000,110000,112000,110000,112000,109900,110000,110000,113000,113000,119450,118372,116900,119900,119900,119950,119000,119900,125000,125900,125000
"Gloucester County","NJ","Philadelphia-Camden-Wilmington","34","015",218,139000,135000,134900,135000,134900,134900,134890,129921,129900,129900,129500,125000,125000,124900,124949.5,124895,119990,119999,119900,115000,115000,115000,114855,112700,110000,108450,106000,106500,109775,105500,105000,1e+05,102000,101500,1e+05,99999.5,1e+05,1e+05,1e+05,104900,104900,104943.5,102500,1e+05,1e+05,104900,1e+05,99999,1e+05,102500,103900,101125,104900,1e+05,1e+05,101000,1e+05,1e+05,99999,99900,99900,99949.5,99900,104950,105000,1e+05,1e+05,1e+05,99900,1e+05,99900,99611,99000,99900,99900,1e+05,1e+05,105000,104900,105000,104500,103000,103750,108000,109900,109900,109900,109900,109900,110000,109900,104900,107500,109900,109900,109900,109900,110000,112000,115000,115000,115900,119900,119900,119900,120000,120000,119900,124625,122000,124900,127500
"Howard County","MD","Baltimore-Columbia-Towson","24","027",219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,139900,136050,134900,149950,152900,159900,134950,148625,139400,148250,144000,143750,150000,150000,148500,153900,149900,150000,154900,155000,160000,166250,165000,163000,160000,165900,169450,169900,165000,163400,159900,159500
"Douglas County","CO","Denver-Aurora-Lakewood","08","035",220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220000,220000,215000,228950,235000,235000,239900,234900,228000,235000,237250,226450,216000,235000,240000,254950,257500,265000,264700,259450,269900,265000,269950,274500,272950,275000,279900,282000,285000,283275,280000,283000,288000,287750,289900,295000,297000,295000,295000,295000
"Lancaster County","NE","Lincoln","31","109",221,67200,64949.5,69900,69900,69700,69950,69900,72000,72000,74950,79900,79000,79900,72000,75000,75000,76500,74900,74950,74700,72200,71950,74950,74900,75000,74900,74000,75000,75000,79000,80000,79900,79900,81000,81950,79975,79500,80000,70000,79900,79975,73000,72000,75000,75000,75662.5,77950,77500,75450,74900,78200,79000,79900,80000,79900,81000,82500,82900,83250,79997,81400,84950,84700,85000,84900,85000,86950,89900,89700,89900,89020,89020,89040,89900,91950,94000,94900,92500,94900,99900,99900,101000,106950,101900,99925,95000,99900,105000,109900,107450,106700,115000,113000,110000,115000,110000,104900,99975,109900,115000,119900,119000,120000,124950,124900,124900,125000,124900,124900,124900,125000,119900
"Spartanburg County","SC","Spartanburg","45","083",222,48250,45000,47000,45000,45000,45900,46900,44900,44900,44900,45000,44900,44500,40000,42900,42000,40000,39000,39694,38700,38000,39900,39900,39000,38000,39000,39900,37500,35900,37000,37000,35950,34989.5,35000,34979,34500,34000,34979,35000,35800,38900,39900,39900,41900,40000,43500,42416.5,44700,42166.5,42900,39984.5,42333,43000,42416.5,40250,40000,39900,39900,39900,39900,40000,40000,39900,41500,44000,42333,45000,44900,41900,42600,40000,40950,45000,45000,42000,45000,45000,49600,47000,47500,49500,49900,48250,48250,49900,49900,52500,49900,49900,50000,48000,48450,49000,52000,52950,50000,50000,55000,54900,55000,54900,50750,49450,54999.5,54900,55000,59900,55950,58700,59900,60000,64900
"Cumberland County","ME","Portland-South Portland","23","005",223,149900,149900,149900,150000,150000,150000,149900,150000,149900,149900,149900,148500,149000,147500,148700,149000,149000,149000,149000,149000,147900,147500,145000,145000,144500,139900,142500,140000,139900,140000,141900,143777.5,139900,140200,139900,142500,144233,143000,147911,149000,149000,149900,149300,148750,149900,149900,149877,149900,143000,144000,148900,149900,150000,158750,154900,154300,154800,151000,153350,149900,150000,149900,149000,149000,149900,154950,155000,155900,157000,154950,157700,155000,157500,155000,160000,160500,159900,160000,159900,165000,164250,164950,169000,168900,165500,169000,168000,169000,173000,179000,179000,184900,182000,184250,184400,179500,182500,184500,185000,188900,189000,189950,195000,197900,199000,199900,199500,199900,199000,197900,199900,204900
"Ingham County","MI","Lansing-East Lansing","26","065",224,50175,50000,50000,54900,55000,54900,54900,54000,50000,49900,50000,49900,44900,44900,44250,44900,44900,44000,44900,44000,42900,42900,42900,40000,39900,39900,39900,40000,39900,40021,42500,44900,41900,42450,44900,44900,45000,45000,46900,47000,48300,49000,49900,49900,49900,49900,49900,49900,49900,49900,49900,51900,54900,56450,55000,54900,54900,54900,53950,51000,52875,54900,54900,55000,55000,54900,54900,54000,53950,54900,53700,51500,49900,49900,52000,54900,55000,54900,59900,59888,56000,59900,59800,57900,57000,57900,59900,59900,61314,62000,62950,64900,63500,60000,60000,62318.5,63500,64900,64900,65000,64900,68000,69900,69900,69900,69900,69900,69900,69900,69900,69900,70000
"Erie County","PA","Erie","42","049",225,59900,60000,63907.5,61900,59900,59900,59900,59900,59900,59900,59303,59000,58000,55950,57900,59900,59900,59900,59900,59900,59000,59000,57900,57500,58900,59000,60000,59900,59900,61200,59900,59900,63000,59900,59900,59900,62000,64700,64000,64900,62900,63000,63000,63750,61900,60000,62000,62000,60600,61950,62900,64900,64900,65000,65000,65000,65000,65000,64900,64900,64900,64900,64900,64900,65000,67000,65000,65000,65000,64950,64900,64250,63000,60000,60000,62250,63000,64900,64900,64900,62540,60000,60000,59900,59900,59997.5,62900,64900,64250,65000,64900,64465,62500,63700,64500,63800,64250,64900,64900,64900,65989,67500,69500,68750,67900,68253,65900,65700,64900,64949.5,64900,64234.5
