"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Chatham","Chicago","IL","Chicago-Naperville-Elgin","Cook County",190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1044,1045,1050,1050,1090,1088,1075,1047,1000,1000,1000,1088,1100,1088,1100,1125,1200,1100,1195
"Turtle Bay","New York","NY","New York-Newark-Jersey City","New York County",191,,,,,,,,,,,,,,,,2897.5,2900,2925,3000,3225,3000,3000,3000,2950,2895,2900,3000,2997.5,3000,3000,3100,3000,3000,2950,2950,2900,2950,2950,3000,3000,3095,3100,3150,3000,3000,3000,3100,3100,3200,3200,3250,3200,3250,3200,3150,3200,3200,3295,3400,3500,3650,3395,3400,3350,3407.5,3350,3250,3300,3343,3397.5,3350,3295,3285,3250,3275,3295,3300,3350,3300,3395,3070,3180,3200,3195,3300,3350,3295,3300,3212.5,3195,3272.5,3260,3025,3000,3000,3295,3195,3350,3400,3415,3415,3550,3499,3375,3350,3375,3497.5,3575,3512.5
"West Side- West End","Bridgeport","CT","Bridgeport-Stamford-Norwalk","Fairfield County",192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1197.5,1175,1100,1150,1187.5,1150,1150,1162.5,1150,1195,1200,1150,1150,1195,1100,1150,1150,1200,1200
"Wynwood - Edgewater","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2050,2200,2550,2400,2600,2600,2400,2400,2450,2400,2300,2300,2300,2350,2400,2175,2200,2125,2200,2175,2175,2200,2250,2200,2100,2100,2400,2450,2500,2350,2397.5,2500,2605,2635,2600,2622.5,2650,2372.5,2395,2400,2450,2400,2400,2400,2350,2372.5,2350,2450,2400,2450,2450,2400,2400,2450,2500,2500,2500,2500,2500,2600,2500,2600,2500,2700,2500,2500,2500,2500,2500,2500,2550,2500,2535,2550
"Manhattanville","New York","NY","New York-Newark-Jersey City","New York County",194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,2600,2500,2495,2500,2575,2850,2647.5,2375,2500,2495,2550,2595,2600,2562.5,2695,2647.5,2550,2650,2800,2520,2500,2375,2250,2162.5,2297.5,2429,2585
"Prospect Heights","New York","NY","New York-Newark-Jersey City","Kings County",195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2700,2450,2500,2525,2650,2600,2600,2575,2500,2500,2500,2500,2500,2500,2795,2750,2850,2800,2900,2725,2695,2695,2800,2700,2650,2700,2900,2800,2800,2812.5,2772.5,2750,2704,2700,2599,2647.5,2800,2800,2800,2962.5,2825,2800,2750,2775,2890,2725,2750,2850,2800,2800,2950,2995,2950,2850,2850,2795,2800,2850,2800,2997,2995,2800,2899,3124.5,3200,2997.5,2800,2800,2725,2900,2900,2850,2800,2900
"Adams Morgan","Washington","DC","Washington-Arlington-Alexandria","District of Columbia",196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2290,2270,2345,2400,2400,2345,2320,2295,2245,2200,2500,2495,2400,2350,2345,2650,2294.5,2295,2347.5,2547.5,2450,2450,2290,2245,2350
"Charlestown","Boston","MA","Boston-Cambridge-Newton","Suffolk County",197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2300,2350,2375,2465,2465,2540,2475,2550,2762,2500,2500,2500,2600,2600,2700,2550,2600,2600,2600,2600,2549,2700,2600,2549.5,2535,2475,2505,2500,2505,2535,2765,2600,2600,2700,2545,2597.5,2600,2600,2595,2602.5,2550,2500,2500,2460,2500,2487.5,2625,2567.5,2400,2515,2600,2700,3000,3000,2900,2800,2950,3175,2900,2650,2550,2600,2600,2650,2807,2890,3000,3100,3185,3000,3100,3000,2875,2700,2637.5,2850,2900,2950,2969
"Avondale","Chicago","IL","Chicago-Naperville-Elgin","Cook County",198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1600,1575,1550,1587.5,1625,1700,1850,1722.5,1500,1600,1700
"Wilshire-Montana","Santa Monica","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3075,3195,3200,3430.5,3195,3095,3000,2995,3125,3022.5,2950,3050,2995,2995,2895,2895,2845,2672.5,2995,2895,2650,2895,2850,2760,2850,2795,2717.5
"Heart of Chicago","Chicago","IL","Chicago-Naperville-Elgin","Cook County",200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1200,1200,1375,1400,1500,1450,1350,1300,1325,1295,1300,1497.5,1500,1425,1475,1600,1672.5,1600,1400,1295,1322.5,1495,1495,1400,1325,1437.5
"University Village - Little Italy","Chicago","IL","Chicago-Naperville-Elgin","Cook County",201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526.5,2311,2199,2298,2249.5,2200,1953,1876.5,1839,1837.5,1900,1900,1900,2047.5,2100
"Dutchtown","Saint Louis","MO","St. Louis","Saint Louis City",202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,525,557.5,550,540,525,550,550,550,637.5,625,600,650,650,650,600,625,625,550,625,595,570,585,550,575,575,575
"Greenwood","New York","NY","New York-Newark-Jersey City","Kings County",203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1950,1950,2150,2000,1995,2100,2000,1992.5,2000,2000,2100,2200,2200,2100,2000,1995,1995,1995,2000,2200,2250,2300,2300,2200,2200,2250,2250,2395,2425,2400,2200,2150,2400,2300,2350,2300,2330,2372.5,2395,2300,2395,2399.5,2385,2300,2275,2300,2300,2250,2200,2260,2150,2295,2200,2200,2300,2300,2300,2300,2300,2249,2450,2350,2245,2250,2250,2300,2300,2471,2500,2500,2750,2500,2400,2315,2199,2200,2349,2200,2300
"Midtown","New York","NY","New York-Newark-Jersey City","New York County",204,,,,,,,,,,,,,2572.5,2650,2900,2872.5,3150,2950,3000,3200,3200,3095,3180,3100,3200,3195,3240,3350,3300,3400,3395,3397,3350,3312.5,3295,3300,3350,3300,3365,3400,3395,3400,3400,3350,3365.5,3350,3395,3400,3400,3495,3500,3773,3725,3635.5,3781,3825,3850,3795,3769,3725,3671,3730.5,3550,3790,3770,3695,3650,3725,3597.5,3542.5,3730.5,3600,3695,3525,3595,3450,3500,3500,3500,3450,3450,3550,3700,3700,3795,3850,3800,3850,3650,3772.5,3686,3595,3595,3595,3600,3595,3595,3553,3700,3750,3745,3695,3838.5,3742.5,3700,3695,3742.5,3900,3950
"North Quincy","Quincy","MA","Boston-Cambridge-Newton","Norfolk County",205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,1660,1750,1725,1725,1725,1800,1850,1800,1736,1700,1800,1800,1995,1850,1841,1833.5,1795,1800,1800,1900,1750,1750,1800,1800,1737.5,1800,1700
"Audubon","New Orleans","LA","New Orleans-Metairie","Orleans Parish",206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1696,1650,1600,1612.5,1600,1650,1700,1662.5,1700,1595,1595,1595,1585,1600,1650,1650,1650,1500,1600,1700,1525,1600,1650,1612.5,1675,1725
"West Grand","Grand Rapids","MI","Grand Rapids-Wyoming","Kent County",207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,825,825,850,895,850,862.5,875,895,900,840,875,897.5,895
"Spuyten Duyvil","New York","NY","New York-Newark-Jersey City","Bronx County",208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2225,2300,2200,2200,2300,2400,2300,2225,2200,2200,2172.5,2200,2300,2350,2395,2395,2400,2225,2250,2325,2199,2350,2400,2350,2400,2400,2350
"Tudor City","New York","NY","New York-Newark-Jersey City","New York County",209,,,,,,,,,,,,,,,,,,2995,2900,3144,2900,2800,2850,2850,2850,3060,2995,2995,3000,3000,3000,2995,2999,2987,2850,2925,2895,2900,3000,3000,3000,3000,3000,2995,2900,2900,2900,2900,2900,2999,3000,3095,3098,3063,3000,3195,3197.5,3150,3264.5,3300,3195,3200,3300,3200,3295,3100,2995,3096,3050,3000,3000,3021,3095,3100,3240,3195,3000,3098,3035.5,2795,2872.5,2550,2768,2900.5,2999,3242,3264,3203.5,3129,3010.5,3195,3150,3050,2995,3050,3125,3300,3400,3400,3495,3395,3450,3495,3600,3526,3622,3369,3200,3142
"Battery Park","New York","NY","New York-Newark-Jersey City","New York County",210,,,,,,,,,,,,,3720,3745,3850,4172.5,3795,3875,3795,3585,3800,3800,3995,3700,4045,3725,4200,4150,4125,4175,4400,4562.5,4250,3932.5,3750,3795,3749,3885,3950,3915,3850,3925,3849.5,3795,3800,3865,3785,3750,3795,3975,4150,4285,4350,4550,4500,4295,4062.5,4275,4500,4572.5,4650,4597.5,4675,4585,4510,4550,4512.5,4550,4495,4500,4643,4500,4500,4500,4500,4350,4600,4550,4425,4500,4262.5,4500,4425,4350,4662.5,4975,4550,4712.5,4650,4550,4550,3995,3995,4297.5,4430,4317.5,4500,4816,4550,4480,4595,4600,4550,4375,4259.5,4325,4550,4550,4625
"Kenmore","Boston","MA","Boston-Cambridge-Newton","Suffolk County",211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895,1800,1800,1795,1825,1800,1850,1825,1825,1850,1895,2100,2099,2000,2000,1900,1925,1900,1900,1900,1950,1999,1950,2150,2100,2050,2000,1950,1925,1925,1950,1975,1950,2000,2100,2100,2075,2060,2050,2000,1975,2075,1925,1975,1950,1975,1995,2300,2300,2150,2100,2000,2000,2000,2007.5,2000,2100,2075,2197.5,2400,2212.5,2150,2200,2250,2100,2100,2100,2125,2120,2195,2400,2600,2600,2500,2425
"North Shore","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1900,1975,2000,2225,2175,2100,2125,2300,2050,2125,1800,1997,1975,2100,2450,2300,2300,2300,2300,2424.5,2100,2200,2200,2300,2162.5
"Capitol","Madison","WI","Madison","Dane County",213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1262.5,1250,1245,1245,1247.5,1250,1355,1375,1422.5,1295,1250,1235,1250,1300,1295,1355,1265,1359,1374,1410,1550,1450,1272.5,1195,1297,1300,1325
"Windsor Terrace","New York","NY","New York-Newark-Jersey City","Kings County",214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2500,2700,2600,2604,2700,2400,2500,2675,2595,2600,2575,2650,2610,2523.5,2500,2500,2575,2500,2500,2385,2500,2500,2497,2250,2448,2599,2462.5,2375,2450,2607,2750,2714,2635,2667.5,2520,2475,2399,2375,2481,2487,2592,2500,2500,2550,2700,2775,2700,2800,2600,2700,2895,2900,2900
"Fair Haven","New Haven","CT","New Haven-Milford","New Haven County",215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1175,1100,1095,1050,1100,1100,1100,1100,1055,1100,1100,1095,1100,1125,1200,1200,1195,1150
"Park Manor","Chicago","IL","Chicago-Naperville-Elgin","Cook County",216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965,950,1000,1022,1125,1125,1112.5,1097.5,1044,1050,1050,1050,1100,1100,1150,1100,1100,1100,1100,1044,1044,1000,1000,1000,1100,1100,1100,1100
"Hillcrest","San Diego","CA","San Diego-Carlsbad","San Diego County",217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,1722.5,1795,1650,1835,1722.5,1875,1745,1875,1745,1695,1750,1712.5,1750,1750,1795,1862.5,1795,1850,2095,1975,1950,1935
"Mission Hill","Boston","MA","Boston-Cambridge-Newton","Suffolk County",218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3675,3500,3300,3300,3295,3200,3325,3400,3400,3385,3600,3800,3800,3600,3400,3300,3300,3300,3300,3300,3200,3300,3575,3800,3700,3600,3475,3345
"East Side","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1600,1795,1595,1695,1625,1650,1695,1750,1750,1695,1695
"Union Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2700,2550,2400,2395,2525,2349.5,2224.5,2300,2500,2387.5,2300,2375,2425,2500,2500,2400,2350,2300,2300,2200,2249,2200,2200,2450,2500,2700,2600,2700,2500,2400,2400,2350,2249.5,2300,2300,2402.5,2500,2700,2600,2600,2700,2875,2675,2410,2500,2300,2350,2400,2700,2800,2700,2850,2750,2767.5,2512.5,2525,2400,2475,2600,2800,3000,3000,2950,2995,2800,2700,2712.5,2800,2760,2750,2700,2995,3000
"North Park","Buffalo","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097.5,1100,1100,1025,1025,1100,1087.5,1075,1100,1175,1150,1100,1200,1122.5,1100,1100,1125,1050,1100,1100,1100,1200,1250
"Gold Coast","Chicago","IL","Chicago-Naperville-Elgin","Cook County",222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1627,1586.5,1600,1605,1631,1575,1597,1590,1600,1633,1633,1651.5,1682,1700,1700,1676,1701,1651,1701,1676,1721,1684,1624.5,1654,1650,1652,1686,1700,1677,1695,1675,1675,1652,1525,1500,1495,1597,1570,1528,1694.5,1675,1677,1598.5,1676,1578,1676,1620,1750,1650,1750,1700,1677,1700,1650,1688,1650,1650,1675,1640,1632.5,1650,1767,1730,1676,1650,1695.5,1639.5,1695,1695,1780,1730
"Irving Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299.5,1295,1350,1445,1300,1400,1400,1450,1397,1395,1400,1385,1350,1250,1350,1350,1350,1350,1337.5,1395,1300,1400,1450,1450,1450,1450,1395,1425
"Nob Hill","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350,3250,3300,3325,3300,2895,2872.5,2695,2600,2745,2945,3020,3495,3495,3175,3195,3495,2900,2950,3122.5,3347.5,3125,2996.5,3422.5,3295,2995,3250
"Alamitos Beach","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497.5,1495,1650,1460,1600,1695,1672.5,1597.5,1495,1495,1625,1672.5,1500,1585,1695,1695,1595,1650,1695,1695,1695,1675,1695,1695,1695,1695,1597.5
"Mid-City","New Orleans","LA","New Orleans-Metairie","Orleans Parish",226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1350,1250,1300,1395,1197.5,1250,1200,1050,1200,1400,1400,1225,1400,1350,1450,1340,1362.5,1375,1400,1387.5,1400,1450,1350,1400
"Lincoln Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",227,,,,,,,,,,,,,1500,1400,1425,1445,1445,1550,1575,1625,1572.5,1550,1567.5,1622.5,1600,1750,1800,1800,1730,1672.5,1735,1595,1495,1597.5,1640,1700,1687.5,1775,1765,1715,1595,1635,1555,1550,1600,1650,1677.5,1695,1830,1737.5,2000,2105,1800,1945,1900,1925,1850,1875,1900,1600,1610,1700,1750,1850,1550,1550,1575,1562.5,1585,1510,1595,1700,1727.5,1550,1625,1687.5,1575,1550,1395,1465,1500,1635,1795,1727.5,1625,1550,1550,1535,1550,1600,1695,1650,1655,1612.5,1540,1550,1625,1775,1795,1695,1550,1415,1395,1485,1495,1650,1550,1725,1765
"Downtown","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2300,2400,2462.5,2500,2300,2300,2500,2450,2500,2550,2550,2550,2575,2500,2500,2450,2500,2525,2450,2250,2300,2350,2300,2400,2500,2500,2500,2500,2400,2400,2500,2500,2500,2600,2600,2350,2500,2500,2500,2500,2450,2500,2425,2490,2350,2350,2497.5,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2450,2400,2400,2500,2500,2493.5,2493.5,2483.5,2500,2500,2475,2500,2500,2500,2500
"Jamaica Estates","New York","NY","New York-Newark-Jersey City","Queens County",229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1862.5,1795,1795,1700,1700,1795,1797.5,1795,1795,1795,2000,2000,2012.5,1900,1900,1800,1900,1800,1799.5,1800,1797.5
"Woodlawn","Chicago","IL","Chicago-Naperville-Elgin","Cook County",230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,1200,1200,1247.5,1200,1207,1200,1207,1295,1250,1250,1250,1250,1250,1275,1266.5,1297.5,1253,1251.5,1250,1250,1251.5,1250,1245,1253,1299.5,1253,1280
"Carroll Gardens","New York","NY","New York-Newark-Jersey City","Kings County",231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2700,3000,3000,3000,2950,2925,3047.5,3000,3100,2950,3000,2800,2800,2675,2750,2700,2800,2800,2800,2800,2800,2800,2700,2900,2900,3200,3000,2950,3050,3200,3000,3100,3100,2990,2900,3000,3100,3025,2900,2950,2995,2950,3100,2900,2697.5,2787.5,2750,2759.5,2850,2900,2800,2800,2900,2800,2950,2850,2850,2862.5,2950,2800,2900,3300,3000,2900,2999,2825,2799.5,2850,2975,2900,2850,2700,2800
"Dupont Circle","Washington","DC","Washington-Arlington-Alexandria","District of Columbia",232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,2975,2900,2850,2850,2650,2700,2660,2745,2900,2970,2970,3235,2984.5,2999,3175,2850,2715,2730,2880,2880,2880,2790,2890,2850,2740,2880,2970,3000,3150,3000,3000,3035,3090,2910,3230,2930,2910,2910,2900,2880,2900,2865,2890,2970,3090,3090,3000,3090,3240,3240,3240,3240,2900,3090,3240,2970,3240,3240,3000,3000,3240,3240,3300,3300,3300,3360,3435,3435
"Hunters Point","New York","NY","New York-Newark-Jersey City","Queens County",233,,,,,,,,,,,,,,,,2600,2687.5,2750,2642.5,2720,2550,2625,2730,2626.5,2687.5,2850,2860,2895,2825,2795,2825,2900,2800,2785,2875,2900,2825,2921.5,2923,2880,2850,2815,2795,2795,2795,2800,2800,2795,2795,2800,2800,2740,2658,2777,2850,2930,2968.5,2930,3030,3000,2995,3000,2995,3050,3095,3000,2995,2905,2900,2850,2958,2970,2960,2995,2995,2978,3095,3000,3000,2995,2935.5,3110,3092.5,3000,3100,3082.5,3100,3150,3139,3138,3000,2917,2907.5,2947,2942,2985,2997.5,3136,3230,3212,3250,3320,3237.5,3162.5,3154,3143,3134,3171,3275
"Russian Hill","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4145,3947.5,3972.5,3872.5,4195,4300,4000,4397.5,4399.5,4170,4170,4500,4175,4170,3872.5
"Shadyside","Pittsburgh","PA","Pittsburgh","Allegheny County",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1400,1400,1395,1325,1395,1395,1397.5,1450,1395,1575,1647.5,1695,1450,1495,1475
"University Heights","San Diego","CA","San Diego-Carlsbad","San Diego County",236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1650,1495,1595,1700,1595,1725,1695,1695,1695,1500,1595,1560,1495,1595,1695,1775,1750,1750
"North Cambridge","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,2050,2200,2300,2467,2417,2350,2200,2400,2377.5,2400,2550,2700,2615,2700,2850,2650,2500,2500,2500,2600,2547.5,2500,2675,2700,2500,2500,2625,2700,2600,2600,2470,2600,2500,2500,2550,2600,2612.5,2700,2500,2850,2800,2650,2344.5,2650,3000,2700,2950,2950,2955,3000,3000,2950,2705,2800,2775,2600,2500,2700,2800,3000,3000,2987.5,2796,2750,2755,2800,2800,2900,2900,2850,2895
"Washington Square","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1722.5,1595,1675,1495,1275,1400,1440,1412.5,1450,1650,1495,1397.5,1460,1425,1380,1375
"The Fan","Richmond","VA","Richmond","Richmond City",239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287.5,1075,1200,1260,1350,1200,1200,1175,1100,1062.5,1040,1100,1100,1150,1200,1350
"Pine Hills","Albany","NY","Albany-Schenectady-Troy","Albany County",240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1400,1200,1112.5,1150,1175,1099.5,1225,1295,1520,1545,1495,1495,1465,1350
"Mid-Cambridge","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895,2117.5,2250,2450,2110,2100,2100,2000,2160,2107.5,2200,2250,2300,2400,2395,2300,2275,2395,2400,2400,2425,2400,2375,2400,2300,2200,2150,2250,2250,2300,2400,2300,2300,2300,2400,2400,2200,2250,2337.5,2250,2300,2375,2512.5,2495,2400,2450,2595,2250,2350,2400,2400,2375,2400,2400,2450,2550,2495,2500,2500,2495,2400,2250,2395,2600,2600,2650,2600,2600,2650,2650,2600,2400,2300,2400,2500,2600,2600,2650
"Riverside","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2200,2200,2300,2300,2400,2300,2200,2397.5,2300,2300,2300,2300,2300,2512.5,2600,2600,2800,2600,2500,2500,2500,2600,2400,2487.5,2500,2550,2750,2675,2600,2500,2550,2400,2375,2425,2400,2300,2500,2700,2550,2800,2750,2700,2750,2750,2700,2650,2800,2650,2650,2975,3275,3300,3287.5,2962.5,2950,3137.5,2900,2800,2800,2800,2897.5,2800,3300,3375,3349.5,3000,3289.5,2900,2850,2800,2750,2900,2950,3400,3295,3450
"Cambridgeport","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",243,,,,,,,,,,,,,,,,,,,,,,,2905,3106,3123,3018.5,2944.5,2918,2970.5,3019,2943,2775,3022,3200,3300,3200,3040.5,2940,2873,2978,3000,3000,2800,2775,2865,2800,2775,2800,2800,2900,2800,2921,2850,2700,2650,2700,2800,2750,2800,2738,2720,2866,2950,2875,2800,2750,2800,2700,2700,2700,2700,2700,2800,3100,2900,3200,2850,2770,2550,2600,2769,2800,2766,2900,3200,3014.5,3000,3200,3100,2960,2950,2942.5,3000,2950,2900,3000,3100,3221,3221,3416,3300,3200,3200,3007,3100,3200,3173.5,3400,3400
