"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Near North","Chicago","IL","Chicago-Naperville-Elgin","Cook County",155,,,,,,,,,,,,,,,,,,1800,1840,1857.5,1850,1777,1767.5,1777,1965,1904,1935,1920,1949,1925,1865,1886,1860,1900.5,1872,1860,1899,1863,1910,2005,2005,1935,1902.5,1900,1941,1975,2050,2047.5,2099,2181,2250,2256.5,2257,2215,2229,2234,2236,2000,2222,2150,2243,2250,2309,2295,2258,2489,2523,2550,2380,2300,2299,2050,2047.5,2050,2233,2200,2229,2150,2253.5,2100,2077,2176,2170,2250,2401.5,2327.5,2221.5,2199,2199,2187.5,2079,2085.5,2094,2141,2181.5,2258,2297,2325,2310,2280,2253,2305,2301.5,2300,2314.5,2342,2342,2265,2200
"College Point","New York","NY","New York-Newark-Jersey City","Queens County",156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,2200,2100,2000,2050,2100,2200,2200,2200,2200,2250,2250,2250,2200,2050,2100,2200,2200,2200,2200,2200,2200,2200,2300,2250,2225,2200,2275,2350,2275
"Flatiron District","New York","NY","New York-Newark-Jersey City","New York County",157,,,,,,,,,,,,3000,3000,3125,3295,3250,3300,3395,3388.5,3437.5,3400,3397,3450,3400,3400,3650,3550,3695,3650,3600,3600,3520,3495,3450,3400,3495,3475,3455,3500,3595,3600,3600,3640,3600,3595,3595,3578,3550,3600,3700,3765,3805,3985,3995,3850,3850,4095,4146,4179,4250,4276.5,4050,4095,4175,4200,4195,4055,3875,4012.5,4065,4060,4000,3950,4000,3947.5,3950,3937,3885,3997.5,3974.5,3850,3995,3875.5,4000,4095,4105,4138,4250,4295,4226,4200,4129.5,4175,4100,4150,4177,4215.5,4295,4295,4295,4195,4317,4200,4053.5,4085,4108,4246,4258.5,4300
"South Chicago","Chicago","IL","Chicago-Naperville-Elgin","Cook County",158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837.5,850,925,950,950,900,850,825,755,875,810,795,800,900,925,875,850,900,950,975,995,1000,1000,1000,977.5,1000,1000,1000,1062.5,1100,1100,1100,1100,1000,1000,990,950,1100,1000,1100,1075,1100,1100,1040,975,1050,1100,1050,1000,950,1044,1044,1044,1044,1000,1044,1044,1044,1100,1088,1088,1088,1088,1088,1075,1050,1050,1050,1000,950,975,1000,1022
"Clinton Hill","New York","NY","New York-Newark-Jersey City","Kings County",159,,,,,,,,,,,,,,,,,,,,,,,,2600,2347.5,2300,2420,2407.5,2695,2695,2695,2267,2350,2500,2500,2750,2695,2800,2800,2750,2775,2600,2500,2600,2600,2650,2600,2600,2600,2800,2800,2700,2800,2700,2650,2650,2650,2700,2769,2795,2850,2850,2700,2700,2799.5,2850,2850,2772.5,2700,2750,2850,2800,2745,2745,2750,2795,2800,2750,2680,2800,2612.5,2700,2828,2750,2695,2800,2850,2899,2747.5,2700,2795,2700,2735,2740,2700,2700,2800,2850,2841,2850,2800,2800,2710,2700,2800,2995,2950,3003.5,3033
"Pelham Bay","New York","NY","New York-Newark-Jersey City","Bronx County",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1450,1600,1725,1800,1800,1800,1749,1750,1750,1749,1800,1775,1800,1800,1800,1800,1900,1867.5,1825,1850,1800,1836,2000,1950,1850,1850,1850,1836
"West Town","Chicago","IL","Chicago-Naperville-Elgin","Cook County",161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2162.5,2050,2092.5,2147.5,2065,2110,2122.5,2035,2035,1992.5,1950,2077.5,2040,2100,2045,2097.5,2147.5,2180,2250,2102,1767.5,2035,2007.5,2047,2077.5,2050,2166,2172,2169,2063.5,2118.5,2119,2045,1990,1990,2062.5,2000,2025,1984,2040,2168.5,2005,1892.5,2005,1990,1950,1900,2000,2000,2050,2005,2100,2115,2202.5,2170,2205,2062.5,1850,1753.5,1527,1794.5,2100,2200,2410,2200,2080,1963.5,2090,2300,2075
"Brickell","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2600,2675,2550,2525,2550,2525,2600,2600,2500,2400,2450,2450,2500,2500,2500,2542.5,2650,2500,2525,2550,2600,2600,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2575,2500,2500,2500,2500,2500,2500,2500,2500,2500,2550,2450,2500,2500,2500,2500,2600,2550,2600,2600,2600,2650,2650,2600,2600,2649,2650,2650,2650,2600,2600,2649,2600,2600,2600,2600,2600,2550,2500,2500,2600,2600
"Allston","Boston","MA","Boston-Cambridge-Newton","Suffolk County",163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175,1800,1800,1850,1797,1850,1825,1950,2037.5,2200,2200,2350,2300,2200,2200,2100,2000,1975,1950,1900,1800,1837.5,1975,2250,2150,2000,1995,1950,1900,1950,1995,2050,2095,2100,2300,2350,2400,2400,2352.5,2300,2400,2100,2200,2400,2300,2000,2250,2399.5,2400,2500,2550,2600,2550,2500,2525,2500,2402,2400,2450,2800,2800,2595,2450,2450,2500,2500,2500,2500,2599.5,2600,2700,2800,2895,2796.5,2700
"Kew Gardens","New York","NY","New York-Newark-Jersey City","Queens County",164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1550,1550,1550,1550,1550,1550,1550,1600,1650,1650,1650,1625,1650,1650,1650,1650,1675,1662.5,1650,1650,1700,1697.5,1750,1650,1695,1700,1725,1700,1750,1800,1800,1812.5,1900,1850,1850,1850,1800,1900,1880,1950,1850,1840,1850,1949.5,2095,1800,1925,2000,1972.5,1962.5,1995,1925,1950,1850,1850,1895,1950,1900,2000,2000,1950,2000,1987.5,2047.5,1950,1900,2100,2100,2000,1995,1950,1850,2150,1900,1896,1912.5,2000
