SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
30,34,Mississippi,State,MS,15112,15087,15155,15519,15857,15954,15920,15707,15666,15694,15353,15200,15097,14467,14162,14541,14826,15027,15123,14985,15035,15026,14887,14897,14877,14890,14969,14259,12811,12369,12698,12825,13196,13637,13867,13880,13637,13671,13986,14199,14572,14824,14966,15323,15299,15075,15050,14951,14991,15233,15084,14718,14519,14244,14226,14376,14096,13828,13987,14187,14178,13909,13722,14157,14750,14725,14480,14497,14553,14367,13864,13590,13713,13726,13615,13590
31,6,Arkansas,State,AR,22734,22371,22272,23128,24194,24579,24294,23441,23188,23746,23713,23611,23686,23240,23168,23631,23549,23260,23170,22986,23180,23451,23326,23260,23424,23475,23447,22292,19607,18859,20012,20733,20954,20452,20210,20352,20317,20768,21220,21136,21590,22189,22041,21758,21364,21041,20959,20734,20611,20743,20562,20496,20571,19740,19239,19535,19314,19013,19123,19163,18983,18534,18248,18784,19535,19522,19317,19391,19429,19405,19079,18845,18882,18639,18307,18239
32,23,Kansas,State,KS,15398,15154,14704,14721,14929,14891,14685,14336,14332,14576,14484,14449,14403,13950,13800,14226,14514,14752,14773,14328,14319,14505,14352,14188,14062,13929,13976,13871,13245,13192,13648,13775,13715,13459,13449,13536,13287,13328,13497,13287,13457,13862,13926,14008,13876,13730,13782,13591,13570,13949,14104,13981,13830,13506,13410,13583,13507,13490,13607,13580,13529,13333,13033,13086,13406,13339,13115,13140,13117,12955,12703,12667,12696,12288,11805,11580
33,55,Utah,State,UT,14370,14143,14259,15233,16234,16472,16425,16350,16509,17011,17159,17053,17027,16865,17370,18406,18695,18841,18935,18352,18021,17883,17458,17121,16803,16540,16297,15257,13476,12569,12322,12e3,11923,11755,11718,11700,11435,11642,12003,11830,11883,12367,12657,12674,12264,11949,12032,11762,11326,11244,10961,10580,10542,10420,10509,10896,10941,10869,10942,11122,11408,11464,11517,12254,13193,13332,13374,13783,14206,14612,14451,14245,14372,14201,14058,14175
34,42,Nevada,State,NV,15742,14987,14360,14726,15105,15031,15142,15347,16183,17383,17605,17631,17801,17557,17835,18432,18262,18267,18389,17971,18355,18977,18824,18700,18837,18796,18693,18830,18488,18460,18882,18908,19105,19030,18842,18748,18422,18661,18999,18712,19327,20773,21892,22771,22697,22175,21780,20959,20322,20515,20813,20857,20763,19926,18990,18334,17564,17182,16932,16642,16679,16580,16261,15566,14232,13299,13457,14072,14926,15822,16138,16747,17698,17794,17606,17708
35,41,New Mexico,State,NM,15102,15188,15294,15675,16101,16269,16486,16426,16248,16345,16065,15816,15850,15625,15677,16187,16423,16526,16552,16250,16177,16145,15827,15491,15196,15029,15234,15507,15157,14880,14856,14603,14320,14076,14394,14789,14655,14760,14942,14727,14693,14797,14695,14636,14472,14310,14297,14137,14072,14297,14342,14171,14076,13841,13683,13751,13667,13576,13537,13439,13347,13053,12682,12549,12540,12325,12065,12022,11990,11828,11514,11377,11375,11067,10624,10398
36,61,West Virginia,State,WV,9430,9473,9418,9588,9856,9938,9949,9738,9507,9570,9566,9587,9668,9567,9688,10050,10209,10386,10535,10468,10519,10576,10500,10393,10235,10151,10441,10755,10575,10554,10678,10739,10999,10946,10767,10676,10433,10450,10630,10634,10864,11226,11419,11539,11470,11379,11411,11425,11524,11700,11631,11419,11329,11136,11037,11120,11074,11166,11364,11341,11289,11221,11072,11095,11214,11063,10831,10752,10707,10617,10396,10263,10243,10058,9822,9714
37,38,Nebraska,State,NE,7264,7254,7156,7287,7507,7749,8106,8121,8027,8091,8052,8020,7979,7794,7782,7984,7965,7919,7919,7731,7689,7740,7654,7582,7527,7465,7431,7185,6786,6883,7127,7136,7134,7009,7014,7063,6954,7032,7168,7115,7155,7159,7003,6985,6871,6705,6658,6528,6534,6761,6750,6491,6300,6051,5898,5972,5965,5977,6119,6238,6284,6170,6054,6257,6561,6533,6452,6548,6634,6645,6467,6326,6287,6010,5738,5746
38,20,Idaho,State,ID,14914,14627,14365,14727,15190,15337,15423,15361,15457,15736,15626,15630,15695,15283,15315,15939,16229,16404,16455,16266,16430,16367,15943,15833,15844,15888,16147,16125,15631,15590,15608,15227,14866,14293,13850,13661,13484,13675,13914,13867,14063,14235,14169,14097,13666,13203,12924,12410,12e3,12052,11914,11485,11272,11027,11013,11268,11192,11088,11082,10930,10752,10432,10064,10046,10039,9592,9220,9116,9035,9065,9011,9039,9154,8891,8549,8454
39,18,Hawaii,State,HI,7748,7565,7266,7454,7815,7774,7449,7241,7211,7188,7056,7141,7349,7247,7264,7455,7349,7269,7327,7364,7584,7683,7535,7555,7596,7535,7907,8454,8620,9042,9494,9438,9315,9218,9495,9868,9610,9442,9555,9450,9443,9442,9320,9407,9448,9348,9244,8950,8731,8820,8692,8324,8085,7839,7746,7863,7854,7814,7785,7754,7846,7854,7788,7838,7868,7780,7782,7877,7966,8047,7997,8112,8401,8409,8298,8337
