"RegionName","State","Metro","CountyName","SizeRank","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38421052631579,2.5462962962963,2.77051282051282,2.71794871794872,3.08333333333333,3.28827380952381,3.125,3.125,3.08333333333333,2.70833333333333,2.68181818181818,2.47947368421053,2.5,2.53043218720153,2.50932107609042,2.79740740740741,3.13782051282051
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35833524244453,1.25709420784571,1.30423681147384,1.42045454545455,1.38777955271565,1.49761495701939,1.52946313660599,1.52069730586371,1.52121510521646,1.48511835416225,1.46446862996159,1.38357526773775,1.45434462444772,1.43706611336548,1.48809523809524,1.44444444444444,1.45719489981785,1.58447036758762,1.56003159557662,1.58259963654593,1.62592915139582,1.597429058009,1.52437108385041,1.56616221421229,1.63624921334172,1.5515873015873,1.51391484910752,1.44370728728776,1.52572523262178
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.929781577140375,0.967429861335053,0.945763200848264,0.893487186172456,0.79347179051082,0.805267502883841,0.795711482679251,0.793537167022406,0.768106099762321,0.780340574640247,0.805471124620061,0.898981637862064,0.953261726638075,0.930049278300073,0.901617608061522,0.786163522012579,0.852029047472004,0.875339571385451,0.881390078065978,0.879532120766396,0.933488914819137,0.94642284247674,0.940832113736149,0.864779874213837,0.880662171403832,0.879330593071051,0.935070146069279,0.91776798825257,0.872760679834635,0.811188811188811,0.870384197729387,0.864779874213837,0.862600123228589,0.852882342244044,0.905040378724589,0.903750564844103,0.92213291321214,0.875486381322957,0.901510029299076,0.926601909818796,0.880818619582664,0.886699507389163,0.864714513096276,0.866393794918988,0.864442740665662,0.836972343522562,0.864779874213837,0.872334683607869,0.914262494920764,0.866393794918988,0.914262494920764,0.874681933842239,0.864714513096276,0.884637233021915,0.88764307404812,0.873942223519113,0.868443036327077,0.872760679834635,0.894914559964471
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,,,,,,,,,,0.9375,0.947589792060491,1.06436638591118,0.961687648578322,1.01582892416226,1,0.975,1.0735754985755,1,0.962142857142857,0.939256458727158,0.903125,0.933333333333333,0.903125,0.90625,0.909007352941176,1.05882352941176,1.0265006385696,0.983247422680412,0.921648550724638,0.917431192660551,0.962142857142857,0.944444444444444,0.944444444444444,0.888888888888889,0.888888888888889,0.864005110732538,0.9375,1.0515873015873,1.13130662829558,1.04364471669219,1.09071038251366,1.05555555555556,1.01851851851852,0.98,1.03025147928994,1.04166666666667,0.992647058823529,1.04761904761905,1.1,1.1,1.1,1.10597958191541,1.10208333333333,1.09090909090909,1.04145299145299,1.04444444444444,1.07692307692308,1.11114058355438,1.07837643678161,1.04552925706772,1.07688834154351,1.24230670103093,1.18518518518519,1.24875,1.07837643678161,0.99154334038055,1.06091718001369,0.934873949579832,0.986436498150432,1.03550295857988,1.04583333333333,1.075,1.09514423377761,1.0952380952381,1.14583333333333,1.18614718614719,1.19047619047619,1.0952380952381,1.07758620689655,1.04166666666667,1.05555555555556,1.05718954248366,1.09761904761905,1.125,1.3,1.3,1.43478260869565,1.38095238095238,1.25,1.18181818181818,1.2,1.16302083333333,1.25,1.33333333333333,1.35533294048321,1.30814022578728,1.4
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,0.62778505897772,0.628708296387505,0.614720394736842,0.614720394736842,0.617474529175671,0.664474311921809,0.589171974522293,0.541292916795546,0.56195212867637,0.590868189592812,0.6428219801524,0.639705882352941,0.627549206885,0.608167270531401,0.603742045063639,0.590900611979232,0.582072176949942,0.582072176949942,0.640797680271365,0.578703703703704,0.57427258805513,0.611412144881911,0.60313630880579,0.616016427104723,0.654157716587631,0.654205607476635,0.659481667858542,0.623700623700624,0.620673841262077,0.600891074201298,0.605579443730297,0.61065964075784,0.603424080830761,0.592521226476146,0.592521226476146,0.590634240340211,0.607734806629834,0.628253455394005,0.654205607476635,0.638880438089443,0.614478551736677,0.6004828002414,0.594325153374233,0.607734806629834,0.607734806629834,0.624390838206628,0.640591583866738,0.646657754010695,0.644930132568972,0.642123287671233,0.613191912495857,0.611244452495245,0.599880931511508,0.596802108077925,0.592177335624473,0.607734806629834,0.632501505738264,0.607734806629834,0.653428377460964,0.630191922085362,0.6004828002414,0.662553925559392,0.644653761475512,0.625601539942252,0.665941832019571,0.6004828002414,0.657451112609575,0.607734806629834,0.655226209048362,0.669099756690998,0.653846153846154,0.664632794824291,0.665507108488065,0.670240427690879,0.684802566690176,0.690814040328603,0.64968814968815,0.6506164819746,0.659420289855073,0.645239834429024,0.659282700421941,0.686740623349181,0.673076923076923,0.664525975909882,0.680337590071031,0.680391653722858,0.657854803698555,0.659159571546278,0.678401173450678,0.631694589398517,0.633644859813084,0.653716847217034,0.653716847217034,0.656391733191702,0.666666666666667,0.702971380352113
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20890200832061,1.2749423150665,1.25,1.19306418219462,1.14762931034483,1.13821138211382,1.11802268970358,1.11802268970358,1.07667467086197,1.13156209987196,1.12676056338028,1.24899274778405,1.33838383838384,1.27363233867055,1.26939664867296,1.27365356622999,1.28040973111396,1.26518218623482,1.24938383174499,1.20879120879121,1.18265086206897,1.12031101614435,1.16161616161616,1.29867669953295,1.34333182696894,1.33333333333333,1.2968248476811,1.32472490988427,1.30984477124183,1.2789298515105
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,0.634805410563442,0.655669818415404,0.710436060754532,0.681154719429127,0.684835280114015,0.641559424678274,0.629639114174305,0.650195058517555,0.668279970215934,0.661236471689155,0.657142857142857,0.661800136007183,0.671140939597315,0.653440116490717,0.651041666666667,0.634379263301501,0.648625279992572,0.6442417331813,0.632538982053545,0.634280865507,0.627615062761506,0.617113213451771,0.625,0.619024856596558,0.614984564872918,0.625588047550968,0.611487576637625,0.611668757841907,0.620229599751784,0.61646400586746,0.606704094042539,0.612397311426438,0.620389000670691,0.61998541210795,0.613794341162788,0.617844601148873,0.621427291261723,0.621414913957935,0.619356659142212,0.616045845272206,0.619834710743802,0.626606748506357,0.623143004884249,0.621875,0.62779776800286,0.634696755994358,0.631385369840621,0.637636080870918,0.629058441558442,0.641999517192845,0.626941457586619,0.616569009096684,0.61380518800845,0.620389000670691,0.618238021638331,0.637071651090343,0.638194247795104,0.623506513028649,0.637414698715635,0.643695939010824,0.649980055742681,0.648923936257598,0.636566687938736,0.636566687938736,0.648119176313094,0.652072659524918,0.662149954832882,0.669837564517513,0.667735042735043,0.68307181053346,0.690715482172769,0.662332973278733,0.684934129901961,0.658761528326746,0.664346725719709,0.660927152317881,0.64420218037661,0.670241286863271,0.661866855954976,0.687328167958011,0.701433792521788,0.71396697902722,0.707825403067243,0.70764449116674,0.706154943987344,0.706575100820432,0.708676140613313,0.725081699346405,0.723797099745379,0.723042496666599,0.718608169440242,0.72463768115942,0.729461513389258,0.728461239517603,0.743553063986082,0.732265953233575,0.756629963010248,0.753453878341754,0.744546979865772,0.764192139737991,0.767722966350866,0.77007700770077,0.754583362406532,0.769462954793471,0.793676944240797
"San Diego","CA","San Diego-Carlsbad","San Diego County",8,,,,,,1.23332695315223,1.3471470732907,1.3785046728972,1.46217030766574,1.42510133917188,1.4625992478061,1.39746506337342,1.3582966226138,1.35912241133888,1.31500987491771,1.34725496800269,1.28317293671624,1.2883834808223,1.28928823433627,1.28963762659996,1.27203347831233,1.27050498552589,1.30684788290643,1.27036419186378,1.19567352099911,1.21336568975173,1.19521912350598,1.15633672525439,1.24480369515012,1.26526129077671,1.26404494382022,1.29645635263613,1.29889730414455,1.26962169259446,1.33598635588403,1.36804410109686,1.35577233150597,1.34462522239417,1.29189669266143,1.2784023562372,1.33262260127932,1.36561199994036,1.31361128142244,1.31361128142244,1.31294443074681,1.44782015370251,1.36101499423299,1.42767220190636,1.42838216367628,1.41825683341929,1.42712492044205,1.33388949878312,1.41757879139463,1.47590598650355,1.45264514796479,1.43220878421388,1.49843062287521,1.42857142857143,1.46608873023967,1.37202924525078,1.48619957537155,1.40390495049236,1.38180272108844,1.43609141335414,1.3747758517633,1.42210730446025,1.42126726284208,1.37992253066495,1.38528678304239,1.41620879120879,1.47883732789393,1.42414972268783,1.42128279883382,1.42857142857143,1.27979382191438,1.43107450052337,1.61849100174422,1.64171493609137,1.7558076715289,1.6330585419595,1.57104716680937,1.6220294228593,1.7046244809787,1.61441499676794,1.59882839252519,1.55172413793103,1.51928912507199,1.51928912507199,1.53414662848625,1.75606641123883,1.81965224423777,1.70489770613763,1.76795580110497,1.69230769230769,1.73207902564011,1.70704845814978,1.71011308664546,1.67637471003607,1.57371617890668,1.54428904428904,1.63568773234201,1.7593488641732,1.97868553582639,1.87411598302687,1.90454545454545
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.604343383738606,0.604223335719399,0.704225352112676,0.70854450113174,0.671421495434446,0.576456310679612,0.605784789644013,0.640987932367475,0.700444601825622,0.738649525910144,0.688043808174828,0.740650801359883,0.723034681416355
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52949745083758,1.72143974960876,1.68701894522374,1.69718317461454,1.74512987012987,1.79569034317638,1.85097294731846,1.71399162614422,1.72574626865672,1.85231366157095,1.85158046989295,1.77151153904937,1.85465352556821,1.71725239616613,1.75850070074766,1.81635557578772,1.78834808259587,1.94875354206577,1.81516266472238,1.78101243353056,1.76125244618395,1.84197770237518,1.75770123381326,1.64915572232645,1.86011904761905,1.85495664315109,1.88426533767134,1.9334229993275
