"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-04-30,94645,"84701","UT",,"Sevier County","Richfield",9739,219600,0.00503432494279176,0.0180806675938804,0.0974512743628186,0.0525353308525998,0.0334691685930046,"2019-04","2019-Q2",219600,0,"2019-04"
2019-04-30,74227,"37187","TN","Nashville-Davidson--Murfreesboro--Franklin","Dickson County","White Bluff",9740,170900,0.0106445890005914,0.0389057750759878,0.120655737704918,0.0800216703993248,0.0433500132951983,"2019-04","2019-Q2",170900,0,"2019-04"
2019-04-30,70653,"29676","SC","Seneca","Oconee County","Salem",9741,302800,0.00564596479574892,0.014745308310992,0.155725190839695,0.0312649003088101,,"2009-07","2009-Q3",322200,-0.0602110490378647,
2019-04-30,79021,"48158","MI","Ann Arbor","Washtenaw County","Manchester",9742,234400,-0.0134680134680135,0.00128150363092695,0.131274131274131,0.0652293131719708,0.0458600660513275,"2019-02","2019-Q1",237900,-0.0147120638923918,"2019-02"
2019-04-30,86981,"65757","MO","Springfield","Greene County","Strafford",9743,169700,-0.00818234950321449,-0.0150899593731863,0.123097286565189,0.0550703778799495,0.0255189849715196,"2019-02","2019-Q1",172400,-0.015661252900232,"2018-12"
2019-04-30,65453,"18403","PA","Scranton--Wilkes-Barre--Hazleton","Lackawanna County","Archbald",9744,132400,-0.00525920360631104,0.0130068859984698,0.0335675253708041,0.00915875411457834,0.00167699596046367,"2008-01","2008-Q1",135400,-0.0221565731166913,"2007-10"
2019-04-30,65029,"17327","PA","York-Hanover","York County","Glen Rock",9745,210500,-0.00613786591123702,-0.00142314990512334,0.0318627450980392,0.0457637820770886,-0.00103916660041803,"2007-05","2007-Q2",249700,-0.156988386063276,"2005-09"
2019-04-30,69735,"28127","NC",,"Montgomery County","New London",9746,163400,-0.00122249388753056,-0.00244200244200244,0.0289672544080605,0.053358735999236,0.0107017685508142,"2018-12","2018-Q4",164400,-0.00608272506082725,"2018-11"
2019-04-30,97477,"93921","CA","Salinas","Monterey County","Carmel-by-the-Sea",9747,2061400,-0.00607521697203471,0.0302878848460616,0.24068612699368,0.0851781032345231,0.0619229635125194,"2019-03","2019-Q1",2074000,-0.00607521697203472,"2019-02"
2019-04-30,85353,"62232","IL","St. Louis","Saint Clair County","Caseyville",9748,82700,-0.0036144578313253,-0.0143027413587604,0.0260545905707196,0.0787922446216966,0.00395405476577726,"2018-10","2018-Q4",87300,-0.0526918671248568,"2018-06"
2019-04-30,60653,"07403","NJ","New York-Newark-Jersey City","Passaic County","Bloomingdale",9749,291200,0.00726392251815981,0.0196078431372549,0.0206799859796705,0.0317239890440457,-0.00594769529415529,"2006-11","2006-Q4",379500,-0.232674571805007,"2004-03"
2019-04-30,77156,"44413","OH","Salem","Columbiana County","East Palestine",9750,77000,-0.0178571428571429,-0.0458488228004957,0.0131578947368421,0.0169310163458785,0.00521123701518023,"2019-01","2019-Q1",80700,-0.0458488228004957,"2018-08"
2019-04-30,84756,"61010","IL","Rochelle","Ogle County","Byron",9751,163300,-0.000611995104039168,0.00307125307125307,-0.00183374083129584,0.0626734434722465,0.000985108240031174,"2017-10","2017-Q4",171600,-0.0483682983682984,"2017-07"
2019-04-30,82486,"55920","MN","Rochester","Olmsted County","Byron",9752,242800,0.00330578512396694,0.0188837599664289,0.0429553264604811,0.0654995836451151,0.0365921078376048,"2019-04","2019-Q2",242800,0,"2019-04"
2019-04-30,68259,"24630","VA","Bluefield","Tazewell County","North Tazewell",9753,84300,-0.00236686390532544,-0.00823529411764706,0.0144404332129964,0.00238951351469452,0.00350679366348206,"2005-01","2005-Q1",87300,-0.0343642611683849,"2004-10"
2019-04-30,99773,"98388","WA","Seattle-Tacoma-Bellevue","Pierce County","Steilacoom",9754,381900,-0.00469116497263487,0.00367936925098555,0.0506189821182944,0.0834523693284483,0.0352434881941968,"2019-03","2019-Q1",383700,-0.00469116497263487,"2019-03"
2019-04-30,79838,"49643","MI","Traverse City","Grand Traverse County","Interlochen",9755,183400,0.00438116100766703,0.0402722631877482,0.139838408949658,0.0863739478049779,0.0588779340853982,"2019-04","2019-Q2",183400,0,"2019-04"
2019-04-30,86292,"64034","MO","Kansas City","Jackson County","Greenwood",9756,222300,-0.000449640287769784,0.00907852927825692,0.0626195028680688,0.0706720737313888,0.0311982577070333,"2019-03","2019-Q1",222400,-0.000449640287769784,"2019-03"
2019-04-30,90163,"73750","OK",,"Kingfisher County","Kingfisher",9757,154800,-0.00193423597678917,0.00259067357512953,0.0901408450704225,0.0699423467312013,0.0386937050849165,"2019-03","2019-Q1",155100,-0.00193423597678917,"2019-03"
2019-04-30,93551,"80816","CO","Colorado Springs","Teller County","Florissant",9758,272900,-0.00146359312111233,-0.005466472303207,0.0995165189363417,0.0981263040893581,0.0492738398442956,"2019-01","2019-Q1",274400,-0.005466472303207,"2018-11"
2019-04-30,99049,"97048","OR","Portland-Vancouver-Hillsboro","Columbia County","Rainier",9759,256100,-0.0115785411038209,-0.0213985479556744,0.0203187250996016,0.0779022590953899,0.0297099021734755,"2019-01","2019-Q1",261700,-0.0213985479556744,"2018-09"
2019-04-30,83422,"57747","SD",,"Fall River County","Hot Springs",9760,222000,0.00180505415162455,0.034965034965035,0.254946297343132,0.134158223170023,,"2019-04","2019-Q2",222000,0,"2019-04"
2019-04-30,81233,"53128","WI","Whitewater-Elkhorn","Walworth County","Pell Lake",9761,168100,0.00478182904961148,0,0.0331899200983405,0.0481140590405098,0.00476250291825453,"2008-05","2008-Q2",171300,-0.0186806771745476,"2007-06"
2019-04-30,67561,"23141","VA","Richmond","New Kent County","Quinton",9762,243600,0,0.00123304562268804,0.0595911265767725,0.0328981666657211,0.0110723964655888,"2007-03","2007-Q1",246000,-0.00975609756097561,"2006-11"
