"RegionName","City","State","Metro","CountyName","SizeRank","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1995,2200,2000,1995,1972.5,1900,1900,1997.5,1925,1835,2095,2000,2295,2395,2448,2472.5,2511,2300,2497.5,2385,2422.5,2275,2275,2225,2327.5,2398,2495
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2800,2800,2800,2850,2800,2731.5,2800,2900,2925,3000,3000,3000,3000
"South Dorchester","Boston","MA","Boston-Cambridge-Newton","Suffolk County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2697.5,2600,2797.5,2600,2700,2647.5,2800,2925,2825,2650,2462.5,2575,2800,2800,3000
"Lake View","Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4045,4400,4045,3997.5,3750,3600,3600,3600,3600,3600,3600,3600,4200
"Brighton","Boston","MA","Boston-Cambridge-Newton","Suffolk County",5,2895,2900,3000,3000,3000,3400,3550,3500,3050,3050,3050,3200,3400,3500,3400,3300,3300,3600,3500,3600,3547.5,3800,3600,3500,3500,3500,3600,3600,3500,3500,3600,3750,3825,3899.5,3800,3800,3850,3774.5,3750,3700,3700,3900,4000,3850,3800,3800,3800,3775,3800,3900,3800,3700,3800,3800,3700,3800,3800,3800,3995.5,4000,4000,4000,4000,4000,4000,4000,4000,3725,3737.5,4000,4350,4350,4300,4300,4300,4300,4300,4300,4200,4200,4250,4200,4200,4200,4200,4250,4250,4250,4200,4200,4200,4200,4375,4500,4500,4500,4500
"Corona Valley","Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695,2725,2690,2700,2725,2800,2750,2700,2780,2798,2800,2797.5,2785,2750,2770,2760,2700,2787.5,2750,2850,2895,2850,2850,2850,2850,2900,2900,2850,2850,2995,2974.5
"Allston","Boston","MA","Boston-Cambridge-Newton","Suffolk County",7,,,,,,,,,3900,3999,3800,3900,4000,4000,3900,3900,3900,3900,3900,3900,4000,4000,4000,4000,3900,3975,4000,3975,3900,3975,3975,3900,4000,4000,4000,4150,4199,4000,4000,3975,3900,3900,4000,4000,4200,4200,4200,4172.5,4000,3900,3900,3800,3900,3900,3900,4100,4300,4400,4500,4500,4400,4400,4500,4200,4050,4350,4100,4000,4200,4500,4500,4500,4500,4500,4500,4400,4400,4400,4200,4550,4750,4800,4800,4800,4750,4600,4500,4500,4500,4400,4400,4600,4800,4800,4800,4750,4700
"Mission Hill","Boston","MA","Boston-Cambridge-Newton","Suffolk County",8,,,,,,,,,,4400,4200,4300,4600,4500,4500,4500,4500,4500,4600,4600,4800,4800,4700,4700,4800,4800,4800,4800,4800,4950,4875,5000,4875,4800,4800,4800,5000,4895,4800,4600,4600,4750,4800,4800,4900,4800,4800,4800,4800,4750,4600,4500,4500,4500,4575,4500,4800,5000,5000,4900,4850,4800,4800,4650,4500,4600,4350,4600,5000,5100,5000,5000,5000,5000,4950,4900,4800,4800,4800,5100,5200,5250,5250,5200,5100,5000,4950,4925,4800,4800,5000,5500,5400,5400,5400,5350,5250
"Union Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3250,3800,3785,3300,3250,3000,2995,2922.5,3000,3200,3600,4062.5,4200,4200,4147.5,3800,3800,3500,3500,3500,3500,3500,3500,3600
"North Central","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,3125,3000,3000,2975,2750,2962.5,2837.5,2987.5,2750,2975,3000,3150,3000,3000,3000,3000,2800,2750,2750,2650,2800,2550,2925,3200,3125,3000,3000,3000,3000,3000
