"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-04-30,275061,"Poets Square","AZ","Tucson","Pima County","Tucson",6776,190000,-0.0119604784191368,0.00263852242744063,0.0590858416945373,0.0526578978961783,0.0153831777254667,"2006-08","2006-Q3",209500,-0.0930787589498807,"2005-08"
2019-04-30,271289,"Arboretum","TX","San Antonio-New Braunfels","Bexar County","San Antonio",6777,287100,0.00139518660620858,0.0123413258110014,0.0895635673624288,0.0458035230482299,0.0376981627859774,"2019-04","2019-Q2",287100,0,"2019-04"
2019-04-30,417884,"Rancho del Mar","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Mesa",6778,363200,-0.000275254610514726,-0.00493150684931507,0.0430786904078116,0.0505000791517372,0.0336349273938163,"2006-04","2006-Q2",395700,-0.082132928986606,"2005-10"
2019-04-30,417950,"Signal Butte Ranch","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Mesa",6779,247600,0.00324149108589951,0.0168377823408624,0.0765217391304348,0.0796317294438724,0.0516758584858756,"2006-04","2006-Q2",269200,-0.0802377414561664,"2005-10"
2019-04-30,171950,"Bristol","MO","Kansas City","Jackson County","Independence",6780,76700,0,0.0336927223719677,0.202194357366771,0.0880415382608057,0.0160656314878085,"2007-07","2007-Q3",79900,-0.0400500625782228,"2006-10"
2019-04-30,422878,"Stone Meadow","TX","Dallas-Fort Worth-Arlington","Tarrant County","Fort Worth",6781,239900,-0.00249480249480249,0.00376569037656904,0.0296137339055794,0.0841104912736707,0.0414014509356351,"2019-03","2019-Q1",240500,-0.00249480249480249,"2019-02"
2019-04-30,422762,"Brentwood-Oak Hills","TX","Dallas-Fort Worth-Arlington","Tarrant County","Fort Worth",6782,173300,0.00814426992437464,0.032777115613826,0.138633377135348,0.127755597846682,0.0625189279747058,"2019-04","2019-Q2",173300,0,"2019-04"
2019-04-30,272238,"Saveland Park","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Milwaukee",6783,146500,-0.00204359673024523,0.00756533700137552,0.023759608665269,0.0662544876404094,0.00903377805574568,"2006-05","2006-Q2",150800,-0.0285145888594164,"2005-11"
2019-04-30,417170,"Oakwood Gardens","FL","Tampa-St. Petersburg-Clearwater","Pinellas County","Saint Petersburg",6784,158600,-0.00813008130081301,-0.02937576499388,0.00506970849176172,0.216626420489977,0.0639847791109849,"2018-11","2018-Q4",164500,-0.0358662613981763,"2018-07"
2019-04-30,422831,"Marine Creek","TX","Dallas-Fort Worth-Arlington","Tarrant County","Fort Worth",6785,202600,0.00695825049701789,0.0191146881287726,0.0969139144558744,0.099997656678352,0.0493092738940755,"2019-04","2019-Q2",202600,0,"2019-04"
2019-04-30,417529,"El Dorado Lakes","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Gilbert",6786,365700,0.00439439714364186,0.0124584717607973,0.0541942923032574,0.0520905625327843,0.0387262975947442,"2006-04","2006-Q2",414800,-0.118370298939248,"2005-09"
2019-04-30,270412,"Indian Moon","NM","Albuquerque","Bernalillo County","Albuquerque",6787,162100,-0.00061652281134402,0.0124921923797626,0.0886501007387508,0.0394301533644472,0.0041654210625246,"2008-06","2008-Q2",167300,-0.0310818888224746,"2007-06"
2019-04-30,117158,"Pacific Grove Acres","CA","Salinas","Monterey County","Pacific Grove",6788,973200,0.00267875540902534,-0.0353850728516206,-0.12442645074224,0.0372140366270968,0.0305924591046531,"2018-09","2018-Q3",1135900,-0.143234439651378,"2017-04"
2019-04-30,417119,"Pasadena On The Gulf","FL","Tampa-St. Petersburg-Clearwater","Pinellas County","Saint Petersburg",6789,244200,-0.00448430493273543,-0.0129345189975748,-0.00245098039215686,0.123040527367765,0.050363220773781,"2018-09","2018-Q3",248100,-0.0157194679564692,"2018-04"
2019-04-30,155738,"Steep Brook","MA","Providence-Warwick","Bristol County","Fall River",6790,213600,0.0123222748815166,0.0254440710513682,0.0875763747454175,0.0452483667157251,0.014259658029639,"2005-08","2005-Q3",243300,-0.122071516646116,"2004-10"
2019-04-30,271269,"Old North Knoxville","TN","Knoxville","Knox County","Knoxville",6791,140100,-0.0189075630252101,0.00502152080344333,0.154987633965375,0.124842475901661,,"2019-03","2019-Q1",142800,-0.0189075630252101,"2019-02"
2019-04-30,269580,"Forest Glen","IL","Chicago-Naperville-Elgin","Cook County","Chicago",6792,358600,-0.00637295649764478,0.00645523435307325,-0.0505692348424676,0.0147405003959735,0.00982466659201164,"2006-10","2006-Q4",419100,-0.144356955380577,"2005-01"
2019-04-30,764062,"Belvoir","TN","Chattanooga","Hamilton County","Chattanooga",6793,168300,0.0126353790613718,0.026219512195122,0.130288784419073,0.100634899183716,0.0328652895259574,"2019-04","2019-Q2",168300,0,"2019-04"
2019-04-30,764011,"Settlers Ridge","TX","Austin-Round Rock","Travis County","Pflugerville",6794,251400,0.00439472632840591,0.00199282582702272,0.0248675091724419,0.0636032986578383,0.0397778743667767,"2018-12","2018-Q4",252100,-0.00277667592225307,"2018-10"
2019-04-30,343969,"Indian Beach-Sapphire Shores","FL","North Port-Sarasota-Bradenton","Sarasota County","Sarasota",6795,385500,-0.0195829094608342,-0.00797735460627895,0.0587750617962098,0.157789995817197,0.0662872925256184,"2006-01","2006-Q1",427600,-0.0984565014031805,"2005-08"
2019-04-30,417670,"Neely Farms","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Gilbert",6796,282900,-0.00176429075511644,-0.00105932203389831,0.0679501698754247,0.0649827620706984,0.0506527839196891,"2006-03","2006-Q1",302100,-0.0635551142005958,"2005-10"
2019-04-30,274484,"Meadowlark","KS","Wichita","Sedgwick County","Wichita",6797,87900,0.005720823798627,0.0126728110599078,0.0316901408450704,0.0260342926438981,0.00242100573261705,"2019-04","2019-Q2",87900,0,"2019-04"
