"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Old City","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1597,1775,1997.5,2000,1940,1895,1900,1850,1850,1795,1710,1795,1795,1800,1785,1900,1885,1860,1800,1950,1950,1850,1800,1775,1850,1850,1850,1900
"Victoria Park","Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",237,,,,,,,,,,,,,,,,,,,,,,1675,1599.5,1600,1400,1500,1475,1400,1400,1500,1600,1500,1550,1595,1600,1600,1650,1675,1650,1700,1600,1500,1400,1525,1675,1600,1500,1487.5,1500,1500,1462.5,1500,1450,1500,1500,1600,1700,1708,1650,1700,1700,1650,1500,1525,1650,1600,1700,1725,1750,1700,1750,1690,1750,1762.5,1750,1750,1750,1750,1800,1625,1750,1675,1750,1685,1625,1700,1700,1725,1750,1700,1725,1697.5,1750,1675,1750,1690,1700,1700,1700,1750,1625,1695,1725,1662.5,1737.5,1750,1650,1600,1575,1600,1625
"West Loop Gate","Chicago","IL","Chicago-Naperville-Elgin","Cook County",238,,,,,,,,,,,,,,,,,1777,1700,1699.5,1799,1799.5,1800,2000,1799,1780.5,1900,2099,1882.5,1847,1823,1819.5,1856,1750,1750,1659,1674,1654,1627.5,1587.5,1612.5,1642.5,1635,1615,1850,1922,1892,1884,1922,1954.5,1968.5,1991,2100,2075,2000,1922,1950,1950,2150,2037.5,1936,2000,1975,2000,2000,2037.5,1993.5,2000,1987,1862.5,1862.5,1911,1900,1968.5,1950,1850,1968.5,1890,2075,1850,1900,1925,1850,2000,2087.5,2100,2000,2000,2000,2100,2100,2087.5,2000,2022.5,2000,2000,2000,2060,2200,2097.5,2125,2075,2200,2200,2100,2375,2150,2075,2075,2075,2175,2100
"North Ponce de Leon","Coral Gables","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",239,,,,,,,,,,,,1900,1800,1725,1700,1950,1825,1950,1895,1800,1750,1700,1700,1700,1750,1850,1900,1825,1750,1750,1950,1950,1950,1600,1600,1800,2025,2100,1900,1947.5,1900,1950,2100,2000,2000,2195,2200,2300,2200,2200,2150,2150,2200,2290,2245,2000,2000,1850,1970,2050,2050,2050,2000,1950,2100,2150,2000,2000,2000,2000,2150,2000,2150,2112.5,2200,2200,2277.5,1950,2100,1900,2150,2150,2200,1950,2050,2000,1950,1950,1950,1925,1975,2200,2150,2000,1925,1975,2100,2100,2100,2100,2200,2200,2150,2100,2000,1925,1950,2000,2000,2000,2000
"South Central Beach","Hollywood","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2200,2400,2100,2000,2000,1995,2250,2300,2300,2300,2300,2300,2300,2250,2300,2400,2300,2300,2400,2500,2500,2500,2500,2500,2400,2400,2325
"New Eastside","Chicago","IL","Chicago-Naperville-Elgin","Cook County",241,,,,,,,,,,,,,,,,,,,,2444,2300,2305,2250,2305,2400,2305,2330,2500,2400,2465,2545,2460,2475,2500,2300,2518,2300,2377,2200,2300,2256,2134,2158.5,2000,2183.5,2200,2200,2167,2167,2126.5,2101.5,2167,2300,2300,2200,2277,2300,2384,2389.5,2300,2300,2384,2384,2400,2400,2400,2325,2200,2277,2200,2200,2384,2342,2300,2384,2300,2450,2227,2300,2384,2158.5,2200,2200,2200,2250,2200,2300,2200,2325,2550,2300,2300,2200,2250,2254,2384,2392,2300,2200,2300,2384,2300,2325,2240,2300,2250,2200,2200,2300,2254,2200
"Imperial Point","Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1400,1400,1250,1300,1400,1340,1325,1330,1450,1400,1450,1350,1350,1330,1350,1450,1397.5,1450,1370,1398.5,1350,1400,1352.5,1325,1300
"West End","Boston","MA","Boston-Cambridge-Newton","Suffolk County",243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2825,2750,2600,2587.5,2600,2600,2525,2600,2675,2550,2775,2500,2597.5,2500,2650,2650,2650,2600,2600,3040,2897.5,2900,2625,2900,2900,2690,2690,2700
"Lynnhaven Shores","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,1500,1495,1400,1500,1600,1600,1562.5,1649.5,1600,1750,1750,1750,1612.5,1700,1850,1700,1700,1725,1750,1800,1800,1775,1647.5,1595,1597.5
"Mustang-Padre Island","Corpus Christi","TX","Corpus Christi","Nueces County",245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,1350,1500,1497.5,1362.5,1500,1412.5,1350,1362.5,1350,1300,1495,1500,1600,1595,1600,1600,1497.5,1495,1475,1350,1450,1550,1600,1500,1450,1500,1600,1600,1600,1697.5,1695,1695
