"RegionID","RegionName","RegionType","StateName","SizeRank","MSA","MSARegionID","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4"
40718,"Salem","City","VA",1406,"Roanoke",395028,1.37,1.18,0.78,0.69,1.76,3.73,6.76,7.25,6.96,7.06,6.67,6.27,6.37,6.57,6.18,5.1,2.94,1.67,0.49,0.59,1.08,1.96,2.06,1.57,1.27,0.98,0.88,0.29,0.2,0.1,0.39,1.47,2.35,1.86,2.16,2.45,3.82,3.63,4.12,3.43,3.04,3.24,2.55,2.65,2.75,4.51,5.49,4.71,3.53,3.33,3.14,4.02,5,5.88,4.31,4.22,5.69,7.16,7.35,6.86,5.39,3.92,4.61,5.98,4.8,2.25,2.84,5.29,7.55,7.45,6.08,5.78,5.59,6.47,4.9,4.41,5.2,7.65,8.04,8.63,8.14,7.84,7.94,8.24,8.82,8.92,9.12,8.73,8.43,8.53,9.02,9.22,9.61,9.8,9.71,9.41,9.51,9.9,10,9.31,8.33,7.75
33330,"Park Ridge","City","IL",1407,"Chicago-Naperville-Elgin",394463,5.78,7.75,7.06,3.53,2.35,1.18,0.98,1.37,1.86,2.55,1.67,0.69,0.39,0.49,1.96,4.12,6.96,3.73,0.78,0.2,0.29,1.27,2.84,3.92,3.33,3.43,1.08,0.59,0.1,0.88,3.04,6.18,5.2,4.41,4.22,5.59,6.37,6.47,7.55,8.24,8.73,8.14,9.02,9.41,9.61,8.92,8.82,7.94,8.43,8.63,9.31,9.71,10,9.9,9.8,9.12,9.22,7.84,6.27,5.29,4.71,4.61,3.63,3.82,3.24,2.94,2.06,1.76,2.16,2.75,4.02,4.9,4.51,3.14,2.45,2.25,1.57,1.47,2.65,4.31,6.57,6.86,7.25,6.67,6.08,5.39,5.98,7.35,7.65,8.53,8.04,7.16,5.69,4.8,5.1,5,5.49,5.88,6.76,7.45,8.33,9.51
34288,"Tifton","City","GA",1408,"Tifton",395158,5.2,5.39,5.69,6.67,7.94,8.53,8.33,9.22,9.12,8.24,4.41,2.35,3.24,5.49,6.57,4.02,2.65,2.25,3.33,3.73,3.53,2.16,2.84,3.43,5.59,5.1,5.78,6.37,6.76,7.25,7.45,5.88,3.04,1.08,1.37,1.67,4.22,1.86,1.76,0.59,0.39,0.2,0.1,0.29,0.49,0.78,0.88,1.18,1.47,1.96,2.55,4.51,4.71,4.12,2.75,4.9,5.98,8.04,7.55,7.35,6.27,6.18,6.08,3.82,1.27,0.69,0.98,2.94,5,3.92,3.14,4.8,5.29,7.16,6.96,7.75,7.06,6.86,6.47,7.84,8.14,8.43,8.92,9.41,9.51,9.31,8.73,8.63,8.82,9.02,9.61,9.8,10,9.9,9.71,7.65,4.61,3.63,4.31,1.57,2.06,2.45
16807,"Arnold","City","MO",1409,"St. Louis",395121,1.08,0.78,1.18,0.98,0.88,0.39,0.59,0.49,0.29,0.1,0.2,0.69,1.27,1.57,1.86,2.25,2.84,2.06,1.67,1.47,1.96,2.55,2.65,2.45,2.75,2.94,2.35,1.76,1.37,2.16,3.04,3.33,3.14,3.24,3.82,4.71,4.41,4.31,4.12,4.8,5.2,5.1,4.61,4.22,3.92,3.43,4.02,3.63,3.53,3.73,4.51,4.9,5.59,5.39,5.29,5.78,6.37,6.57,5.98,5.69,5.88,6.27,6.47,6.18,5.49,5,6.08,6.67,7.45,7.06,7.16,6.96,7.25,7.35,6.76,6.86,7.55,9.22,9.41,8.14,7.65,7.94,8.53,8.92,8.82,8.63,9.61,9.9,10,9.8,9.51,9.31,9.02,9.12,8.43,8.73,8.04,8.33,7.75,7.84,8.24,9.71
396716,"Plymouth","City","MI",1410,"Detroit-Warren-Dearborn",394532,0.1,0.2,0.29,0.39,0.59,0.49,0.78,0.69,0.98,0.88,1.18,1.08,1.27,1.37,1.47,1.57,1.67,1.76,1.86,2.06,1.96,2.16,2.25,2.35,2.45,2.55,2.65,2.75,2.84,2.94,3.63,5,5.49,5.69,5.78,6.08,6.27,6.37,6.47,6.67,6.86,6.57,6.76,6.18,5.88,5.59,5.29,5.2,4.71,4.22,4.02,3.82,3.33,3.14,3.04,3.43,3.24,3.73,3.53,4.41,3.92,4.9,4.12,4.8,4.61,4.31,4.51,5.1,5.39,5.98,6.96,7.06,7.16,7.25,7.35,7.45,7.55,7.65,7.75,7.84,7.94,8.14,8.04,8.24,8.33,8.53,8.92,9.22,8.63,9.12,9.51,10,9.8,9.71,9.9,9.61,9.31,9.41,8.82,8.73,8.43,9.02
47443,"Romeoville","City","IL",1411,"Chicago-Naperville-Elgin",394463,0.2,0.29,0.1,0.39,0.49,1.27,1.18,1.08,0.98,0.88,1.37,0.59,0.78,0.69,1.67,2.25,2.55,2.75,2.16,2.45,1.76,2.84,3.43,4.02,4.22,3.92,3.63,2.35,1.86,2.94,4.31,5.1,5.49,6.18,6.57,6.47,5.88,5.78,6.08,5.98,5.59,4.61,5,5.29,6.37,5.69,5.39,4.9,4.71,4.51,4.12,3.73,3.04,3.53,2.65,2.06,1.47,1.57,1.96,3.24,3.14,3.33,3.82,4.41,4.8,5.2,6.27,6.67,6.76,6.86,7.35,7.25,7.65,7.16,7.55,7.45,7.06,6.96,7.75,9.02,9.9,10,9.8,9.71,9.31,9.61,8.33,8.43,8.04,8.53,9.22,9.41,9.51,8.92,8.73,9.12,8.82,8.63,8.24,8.14,7.84,7.94
23858,"Brownsburg","City","IN",1412,"Indianapolis-Carmel-Anderson",394705,1.57,0.98,1.27,1.18,1.76,1.47,0.59,0.49,0.39,0.88,1.08,0.78,0.69,0.2,0.1,0.29,1.37,2.06,2.75,3.14,3.04,2.65,2.45,2.16,2.35,2.84,3.24,3.33,2.55,1.96,1.67,1.86,2.25,2.94,3.43,3.53,3.73,4.31,4.71,4.9,4.22,3.63,3.92,5,5.1,4.41,3.82,4.02,4.8,6.37,6.67,5.39,5.69,6.57,6.86,6.18,6.27,6.76,7.06,6.96,5.98,4.61,4.12,4.51,5.49,5.59,5.29,5.2,5.78,6.08,5.88,6.47,7.16,7.25,7.75,8.43,7.45,8.24,8.33,8.73,7.94,8.04,8.14,8.63,7.55,7.65,7.35,7.84,8.53,9.8,10,9.9,9.12,9.31,9.22,8.82,9.02,9.61,9.51,9.41,8.92,9.71
22517,"Ocoee","City","FL",1413,"Orlando-Kissimmee-Sanford",394943,1.67,3.82,3.53,3.33,2.94,2.55,0.59,0.29,0.2,2.06,3.04,4.02,2.16,0.78,0.1,1.08,3.73,8.33,9.31,7.94,5.78,4.71,5.1,5.2,4.41,4.12,2.25,1.76,1.86,4.31,5.59,7.55,7.84,8.63,8.53,7.65,6.67,8.14,8.92,8.82,6.76,6.18,5.29,5.88,5.49,6.27,4.8,3.24,2.75,1.37,1.18,0.98,0.69,0.49,2.35,4.22,4.9,3.14,1.27,0.39,0.88,1.57,2.65,2.45,1.47,1.96,2.84,3.43,5,6.57,6.86,6.08,5.39,5.69,4.51,3.92,3.63,4.61,5.98,8.43,9.51,9.71,9.12,8.24,7.25,7.16,6.47,7.06,7.45,9.02,9.61,9.9,10,9.8,9.41,8.73,8.04,7.75,7.35,6.37,6.96,9.22
17931,"El Dorado Hills","City","CA",1414,"Sacramento--Roseville--Arden-Arcade",395045,4.9,4.61,3.73,4.12,2.75,2.84,2.06,1.86,0.88,0.78,1.67,2.16,2.65,0.98,0.49,0.39,0.59,0.29,0.1,0.2,1.37,3.14,3.92,5.69,6.96,7.94,8.14,8.43,8.92,9.31,9.9,9.8,9.61,8.82,8.24,7.45,6.86,5,4.51,3.82,3.43,2.94,3.63,3.33,3.04,2.45,2.35,1.76,1.08,1.18,1.27,1.57,0.69,1.47,1.96,4.22,5.59,6.18,5.88,4.8,5.2,4.41,3.24,2.55,2.25,3.53,5.1,6.47,6.27,5.49,5.98,7.25,7.55,8.04,7.75,7.06,4.71,4.02,4.31,5.78,6.67,7.16,6.76,5.39,5.29,6.08,6.37,6.57,7.84,9.51,10,9.71,9.41,9.22,9.12,9.02,8.73,8.53,8.63,8.33,7.65,7.35
19911,"Perrysburg","City","OH",1415,"Toledo",395160,0.49,0.29,0.1,0.2,0.39,0.59,0.69,0.98,1.08,1.27,1.37,1.67,1.47,2.06,2.35,3.04,2.45,2.84,3.14,2.75,2.16,1.18,0.88,0.78,1.86,2.25,1.96,1.76,1.57,2.55,3.43,3.73,5.2,6.86,7.45,7.65,7.35,6.96,7.16,7.55,7.75,6.57,6.08,5.1,5.98,4.31,4.22,3.63,4.02,3.82,3.53,3.33,2.65,2.94,3.24,3.92,5.29,5.69,4.8,4.9,4.12,4.71,5.39,5,4.41,5.49,4.51,5.59,4.61,5.78,5.88,6.27,6.37,6.18,6.67,7.06,6.76,6.47,7.25,7.84,8.04,7.94,8.43,8.82,9.02,9.31,8.92,9.61,9.71,10,9.9,9.8,9.51,9.41,9.12,8.73,8.53,8.63,9.22,8.33,8.24,8.14
8154,"Boerne","City","TX",1416,"San Antonio-New Braunfels",395055,1.57,0.88,0.59,0.39,0.49,0.69,1.67,1.96,1.86,1.08,1.37,2.55,2.94,3.43,4.71,5.59,2.75,0.78,0.1,0.2,0.29,0.98,1.18,1.27,2.16,2.45,2.25,2.35,3.04,3.14,2.84,1.76,1.47,2.06,2.65,3.63,4.61,5,5.29,6.47,8.43,9.41,10,9.9,9.8,8.33,6.76,4.22,3.53,4.02,4.8,6.18,6.27,8.14,8.04,9.51,9.12,9.71,9.61,8.92,7.84,8.24,8.63,7.35,6.08,4.9,6.96,7.25,7.75,6.86,5.49,5.1,5.2,6.37,7.55,9.31,9.22,8.73,7.94,8.82,9.02,8.53,7.65,6.67,5.78,4.41,3.82,3.24,3.92,5.88,6.57,5.39,3.33,4.31,5.98,7.06,7.16,7.45,5.69,4.12,3.73,4.51
50797,"Atwater","City","CA",1417,"Merced",394851,3.14,4.22,4.31,2.55,1.76,1.08,0.88,1.18,1.27,2.16,2.45,3.53,2.84,2.06,1.67,2.94,1.86,0.49,0.29,1.37,5.88,5,3.63,3.24,6.27,8.73,8.43,7.65,5.49,4.02,2.35,3.92,8.14,9.71,10,9.9,9.8,9.61,8.63,5.2,2.65,3.33,5.59,7.55,7.16,7.84,8.82,9.31,9.41,9.12,8.92,6.67,3.04,1.47,0.98,2.25,3.43,5.69,6.08,5.39,5.1,4.61,4.8,4.12,1.57,0.59,0.69,1.96,3.73,4.71,6.47,7.06,6.57,4.41,4.51,4.9,6.76,8.24,9.02,9.51,9.22,8.53,7.25,6.37,7.35,8.04,7.75,5.98,5.78,6.86,8.33,7.94,7.45,6.96,6.18,5.29,3.82,2.75,0.78,0.2,0.1,0.39
396859,"Seattle Hill-Silver Firs","City","WA",1418,"Seattle-Tacoma-Bellevue",395078,0.78,1.08,1.18,0.98,0.39,0.2,0.1,0.29,0.49,0.59,0.69,0.88,1.27,1.37,1.47,1.67,2.55,3.14,2.65,2.06,1.57,1.76,1.96,2.35,3.04,2.75,2.25,1.86,2.16,3.24,3.82,5.69,6.37,6.67,6.86,6.47,5.49,3.73,3.53,3.33,2.94,2.45,2.84,3.43,4.02,4.41,5.1,4.8,4.22,4.71,5.59,5.29,4.9,5.39,6.27,5.88,5.2,4.61,4.51,5,4.12,3.92,3.63,4.31,5.78,7.16,7.55,7.45,7.35,7.84,7.65,7.94,8.04,8.24,8.33,8.53,8.43,8.63,8.82,9.12,9.02,8.73,9.22,9.31,9.41,9.51,9.71,9.9,10,9.8,9.61,8.92,8.14,7.75,7.06,6.08,5.98,6.18,6.76,6.57,6.96,7.25
39084,"Hurst","City","TX",1419,"Dallas-Fort Worth-Arlington",394514,0.1,0.2,0.29,0.69,0.59,0.49,0.39,0.78,0.88,1.08,1.57,2.16,2.45,1.27,1.18,0.98,1.86,2.25,2.84,2.06,1.96,1.67,1.76,1.37,1.47,2.55,2.94,2.65,2.35,2.75,3.04,3.53,3.33,3.63,3.82,4.31,3.92,3.73,3.14,3.24,3.43,4.51,4.61,4.12,4.02,4.71,4.41,4.22,4.9,5,5.2,5.49,6.37,7.45,8.43,7.94,6.96,6.76,8.04,8.14,7.25,7.16,7.06,6.57,5.1,4.8,5.29,8.73,9.9,9.8,8.82,9.02,9.41,9.51,9.61,10,9.71,9.22,8.33,7.75,6.86,6.18,5.88,5.78,6.27,7.35,7.55,8.53,9.12,9.31,8.63,7.65,6.47,5.98,6.08,5.59,5.39,6.67,8.24,8.92,7.84,5.69
11177,"Dunnellon","City","FL",1420,"Ocala",394927,5.49,4.51,4.71,2.45,0.98,1.57,3.33,5.29,3.73,2.06,1.86,1.37,0.59,0.1,0.2,0.49,1.67,1.27,0.88,0.29,0.39,0.69,4.12,5.78,6.96,6.27,6.08,5,4.41,5.69,5.98,6.76,5.39,4.31,3.53,3.82,2.94,3.24,3.43,4.8,3.14,1.76,0.78,1.08,2.55,4.22,3.92,2.84,2.25,3.04,3.63,2.65,2.16,2.75,5.2,5.88,7.16,6.18,4.9,2.35,1.18,1.47,1.96,4.02,4.61,6.67,6.47,7.55,7.45,8.53,8.92,9.31,9.22,9.02,8.73,8.63,8.04,7.84,7.25,6.37,6.86,7.06,8.43,8.33,8.14,7.75,7.35,6.57,5.1,5.59,7.65,9.12,9.9,9.8,10,9.71,9.61,9.51,9.41,8.82,8.24,7.94
43999,"Aventura","City","FL",1421,"Miami-Fort Lauderdale-West Palm Beach",394856,10,9.9,9.71,9.61,9.12,8.82,7.45,6.57,5.49,4.41,4.02,5.1,5.98,7.94,9.51,9.8,9.31,8.04,7.16,7.55,8.14,7.25,7.06,7.84,8.53,9.22,9.41,9.02,8.73,7.75,8.24,8.33,8.92,7.65,6.86,6.27,6.37,6.47,6.76,6.67,6.08,5.88,5.69,5.39,4.71,3.82,3.24,3.63,3.73,4.22,5,5.2,5.29,5.59,6.18,7.35,8.63,8.43,6.96,5.78,3.43,2.45,1.86,2.06,2.55,3.14,3.33,3.92,3.04,2.84,2.75,1.96,1.47,0.49,0.39,0.69,0.78,1.08,0.98,1.18,0.59,1.57,1.27,1.37,0.2,0.1,0.29,0.88,1.67,2.65,3.53,4.8,4.9,4.61,4.51,4.31,4.12,2.94,2.35,1.76,2.16,2.25
4592,"Englewood","City","CO",1422,"Denver-Aurora-Lakewood",394530,0.98,0.88,0.69,0.59,0.39,0.29,0.2,0.1,0.49,0.78,1.08,1.18,1.27,1.37,1.47,2.06,2.45,2.16,1.86,1.57,1.76,1.67,1.96,2.25,2.75,3.14,3.04,2.55,2.35,3.24,4.31,4.9,4.8,5.1,4.22,3.43,2.65,2.84,3.53,3.63,3.33,2.94,3.73,4.41,5.59,5,5.39,5.69,6.37,5.88,5.2,5.29,6.27,8.33,8.63,7.55,7.16,6.76,6.67,6.57,6.86,6.18,6.47,6.96,8.24,9.41,9.9,9.8,8.73,8.14,7.94,8.43,7.35,7.45,7.65,7.75,8.53,9.12,9.71,9.31,9.22,7.06,6.08,5.49,5.98,7.84,9.02,8.82,7.25,8.92,9.61,10,9.51,8.04,5.78,4.61,3.82,4.12,4.02,4.51,3.92,4.71
23912,"Calhoun","City","GA",1423,"Calhoun",394432,1.18,0.59,0.39,0.2,0.1,0.29,0.49,0.78,0.88,0.69,1.08,1.86,0.98,1.27,1.67,4.9,3.33,3.63,2.45,2.75,2.25,3.92,5.88,8.24,6.47,6.18,4.51,6.37,6.57,8.43,7.84,7.65,5.98,5.59,4.31,4.02,3.53,3.14,2.94,2.16,3.04,4.8,6.27,5.78,5,3.73,4.12,5.29,6.67,7.55,5.69,2.84,1.57,2.06,2.55,3.43,2.35,1.96,1.47,1.37,1.76,2.65,4.71,5.2,5.1,3.82,4.41,5.49,7.45,8.33,7.94,7.25,7.06,6.08,4.61,3.24,4.22,5.39,6.86,7.75,8.92,9.12,9.61,9.22,8.73,8.04,8.14,7.16,6.96,7.35,8.63,9.41,9.8,10,9.9,9.51,8.82,9.02,9.71,9.31,8.53,6.76
45645,"Hanover Park","City","IL",1424,"Chicago-Naperville-Elgin",394463,2.25,1.27,1.76,1.18,1.57,1.96,1.67,0.69,0.29,0.1,0.2,0.49,0.88,2.84,5,6.96,4.8,2.75,1.47,1.08,1.86,3.92,3.43,3.63,2.65,3.53,3.73,5.98,8.04,9.12,8.92,7.65,6.18,6.27,7.25,8.53,8.24,7.35,6.37,6.67,5.49,2.45,1.37,2.16,4.71,5.59,3.14,2.35,2.06,0.78,0.59,0.39,0.98,2.55,5.39,6.08,4.61,2.94,3.04,3.33,4.12,4.51,5.88,4.41,3.82,3.24,5.69,5.78,4.9,4.22,5.29,6.47,7.16,6.57,5.1,4.31,4.02,5.2,6.86,7.94,8.82,8.33,7.75,7.84,8.63,9.61,9.9,10,9.51,8.14,7.55,8.73,9.31,9.41,9.71,9.22,9.02,7.45,7.06,6.76,8.43,9.8
