RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
2872,Whitfield County,Georgia,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109600,108600,112400,113400,114300,113400,116e3,117900,116700,117900,116500,122800,123200,125100,121700,127100,122100,123800,120400,129700,132300,125500,126600,126100,135e3,129800,124400,125900,126300,134500,135800,135600,134200,126500,130100,132900,138800,
641,Miami County,Ohio,450,110900,108200,108100,106e3,111700,112900,107600,103800,97300,100800,105100,103600,118300,110400,114700,107500,112300,112100,108700,109e3,103900,100700,96e3,96200,95900,101300,107e3,108700,104500,101e3,96900,95100,92200,102800,99e3,101100,90700,89e3,88200,92100,101100,106500,107400,103e3,99600,96200,98100,100700,109600,111600,115e3,107400,115e3,116100,118100,110700,109500,111800,115100,117100,117700,112800,105500,104900,113600,115600,114700,110900,111e3,119100,110900,114500,107200,117e3,111400,109400,107100,121900,126600,125e3,113e3,107100,112400,110900,110600,108500,114400,121700,120300,12e4,119e3,122900,117800,121e3,108700,110400,111500,120300,124e3,123700,126300,125e3,120300,123900,130800,136200,135e3,132200,131800,137e3,140300,141300,136600,134400,136600,134200,133700,127700,128100,127100,131700,132500,142600,140400,147800,141600,142600,138400,135500,135e3,135300,139e3,145100,144500
1644,Cowlitz County,Washington,451,179600,172700,165900,165300,166600,178700,172100,171600,168200,173400,168500,159400,162300,168300,175400,169700,164300,158700,154500,157100,156100,157100,151500,154900,167500,169900,162500,147800,142100,146200,147700,153300,156200,159300,158800,143900,135500,128700,137100,134200,137600,131400,137600,136300,141700,143200,138600,136800,130500,132900,133700,125800,122200,126700,134500,146900,141700,148200,140500,139600,137500,144500,149300,151400,153200,154100,156300,154e3,150700,151100,157900,160900,160800,155900,159600,161300,160200,158800,16e4,161300,165800,162100,166200,167e3,172400,174400,175800,176e3,182100,181900,183e3,177500,179500,183800,186900,186200,187e3,185200,186400,190500,189500,198600,199100,207400,201500,206e3,206500,214700,211700,206600,202100,201500,208500,210800,213100,218300,228500,230900,229300,229300,234200,232500,225700,225800,230300,236300,241900,246100,249900,255900,251100,263200,256800,269100
2592,Walworth County,Wisconsin,452,203500,207400,201400,188500,171800,162800,165300,173300,168100,161800,159500,172700,180400,179e3,172700,169300,160800,162600,159200,172100,164200,181e3,176500,187300,172e3,165700,16e4,152900,152300,148700,150100,149e3,150100,147900,150700,141600,142800,145e3,149700,144e3,133200,136600,144700,152700,138500,134900,139700,148800,141100,129400,126100,132500,145800,159300,16e4,154800,148100,153700,150400,160600,153900,154e3,137800,145500,146600,154200,151600,156300,151500,155200,147500,150600,153500,153500,156500,150600,155300,151600,152200,151100,156500,153200,156700,154400,155600,154200,154900,159800,160400,158500,158700,156e3,165400,163600,167500,162900,168600,169100,171400,168800,169200,173200,179100,183100,180400,178600,174900,189200,190600,199500,185e3,182500,178700,179e3,178600,179500,176700,185400,192500,201900,200400,196100,188900,184500,182900,193100,198500,204800,199200,196700,190800,201e3,204400,
3092,Fond du Lac County,Wisconsin,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132900,120800,121100,122900,117100,114200,111500,112900,117200,115500,121200,118400,121900,118600,117800,114400,116e3,118900,124800,119100,123900,123400,125100,123400,121100,123200,124200,126500,127700,127500,124100,122300,136100,150600,153200,139900,131e3,131800,126800,132300,136200,138500,138600,140200,138700,134900,130800,
2578,Tompkins County,New York,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178900,172900,184600,177700,184200,167400,169100,164500,164300,164100,173500,170200,179500,177800,185100,178300,177700,175200,174700,164800,161800,163800,168900,172100,173400,181e3,179600,178300,175600,174200,171200,169200,178700,184400,181200,177900,181800,181600,187700,186200,189200,183500,172900,178900,174700,178900,178600,187500,193200,197700,188e3,176900,179100,179300,190700,181700,182100,182900,188200,190600,188600,190900,196900,198900,191100,187900,197300,204300,209800,204500,207700,207300,203300,192200,192800,193800,201900,209800,224e3,226e3,220600,213400,213900,209200,210200,218e3,223400,239300,242400,253700,239200,217e3,198700,197500,209700,227800,213700,222100,209700,223800,201700,192300,187400,
1781,Houston County,Alabama,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105600,113800,111700,105800,105200,111500,114800,114800,117200,127700,133500,131400,117200,118e3,127300,142400,143100,139100,148900,153100,153300,134800,131200,130900,134400,134600,133100,135400,133100,123800,126900,121600,129100,123400,127700,128e3,128400,128400,129900,128700,133e3,126600,141700,136800,150200,144200,144700,134600,119500,123800,129200,
2624,Ashtabula County,Ohio,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78900,73300,74600,73900,66200,68100,70900,75100,75300,73400,77e3,78800,96600,90700,90800,72900,73e3,74500,77700,81500,80600,77700,76e3,76800,81800,80200,81e3,78200,83100,80800,80600,77200,77400,81100,82e3,77200,78300,73100,72900,69600,75100,83800,84400,83400,77700,74600,75600,82800,82900,86800,85400,91200,91200,86500,79300,76600,89600,98100,96500,87e3,81200,87200,91500,93900,92200,86800,86500,86900,90800,94600,99500,99100,99700,91300,90600,
2283,Franklin County,Missouri,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140300,143e3,140700,133900,139100,145100,147600,150400,143900,153300,150900,154100,145400,146e3,148700,152500,152900,154100,151300,152600,150800,149100,143700,147200,152300,160100,156e3,151400,145700,143800,148600,145800,146300,146200,154100,157e3,152300,151400,152600,156700,150700,147200,146800,146600,152500,155400,162200,163400,
362,Adams County,Pennsylvania,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159200,162e3,167500,170200,171200,171300,162800,157500,152500,152600,150600,149e3,144400,146200,150400,149e3,159800,160700,168300,158500,157900,156900,150300,153e3,162500,181600,182200,173400,166200,162100,156400,153500,158300,159300,163400,166600,170100,172200,171100,165700,163600,166e3,173800,178800,179500,203600,203600,201900,184200,177900,171e3,166700,166e3,172300,170800,175100,173400,171100,163200,157600,161600,158800,167800,168100,181900,183400,185e3,183500,193700,196700,196e3,184700,175e3,176e3,176900,185300,189600,193e3,197400,198900,203e3,200800,195900,187200,181600,177800,182500,
