"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Lake View","Chicago","IL","Chicago-Naperville-Elgin","Cook County",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,2900,3200,3300,3450,3480,3300,3100,3200,2995,2995,2995,3000,3200,3400,3400,3500,3600,3500,3200,3200,3200,2997.5,3175,3372.5,3372.5,3395,3300
"Hamilton Heights","New York","NY","New York-Newark-Jersey City","New York County",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3350,3447.5,3472.5,3575,3484,3500,3400,3500,3400,3300,3391,3400,3547.5,3397.5,3397.5,3595,3625,3695,3872.5,3700,3529,3400,3397.5,3547.5,3397.5,3550,3595
"Summerlin North","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",28,,,,,1672.5,1850,1900,1825,1700,1850,1700,1850,1725,1672.5,1750,1662.5,1650,1700,1695,1775,1650,1600,1695,1600,1600,1600,1700,1737.5,1795,1800,1795,1795,1700,1750,1753,1700,1750,1650,1695,1699,1800,1775,1775,1775,1785,1795,1795,1850,1850,1800,1800,1800,1795,1800,1850,1795,1795,1785,1750,1795,1795,1795,1800,1825,1892.5,1972.5,1895,1900,1897,1850,1795,1772.5,1772.5,1850,1900,1995,1955,1995,1999,1925,1950,1850,1872.5,1895,1825,1995,2012.5,1995,1997.5,2000,2100,2095,2000,1997.5,1972.5,2150,2097.5,2075,2225,2250
"Memorial","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,3200,3000,3500,3200,3500,3300,3050,3325,3200,3400,3500,3400,3347.5
"Jamaica Plain","Boston","MA","Boston-Cambridge-Newton","Suffolk County",30,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3100,3000,3100,3100,3100,3100,3200,3000,3000,3200,3200,3100,3100,3100,3150,3200,3100,3000,2950,3000,3000,3100,3300,3300,3300,3362.5,3362.5,3200,3200,3200,3000,3000,3025,3300,3500,3500,3400,3400,3400,3400,3400,3400,3300,3000,3200,3275,3500,3500,3450,3600,3600,3600,3500,3400,3400,3400,3500,3600,3600,3600,3600,3700,3700,3700,3600,3500,3400,3200,3400,3600,3600,3600,3600,3600
"Carmel Valley","San Diego","CA","San Diego-Carlsbad","San Diego County",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,4247.5,4500,4500,4500,4390,4100,4200,4350,4425,4375,4500,4500,4375,4525,4600,4695,4350,4500,4500,4350,4400,4500,4500,4500,4550,4500,4597.5
"Englewood","Chicago","IL","Chicago-Naperville-Elgin","Cook County",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1250,1262.5,1250,1200,1200,1200,1250,1250,1200,1250,1250,1350,1350,1350,1300,1325,1300,1250,1250,1300,1350,1300,1287.5,1200,1250,1285
"East Boston","Boston","MA","Boston-Cambridge-Newton","Suffolk County",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,2972.5,2900,2900,2997.5,3100,3000,3000,3000,3000,3100,3100,3100,3100,3200,3200,3100,3100,3025,3000,2900,2997.5,3250,3300,3300,3300
"Briarforest Area","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2475,2587.5,2775,2700,2600,2575,2600,2500,2500,2500,2497.5,2495,2495,2500,2500
"Brighton","Boston","MA","Boston-Cambridge-Newton","Suffolk County",35,2600,2600,2600,2600,2550,2500,2500,2500,2600,2600,2700,2725,2675,2650,2650,2750,2800,2750,2750,2675,2800,2900,2800,2800,2800,2900,2900,2900,3000,3000,3000,3000,3000,2999,2950,2962.5,3000,3000,3000,3100,3200,3100,3100,3200,3200,3200,3200,3200,3200,3100,3175,3200,3200,3100,3187,3150,3100,3050,3100,3200,3200,3200,3200,3300,3300,3300,3300,3200,3200,3200,3200,3200,3400,3400,3400,3400,3400,3400,3400,3400,3400,3300,3300,3400,3400,3400,3400,3450,3500,3450,3400,3400,3400,3300,3300,3400,3400,3400,3450,3500
