"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
9,"California",1,5.02681446974925,4.88201790073231,4.96576187224154,5.12820512820513,5.0125313283208,4.99990030808485,4.9079754601227,4.73408489467556,4.59770114942529,4.57286432160804,4.5224530294786,4.44444444444444,4.44444444444444,4.49438202247191,4.61538461538461,4.78468899521531,4.54802259887006,4.44444444444444,4.41176470588235,4.40677966101695,4.3010752688172,4.34782608695652,4.19564122833688,4.13333333333333,4.1095890410959,4.12456194073015,4.08328295956488,4.4543429844098,4.3010752688172,4.18410041841004,4.18410041841004,4.01606425702812,4.07999999999999,3.86100386100386,3.68445294048386,3.42281879194631,3.38983050847458,3.39033903390339,3.33388898149691,3.43839541547278,3.33333333333333,3.22612903225806,3.16973415132924,3.13141856983193,3.11894493405838,3.08641975308642,3.04182509505704,2.94550810014728,2.99808270800965,3.03122158229766,3.03951367781155,3.15322353823557,3.12543951569505,3.03214069132808,3.03633425342572,3.13246527552621,3.08166409861325,3.07692307692308,3.00375469336671,2.93066476054324,2.94377391816308,3.00375469336671,3.03030303030303,3.09357058062921,3.07328450348052,2.98507462686567,3.03122158229766,2.9712215320911,2.99975749939375,2.92758089368259,2.86532951289399,2.78260869565218,2.85714285714286,2.86532951289399,2.85795941697627,2.76243093922652,2.85714285714286,2.85714285714286,2.81563126252505,2.78293135435993,2.83018867924528,2.77777777777778,2.74926112456381,2.67256637168142,2.66106442577031,2.63227165043433,2.58665287118469,2.58457374830853,2.67857142857143,2.64797507788161,2.63227165043433,2.58018829914227,2.5974025974026,2.60744985673352,2.5974025974026,2.56541816316059,2.58578630671654,2.65998457979953,2.60586319218241,2.5462233473421,2.50208507089241,2.47614403623695,2.44444444444445,2.53164556962026
54,"Texas",2,4.00801603206413,3.96668840942775,3.87514450867052,4.15535602422218,4.00667779632721,4.00943396226415,3.84862091084028,3.70370370370371,3.5483870967742,3.51772019144763,3.47791815700826,3.59649122807018,3.6697247706422,3.72697194556114,3.78151260504201,4.09432324207795,3.89105058365758,3.73493975903615,3.51351351351351,3.4453781512605,3.36134453781513,3.33444481493831,3.33444481493831,3.38289962825279,3.41463414634147,3.44827586206896,3.58682542137003,3.66474715464197,3.67892976588629,3.33889816360601,3.2851165712899,3.20534223706177,3.25775244436273,3.13972486638032,3.15831578947369,3.16333118140736,3.13479623824452,3.2258064516129,3.24324324324324,3.42465753424658,3.38299540719167,3.22788896061975,3.12695434646654,3.125,3.04242424242425,3.03214069132808,3.03214069132808,3.03214069132808,3.07952318206076,3.12597686777117,3.07692307692308,3.26164874551972,3.24324324324324,3.16455696202531,3.07929176289453,3.09090909090909,3.03030303030303,3.01837985577568,2.98059611922384,3.00230946882217,3.06604719481431,3.03214069132808,2.99453551912569,3.07692307692308,3.07573016283277,3.07692307692308,3.02861906085024,2.89855072463768,2.89855072463768,2.85714285714286,2.78509912721808,2.85469379980317,2.84941247606511,2.85714285714286,2.78086763070078,2.85755107872553,2.85714285714286,2.78551532033426,2.77777777777778,2.67434695539271,2.66666666666666,2.63227165043433,2.5974025974026,2.60504201680672,2.56410256410257,2.63157894736842,2.54777070063694,2.61344737467332,2.66737796745798,2.65486725663717,2.54248061358532,2.52684775742261,2.54237288135594,2.50062515628907,2.53481894150418,2.49553104347996,2.45938882142031,2.50859268883246,2.45283018867924,2.49322493224933,2.5062656641604,2.51924063622371,2.4390243902439,2.44498777506112
43,"New York",3,4.54545454545454,4.41176470588235,4.36681222707423,4.76190854120025,4.5475216007276,4.4543429844098,4.30125454004381,4.16666666666666,4.1095890410959,4.17014178482068,4.31419679310175,4.21052631578948,4.37158469945356,4.35161009573543,4.38356164383562,4.66296392222318,4.41702181866129,4.38360194577777,4.13943355119826,4.03731149245969,4.04040404040404,4.1095890410959,4.08673894912427,4.08805031446541,4.1095890410959,4.14847161572053,4.16668402792245,4.5475216007276,4.25531914893616,4.05701754385965,4.06666666666666,4.00320256204964,4.00320256204964,4.0016006402561,4.00320256204964,4.00667779632721,4.04141414141415,4.01069518716578,4.01606425702812,4.34782608695652,4.16,4.17014178482068,3.92927308447937,3.84911470361817,3.86100386100386,3.87096774193548,3.86949979815773,4.00320256204964,4.0016006402561,4.07213496218732,4.03225806451613,4.34782608695652,4.04246631278072,4.14905877833269,3.94337714863499,3.92149327175942,4.00006666746668,3.89615955605841,3.95197598799399,4.0016006402561,4.07999999999999,4.07447336980444,4.14141414141415,4.51500896057347,4.25531914893616,4.13943355119826,4.02930402930403,3.98230088495575,3.92156862745098,3.97818930041153,4.0016006402561,4.00667779632721,4.06825630014691,4.16666666666666,4.0506329113924,4.3918918918919,4.24345320779956,4.08163265306123,4.00801603206413,4.00052007121019,4.0000380953034,4,4,4.00320256204964,4.00667779632721,3.97256358959702,4.04040404040404,4.25713797230296,4.13793103448276,4.05198312236287,4.00552486187845,3.84911470361817,3.84911470361817,3.84615384615384,3.84911470361817,3.84911470361817,3.85356454720617,3.86100386100386,3.85039631408379,4,3.84763370527126,3.74531835205992,3.68639327514117,3.70370370370371
14,"Florida",4,6.66666666666667,6.06060606060606,5.91715976331361,6.22069396686464,6.11353711790393,5.91715976331361,5.81091168780427,5.63539025077486,5.58659217877095,5.65217391304348,5.60224089635855,5.40540540540541,5.47945205479452,5.40540540540541,5.40832882639265,5.43481214571818,5.21739130434783,5.06623042204662,5.09075221586007,5,5,4.92485384763355,4.78468899521531,4.77142857142857,4.76190476190477,4.76303881876637,4.76303881876637,5.00250125062531,4.83870967741935,4.65116279069767,4.41826215022091,4.54355981659025,4.45859872611465,4.34908669179472,4.44444444444444,4.38356164383562,4.34971726837755,4.31541781090624,4.54545454545454,4.96832277425808,4.61538461538461,4.35097897026832,4.1221563894375,4.04040404040404,4.0016006402561,3.91157883909458,3.8647342995169,3.84807692307693,3.78583017847485,3.85356454720617,3.80954213158907,4.15913200723327,3.86100386100386,3.70644922164566,3.584229390681,3.57142857142857,3.51493848857645,3.43347639484979,3.44086021505376,3.36417157275021,3.34448160535117,3.33377783704494,3.33555703802535,3.55294117647059,3.35483870967742,3.33333333333333,3.23624595469255,3.13977451812341,3.04446640316205,3.03214069132808,2.91428571428571,2.94125000189553,2.88571428571428,2.94290759270159,2.98516373623093,3.06122448979592,3.0223880597015,2.98674641731209,2.92887029288703,2.85795941697627,2.79069767441861,2.75229357798165,2.73972602739726,2.70724215949608,2.77804787058867,2.77932184546971,2.70343336036767,2.77932184546971,2.81081081081082,2.77854959711031,2.77779320996228,2.72568142035509,2.63227165043433,2.5706940874036,2.60162601626016,2.52897787144363,2.51889168765743,2.62701859003862,2.60869565217391,2.70343336036767,2.71002710027101,2.70416441319632,2.67857142857143,2.60115606936416
21,"Illinois",5,4.76190476190477,4.57208181929531,4.76190476190477,5.08982693249204,5.26315789473685,5,4.773085961112,4.44444444444444,4.25531914893616,4.34782608695652,4.37158469945356,4.45950864422202,4.44444444444444,4.62071689613084,4.95474035254884,5.12820512820513,5,4.71653168175321,4.36681222707423,4.34971726837755,4.34782608695652,4.26029663393612,4.35161009573543,4.40528634361234,4.44444444444444,4.49275362318841,4.65116279069767,5.26315789473685,4.95238095238095,4.76190476190477,4.54496036687818,4.30828147438966,4.17014178482068,4.03225806451613,4.01606425702812,4.00667779632721,4.01606425702812,4.08163265306123,4.44444444444444,5.26870389884089,4.82862276276691,4.69798657718121,4.1095890410959,3.70644922164566,3.57398141529665,3.47490347490348,3.57270453733476,3.6151111777922,3.67407095483735,3.80890897353131,4.00801603206413,4.76205064653462,4.2534080774621,4.00320256204964,3.584229390681,3.3826161357275,3.33333333333333,3.27868852459017,3.33555703802535,3.33444481493831,3.40986587860878,3.38983050847458,3.48612007746933,4.00320256204964,3.57270453733476,3.34821428571429,3.35483870967742,3.16126450580232,3.10089538820088,3.09546144911998,3.10799865506034,3.15558252427185,3.12695434646654,3.17535923252145,3.24156276899273,3.58620689655172,3.25806451612903,3.03214069132808,3.03071631049577,2.94985250737463,2.99401197604791,2.94985250737463,2.94117647058824,3.03030303030303,2.96515367385156,2.94204177699323,2.94290759270159,3.17460317460317,3.07692307692308,3.00375469336671,2.94089100178098,2.85795941697627,2.85795941697627,2.87769784172662,2.91416082703115,2.86123032904149,2.85918513223731,2.89855072463768,2.94498381877023,3.12597686777117,3.03122158229766,2.88969158099472,2.78551532033426,2.80766192856318
47,"Pennsylvania",6,4.34782608695652,4.17014178482068,4.14141414141415,4.58515283842795,4.35161009573543,4.34782608695652,4.08577878103837,4,3.8961038961039,3.92312280581625,4.08298797848881,4.14487043315532,4.16,4.17014178482068,4.37956204379562,4.73265586958823,4.3859649122807,4.1041041041041,4.00106695118698,3.87318929169297,3.85109114249037,3.9823264959427,4.00200100050025,4.06121247792819,4.00320256204964,4.02144772117963,4.03846153846153,4.54545454545454,4.34782608695652,4.04231205137892,3.88888888888889,3.84763370527126,3.84689363339104,3.84763370527126,3.92313851080864,4.00320256204964,3.96659707724426,4,4.08997955010225,4.57142857142857,4.34782608695652,4.18410041841004,3.84911470361817,3.71747211895911,3.70370370370371,3.70644922164566,3.79679144385027,3.84763370527126,3.75047355472852,3.79751642486703,3.84911470361817,4.41505268857512,4.13793103448276,4.11096594839701,3.77777777777778,3.56304671668553,3.61532899493854,3.61532899493854,3.70644922164566,3.78151260504201,3.7721324095458,3.70644922164566,3.77777777777778,4.3066985645933,4.00320256204964,3.84763370527126,3.634779842539,3.57439733998337,3.53356890459364,3.5778175313059,3.62435234883706,3.70644922164566,3.57398141529665,3.57204092421775,3.77358490566038,4.00120040014405,3.84763370527126,3.70644922164566,3.45065562456867,3.42857142857143,3.36842105263158,3.42335584932245,3.5483870967742,3.62906106402297,3.50877192982456,3.4494653328734,3.57270453733476,3.84911470361817,3.62999123795218,3.51724137931034,3.55029585798816,3.42857142857143,3.4494653328734,3.46020761245674,3.4494653328734,3.50877192982456,3.55753196220122,3.51724137931034,3.57142857142857,3.77777777777778,3.63768643142961,3.50877192982456,3.40928462945169,3.36634455448185
44,"Ohio",7,5.0251256281407,4.9049049049049,5,5.6497175141243,5.55555555555556,5.59916025192442,5.18783542039356,4.76261904761905,4.49534126735434,4.40602355072464,4.5475216007276,4.54899929701584,4.76190476190477,4.71080070824317,4.93209435310936,5.4508534805508,5.06329113924051,4.76644423260247,4.41334768568353,4.25531914893616,4.15704387990762,4.16,4.17014178482068,4.17014178482068,4.27024987694299,4.37361008154188,4.54959053685169,5.35799726589201,5.29174219982019,5.13083632632119,4.87804878048781,4.35413642960812,4.24345320779956,4.24242424242425,4.1860211318481,4.25797167623807,4.33249370277078,4.44938820912124,4.6497768661474,5.41081081081081,5.03461495809768,4.76758045292014,4.29749356738895,4.04,3.8964458395738,3.85356454720617,3.9039039039039,3.84911470361817,3.90522158841597,4.04040404040404,4.32679306901859,4.9490455136691,4.45473984319316,4.17014178482068,3.9587803500847,3.84615384615384,3.84615384615384,3.84689363339104,3.84911470361817,3.84911470361817,3.88888888888889,3.87890916982133,4.00320256204964,4.57401386015042,4.17536534446764,4.1095890410959,3.87096774193548,3.74531835205992,3.70644922164566,3.70644922164566,3.63855421686747,3.7721324095458,3.84615384615384,3.88726919339164,3.98079615923185,4.45589250624038,4.05405405405406,3.84615384615384,3.77777777777778,3.68980612883052,3.64298724954463,3.59897172236504,3.584229390681,3.61010830324909,3.57398141529665,3.63724540618893,3.7826481944129,4.17536534446764,3.93803381397947,3.85185185185185,3.68098159509203,3.50938761186173,3.50884580181769,3.50877192982456,3.50250178699071,3.46102003642987,3.50374857735536,3.51000351000351,3.46020761245674,3.62903225806451,3.6697247706422,3.51724137931034,3.41880341880342,3.4965034965035
30,"Michigan",8,7.16845878136201,6.9821567106284,7.14796283059328,8.03212851405623,8.00640512409928,8.34028356964137,7.69822940723633,7.11781293940331,6.66666666666667,6.25390869293309,6.26435608855124,6.25782227784731,6.60881174899867,6.67556742323098,6.92041522491349,7.84615384615385,7.2463768115942,7.06684264659545,6.25782227784731,6.16329675167447,5.88928150765606,5.88928150765606,6.00000000000001,5.91715976331361,5.91715976331361,5.88235294117647,6.25782227784731,7.14796283059328,7.01001430615165,6.67556742323098,6.25782227784731,5.84192439862543,5.66037735849056,5.20408607020159,5.26315789473685,5.16882034180909,5.12952038984355,5.26592943654555,5.55864369093941,6.67556742323098,6.52386655532752,6.11764705882353,5.55555555555556,4.8,4.44642063139173,4.34782608695652,4.36522055450994,4.34971726837755,4.37158469945356,4.35161009573543,4.6242774566474,5.0251256281407,4.97030321975618,4.89795918367347,4.36174469787916,4.16840350145894,4.17014178482068,4.17014178482068,4.18410041841004,4.14204624467453,4.16840350145894,4.17014178482068,4.16840350145894,4.85714285714286,4.44444444444444,4.53731343283582,4.44401975119889,4.05425536917262,4.000800160032,4.00667779632721,4.0016006402561,4.0016006402561,4.00168960425433,4,4.12371134020618,4.41501103752759,4.16666666666666,4.01606425702812,3.84911470361817,4,3.798429982274,3.84615384615384,3.84615384615384,3.73007842145206,3.75577640053444,3.70644922164566,3.82552021896285,4.08081632653061,4,3.95703787450538,3.88888888888889,3.71747211895911,3.68421052631579,3.70644922164566,3.74181478016838,3.61578632731004,3.60129787037438,3.63636363636364,3.57653791130186,3.81818181818182,3.67241242632801,3.57398141529665,3.55294117647059,3.48618932689729
16,"Georgia",9,6.06060606060606,5.85774058577406,5.88928150765606,6.44038294168843,6.25782227784731,6.40425636730874,6.210737053929,5.74712643678161,5.61437475586352,5.64689063616869,5.71428571428572,5.57103064066853,5.71591883395256,5.85744172145846,5.9162020123219,6.41154449775176,5.8837373499647,5.56586270871985,5.26592943654555,5.08427232269671,5,5.005005005005,4.76644423260247,4.93662441627751,4.78468899521531,4.85714285714286,4.96536439464784,5.35905680600214,5.0251256281407,5,4.78174259483803,4.44305660882366,4.38695163104612,4.25531914893616,4.25935272369784,4.16840350145894,4.21592872851161,4.18118669945572,4.35406698564593,5,4.68646806709438,4.1095890410959,4.01146131805158,3.77777777777778,3.70507595405706,3.55555555555556,3.65853658536586,3.51724137931034,3.5778175313059,3.65559264515822,3.73493975903615,4.07461663931115,3.84911470361817,3.70644922164566,3.5483870967742,3.51725250637024,3.35815856959978,3.28638497652582,3.26884589726484,3.32807819247666,3.33555703802535,3.33333333333333,3.38691929899896,3.61656987780322,3.44778254649499,3.33388898149691,3.2520325203252,3.10077519379846,3.03122158229766,3.03181072654239,2.97055214723927,3.04259634888439,3.06460692924321,3.14021642692971,3.11517576450414,3.20085356094959,3.1590586793528,3.03122158229766,2.85714285714286,2.8235294117647,2.82485875706214,2.76702966996333,2.76595744680851,2.7507641011392,2.81154813630821,2.85714285714286,2.81802986832374,2.76480994266217,2.94985250737463,2.75675675675676,2.73972602739726,2.65486725663717,2.63227165043433,2.66540642722117,2.67743565085606,2.66963292547274,2.70343336036767,2.7027027027027,2.56541816316059,2.66731867921688,2.5974025974026,2.60540086887835,2.50062515628907,2.44034707158352
36,"North Carolina",10,4.76644423260247,4.5453099169171,4.46428571428571,5.00250125062531,4.85575589459085,4.5475216007276,4.36174469787916,4.16840350145894,4.0177674625495,4.11607344044104,4.16744806498798,4.16840350145894,4.30942773294204,4.18410041841004,4.35283854069068,4.5786841092728,4.38388792970547,4.18491484184915,3.97941680960548,3.92392408119527,3.88942916242166,3.93013100436681,4.01606425702812,4.00320256204964,3.94736842105263,4.00110506747688,4.16666666666666,4.48095593726662,4.43478260869565,4.1095890410959,3.96789614553366,3.70644922164566,3.64292219620089,3.63636363636364,3.65853658536586,3.70507595405706,3.62767575917446,3.6354542423232,3.84615384615384,4.28602045190129,4,3.80934058887117,3.50877192982456,3.35570469798657,3.33333333333333,3.38983050847458,3.42007434944238,3.33555703802535,3.37335620354489,3.43762070297412,3.50125089349536,3.73198199884685,3.57142857142857,3.47490347490348,3.30611836843508,3.22841000807103,3.22650032265003,3.20855614973262,3.22684737011939,3.15625,3.10684724203336,3.2258064516129,3.12925382942437,3.51724137931034,3.30250119924543,3.33333333333333,3.13234334603932,3.00948399856167,2.97149787750152,3.03030303030303,3,3.03951367781155,3.03214069132808,3.1578947368421,3.09425625920471,3.18655958644881,3.06909586664188,2.90275761973875,2.83553875236295,2.82242990654206,2.83018867924528,2.84814498900225,2.80561122244489,2.82051282051282,2.80373831775701,2.83018867924528,2.70416441319632,2.77932184546971,2.77932184546971,2.77932184546971,2.66675555851862,2.68194598836069,2.63157894736842,2.6829268292683,2.75675675675676,2.72373540856031,2.71762371582196,2.73224043715847,2.5,2.5390625,2.50062515628907,2.50104775266984,2.38499261172672,2.5442188805984
