"RegionName","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33333333333333,3.33333333333333,3.39,3.4,3.33333333333333,3.27272727272727,3.25,3.26666666666667,3.25,3.25,3.35909090909091,3.40861860500265,3.37837837837838,3.49375,3.4,3.35132480512949,3.44444444444444,3.21666666666667,3.30783938814532,3.375,3.375,3.33333333333333,3.37596153846154,3.43333333333333,3.42857142857143,3.4329563812601,3.484,3.38461538461538,3.28571428571429,3.25,3.24930507174474,3.21428571428571,3.19125,3.1875,3.25,3.30769230769231,3.3,3.31967213114754,3.33333333333333,3.27272727272727,3.1875,3.13603896103896,3.1001968503937,3.12050496702157,3.125,3.15578947368421,3.3
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74166666666667,1.68103448275862,1.7,1.73,1.69127963231737,1.69025157232704,1.69542483660131,1.69292803970223,1.66383325832583,1.69542483660131,1.67322383498854,1.66666666666667,1.75,1.75,1.73076923076923,1.78571428571429,1.81323662737987,1.88888888888889,1.99455882352941,1.96382007822686,1.86875,1.93790849673203,1.99485726033835,1.97259136212625,1.90355329949239,2,2.04330704081158,1.99285714285714,2.07142857142857,2,2.11774072686399,2.05937431152236,2.05,2.02425942892045,1.94117647058824,2.13571428571429,2.07522697795071,2.09655237453147,2.17828399709855,2.24294871794872,2.28619897959184,2.24180327868852,2.22222222222222,2.28571428571429,2.26750861079219,2.21428571428571,2.15,2.18571428571429,2.24174242424242,2.1875,2.15851602023609,2.23076923076923,2.24375,2.2,2.2564164542498,2.26,2.25,2.28313253012048,2.27857142857143,2.33333333333333,2.316,2.2742946708464,2.34090909090909,2.36486486486486
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2785016286645,1.40096618357488,1.18518518518519,1.14583333333333,1.14583333333333,1.29393468118196,1.16935483870968,1.25235257214555,1.34638922888617,1.5007874015748,1.52470930232558,1.28476821192053,1.18374461058618,1.26050420168067,1.25377626235056,1.14814814814815,1.16935483870968,1.21753246753247,1.16564417177914,1.15749815319215,1.21478174603175,1.21951219512195,1.16265314639454,1.17073170731707,1.13324175824176,1.18612006529668,1.18083003952569,1.25661375661376,1.23697916666667,1.19621261555193,1.24956063268893,1.25865800865801,1.24956063268893,1.25,1.26771653543307,1.21932515337423,1.20714285714286,1.20761494252874,1.1625,1.19553666312434,1.26082380848568,1.21942934782609,1.22307692307692,1.19230769230769,1.17647058823529,1.15384615384615,1.16666666666667,1.18457891012031,1.16666666666667,1.18319857880175,1.20534188034188,1.20305425666147,1.20917338709677,1.21320346320346,1.19714285714286,1.2,1.16666666666667,1.2,1.16961331679074,1.18040653314258,1.17156998308173,1.2,1.15928748876128,1.17357226107226,1.19230769230769
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82426470588235,1.87154316271963,1.91583333333333,1.92949471210341,1.95333333333333,1.84899845916795,1.8625,1.9125,1.91666666666667,1.85,1.89492489270386,1.89794473624115,1.86875,1.86875,1.86875,1.85714285714286,1.9375,1.94117647058824,2.08751139471285,2.11487603305785,2.11844321963394,2.03632887189293,2.06944444444444,2.10030532418639,2.10526315789474,2.1,2.18260869565217,2.25,2.33962264150943,2.37037037037037,2.19071520896165,2.07958333333333,1.96240105540897,2.04236006051437,2.1841784338896,2.3,2.10555555555556
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,0.721276833631485,0.719476744186046,0.727987421383648,0.678571428571429,0.747508305647841,0.729570432794261,0.72294776119403,0.735714285714286,0.736709601873536,0.734805400512898,0.74286820704789,0.75,0.761538461538461,0.760434782608696,0.780392156862745,0.833333333333333,0.79375,0.796078431372549,0.80379746835443,0.801185770750988,0.820707070707071,0.826086956521739,0.817318757192175,0.826206896551724,0.848656294200849,0.830587606837607,0.848345295829292,0.851391382405745,0.869455975529823,0.893684210526316,0.903041825095057,0.920447755948406,0.918744464424703,0.923458422879815,0.916666666666667,0.916666666666667,0.916666666666667,0.917910447761194,0.927122711504519,0.896043639211219,0.861111111111111,0.867224880382775,0.887896825396825,0.887896825396825,0.927997927997928,0.91765873015873,0.91765873015873,0.89514652014652,0.886519226419744,0.920407172166929,0.947504458144393,0.897435897435897,0.932657983598649,0.940265486725664,0.944856007944389,0.973456079785194,0.949346563407551,0.948693126815102,0.926379043254164,0.902592097445039,0.943775100401606,0.975863966750802,0.970789805141883,0.980392156862745,1.09472264769038,0.958333333333333,0.995,0.988011469942244,1,1.02951269732327,0.963855421686747,0.989123931623932,0.977215189873418,0.979557069846678,1.025390625,1.00566105481529,1.02753529086405,1.05753648396403,1.01017441860465,1.00220032769295,1.00401606425703,1.02543068088597,1.02543068088597,1.02543068088597,1.00401606425703,0.984413453650533,0.983935742971888,0.984413453650533,0.972222222222222,0.97809667673716,0.967413441955194,0.97809667673716,0.959230023542446,0.97809667673716,0.982730263157895,0.987096774193548,0.987096774193548,0.987096774193548,1
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30800898203593,1.28302459278186,1.26324561403509,1.27386363636364,1.26535580524345,1.32142857142857,1.3125,1.28461538461538,1.28571428571429,1.25,1.33056708160443,1.30898242218997,1.32102272727273,1.33333333333333,1.33333333333333,1.42857142857143,1.46666666666667,1.46076923076923,1.38850889192886,1.4,1.36296296296296,1.37113402061856,1.38888888888889,1.45125462772522,1.4,1.42307692307692,1.42745998814464,1.464592760181,1.6,1.5400641025641,1.5625,1.63001165501166,1.55844155844156,1.58653846153846,1.46666666666667,1.49317406143345,1.47058823529412,1.58429118773946,1.64310689310689,1.65639247720365,1.63181818181818,1.66666666666667,1.67894736842105,1.6875,1.62748643761302,1.62699252801993,1.495,1.5,1.46,1.5,1.438,1.5,1.59938271604938,1.625,1.62331081081081,1.69573643410853,1.64310689310689,1.56339285714286,1.58333333333333,1.5625,1.55590277777778,1.559375,1.54545454545455,1.59881128747795,1.63551401869159
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,,,,,,,0.818908738582797,0.770963511532824,0.764852941176471,0.766666666666667,0.746875,0.763559561571559,0.769230769230769,0.75,0.769230769230769,0.777941176470588,0.790562913907285,0.78390352904916,0.781818181818182,0.781654115588591,0.77319587628866,0.799798792756539,0.8125,0.810430772990613,0.768181818181818,0.777649769585253,0.770032051282051,0.765470085470085,0.770588235294118,0.762857142857143,0.760708440495675,0.764705882352941,0.755714285714286,0.740506322250859,0.755714285714286,0.789261801847614,0.772057886013005,0.776349113578804,0.806288032454361,0.82843137254902,0.841786600496278,0.815,0.85,0.852941176470588,0.875644329896907,0.877840909090909,0.837871354066061,0.815658772011941,0.824548192771084,0.814374525436598,0.851470588235294,0.853889943074004,0.894345238095238,0.83741935483871,0.869061413673233,0.828114515768285,0.878569636277006,0.875707177424852,0.892665474060823,0.892665474060823,0.916666666666667,0.916666666666667,0.9565,0.989643999086445,1.00966697502313,1.02402745995423,1.01421800947867,1.05387208855197,1.05837395296011,1.0858713632383,1.09,1.07662337662338,1.0668903803132,1.0655737704918,1.05808080808081,1.10634920634921,1.12587070339176,1.10857142857143,1.13224637681159,1.11940298507463,1.13333333333333,1.12216969077434,1.12126245847176,1.11866694352159,1.13134057971015,1.16185897435897,1.1377245508982,1.17058823529412,1.20694864048338
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,,,,,,,,,,,,,,,,,,,,0.652996798228553,0.685945556566576,0.678413185315026,0.661904761904762,0.676488274203247,0.707213578500707,0.719424460431655,0.721078490475042,0.718132854578097,0.720450993457615,0.708121827411167,0.711077844311377,0.707801418439716,0.707883010104814,0.708932553363397,0.717131524694072,0.721003134796238,0.728155339805825,0.732558507455817,0.724519276309558,0.709539705976761,0.705980066445183,0.717610268717501,0.703101827300754,0.713408213408213,0.728155339805825,0.732356857523302,0.741287128712871,0.748327759197324,0.767421975203078,0.759338013590747,0.746555407005745,0.736989067640485,0.75,0.75896551337545,0.775490120749676,0.773809523809524,0.77245883413197,0.784902597402597,0.785714285714286,0.806241927096439,0.77609456692756,0.784398534295091,0.78125,0.78125,0.777777777777778,0.798053605615827,0.808314087759815,0.81125,0.810113517745303,0.81125,0.80892387081379,0.805084745762712,0.811965811965812,0.829203540411762,0.806451612903226,0.8203125,0.877777777777778,0.907272727272727,0.927487352445194,0.838758044051638,0.881642512077295,0.882427100946279,0.867725184741362,0.874049968895779,0.852057444158872,0.845992237278414,0.86488839053718,0.896286870556437,0.901981311243386,0.925519934828446,0.99249081149235,0.96183719710687,0.952121871599565,0.952121871599565
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,1.3,1.38623326959847,1.4308426073132,1.4961478531856,1.3996138996139,1.5,1.5258879072093,1.48611111111111,1.50443786982249,1.5,1.47843304843305,1.41421568627451,1.46153846153846,1.47826086956522,1.47368421052632,1.48600543478261,1.5375,1.57142857142857,1.582805907173,1.53076923076923,1.53358011634056,1.55539772727273,1.5960257985258,1.5933984375,1.72089710492347,1.74214080714835,1.71722577625215,1.69162345564602,1.77361111111111,1.74548829916275,1.70521390374332,1.72324706923247,1.77801724137931,1.94117647058824,1.84423076923077,1.85527287092626,1.8,1.81534090909091,1.85,1.83333333333333,1.86875,1.96666666666667,2.00945649730216,2.00945649730216,2.005859375,1.95876288659794,2.05154639175258,2.08333333333333,2.08333333333333,2.1,2.09020902090209,2.21096982955063,2.28882833787466,2.31372549019608,2.32318710832587,2.21082854799016,2.11597877358491,2.07142857142857,2.09516214779373,2.11875,2.12666666666667,2.08741830065359,2.20541427399508,2.11764705882353,2.14615384615385,2.23176392572944,2.23571428571429,2.22542004012324,2.25,2.33333333333333,2.395,2.41071428571429,2.35779102929738,2.38461538461538,2.36776534359154,2.3,2.27408737283064,2.36547739969528,2.3,2.275,2.34782608695652,2.38237623541485,2.42105263157895,2.46678700361011,2.47693113306349,2.42085661080074,2.5,2.50723370429253,2.4601593625498,2.54083484573503,2.5,2.47167868177137,2.42424242424242
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42085900068446,1.41414141414141,1.51402359108781,1.4974293059126,1.49253731343284,1.49088541666667,1.63075586446568,1.47619047619048,1.463133640553,1.55735813406022,1.56915726817043,1.4760348583878,1.39009661835749,1.35,1.325,1.3265306122449,1.32470238095238,1.30999537456206,1.325,1.325,1.35860515231658,1.32321428571429,1.27857142857143,1.33336734693878,1.35,1.34960317460317,1.32684426229508
