"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Heather Ridge","Aurora","CO","Denver-Aurora-Lakewood","Arapahoe County",447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215000,236250,247500,252475,261000,261500,254500,259000,257475,254975,259950,259900,262500,254900,251600
"Midtown","Harrisburg","PA","Harrisburg-Carlisle","Dauphin County",448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,92450,89900,89900,89500,89000,89500,89500,94500,96500,95000,90000,92000,91950,96000,94900,92900,98700,104000,99250,99900,98500,98500,99900,107726,109900,111450,119900,119900,114900,111850,114900,115000,109450,109450,99900,109450,97628,105000,107450,114900
"Waltherson","Baltimore","MD","Baltimore-Columbia-Towson","Baltimore City",449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137000,132450,127400,129998,132000,135000,129998,129999,125000,125000,125000,122900,119500,125000,146950,136000,120000,139200,127250,127000,138250,137900,144950,136450,134950,135000,130000,134950,139949.5,134999.5,139999,122500,139999
"Torringford","Torrington","CT","Torrington","Litchfield County",450,167777,167777,164900,168000,165000,169400,169300,167000,163500,165950,159150,159150,159500,159000,149900,149900,149949.5,159950,158400,167450,169900,164900,164400,159900,149900,149900,151900,154450,153700,149000,141950,149000,144900,144900,139900,139900,137900,137900,126000,130950,139900,139900,139900,147000,146500,139900,139249.5,138200,131900,138950,138000,138000,137950,147020.5,149900,149700,139900,135000,135000,133300,131600,129520.5,129141,130750,134900,135000,138000,138950,139900,137750,134700,133000,127950,132900,132950,129900,129900,129900,129950,135000,132500,135000,139900,139900,137450,135000,135000,139900,139900,142900,159900,154375,156825,164900,159900,142400,139900,136400,153400,154900,154900,159900,155400,146990,145900,142400,147450,145000,141900,141900,144999,139900
"Union Park","Des Moines","IA","Des Moines-West Des Moines","Polk County",451,81750,79950,79900,79900,79650,79900,82500,80000,80000,80000,77000,68000,68000,68450,69900,69900,71750,73500,70000,70000,76400,74900,69894,70000,69950,71894,66750,63250,72400,75000,70000,70000,75900,79900,79900,78900,79900,82250,79950,72500,75000,74900,74900,71000,74900,74900,74200,73750,73500,74900,74900,79949.5,76500,76450,77900,77000,74950,74900,73000,74500,75000,72500,71500,74900,74900,77450,82000,79995,83500,79995,79200,81500,83450,84950,79000,77900,77900,75000,76000,85450,84900,79900,84950,85000,75000,87150,87950,82150,87950,82200,89950,94950,93000,89900,89900,89900,89900,84950,85000,90000,95000,92500,95000,105000,109900,109700,109900,109900,99900,108900,107450,108700
"Patterson Park","Baltimore","MD","Baltimore-Columbia-Towson","Baltimore City",452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122250,124500,131000,150000,139900,149900,149900,147450,142350,149900,164900,169900,169900,165000
"Glenham-Belford","Baltimore","MD","Baltimore-Columbia-Towson","Baltimore City",453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,127000,134900,128450,130000,129900,120000,124900,129900,129900,130000,129900,134900,130000,129869.5,130000,129950,124900,130000,140000,140000,131000,122500,132500,125000,117500,120000,112500
"Town Plot","Waterbury","CT","New Haven-Milford","New Haven County",454,129900,134900,139900,129900,129900,129900,132000,133500,129900,129900,132900,129900,129900,128450,124949.5,124950,125000,129900,129450,129900,128900,124900,119900,119900,117000,126900,113000,129900,124900,124900,124900,119900,119900,123200,119900,115500,109450,110000,109900,107450,109900,109900,109900,114000,114000,111950,114450,114900,114900,109900,107450,102400,109000,104900,112450,110000,114900,111500,109900,115750,119500,119000,119900,114900,114900,104900,104900,105000,105750,106500,107950,103250,104900,102400,104900,106450,103950,105950,109900,114900,116900,117450,114950,109900,104900,109650.5,114200.5,114950,125000,117450,119000,119900,119000,116250,117500,124900,116500,124900,124900,124900,129900,126950,126450,118500,117000,123499.5,125000,125900,131450,134108.5,138450,127900
"Hegewisch","Chicago","IL","Chicago-Naperville-Elgin","Cook County",455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93300,94900,89900,89450,85450,83900,89900,85000,85900,92200,105750,94400,95950,98700,97500,98700,95950,110000,112500,119900,118215,119900,123000,124900,124900,115000,117250,119949.5,119700,127900,129900,130000,134900,132000,129000,129990,120000,124000,124950,120000,121910.5,119950,135000,137000
"Bellevue","Schenectady","NY","Albany-Schenectady-Troy","Schenectady County",456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117000,114500,107450,104900,103500,1e+05,99950,104900,104900,99900,99900,99900,99900,99000,94900,94500,95000,94850,95000,95000,92700,94838.5,94888.5,99500,99000,95000,92500,89900,89900,89900,89899,89900,85000,84200,81400,84900,84900,83450,82900,81450,79900,82900,79450,74900,73855,74900,72200,69900,70950,78700,88400,94900,89900,94950,94700,89900,91400,85000,89900,94500,90000,85000,80000,85000,85000,99949.5,99900,104950,99999,99900,89900,94900,99900
