"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"18947","PA","Philadelphia-Camden-Wilmington","Bucks County","Plumstead",11677,2200,-0.0031717263253285,0.00136549840691853,0.00871160018340211,2135
2019-04-30,"22849","VA",,"Page County","Shenandoah",11678,1193,0.00336417157275021,0.00420875420875421,0.0329004329004329,1980
2019-04-30,"14131","NY","Buffalo-Cheektowaga-Niagara Falls","Niagara County","Ransomville",11679,1182,-0.00168918918918919,-0.0117056856187291,-0.0390243902439024,1511
2019-04-30,"56352","MN","St. Cloud","Stearns County","Melrose",11680,1188,-0.0108243130724396,-0.0317848410757946,-0.0769230769230769,1795
2019-04-30,"05089","VT","Claremont-Lebanon","Windsor County","Windsor",11681,1498,-0.03042071197411,0.00402144772117962,0.0746054519368723,1293
2019-04-30,"02108","MA","Boston-Cambridge-Newton","Suffolk County","Boston",11682,3035,0.00730169266511782,0.0126793460126793,0.0150501672240803,2097
2019-04-30,"06250","CT","Hartford-West Hartford-East Hartford","Tolland County","Mansfield",11683,1823,0.00440771349862259,0.0190050307434321,0.136533665835411,2011
2019-04-30,"70657","LA","DeRidder","Beauregard Parish","Ragley",11684,1174,-0.016750418760469,-0.0424143556280587,-0.0297520661157025,925
2019-04-30,"44280","OH","Cleveland-Elyria","Medina County","Valley City",11685,1630,0.00617283950617284,0.00679431747992588,0.0495814552479073,1771
2019-04-30,"02635","MA","Barnstable Town","Barnstable County","Barnstable",11686,2061,0.0112855740922473,0.0274177467597208,0.0651162790697674,2139
2019-04-30,"04578","ME",,"Lincoln County","Wiscasset",11687,1353,0.00370919881305638,0.00669642857142857,0.0423728813559322,1915
2019-04-30,"35175","AL","Albertville","Marshall County","Union Grove",11688,968,-0.00308959835221421,-0.00103199174406605,0.00103412616339193,1821
2019-04-30,"03070","NH","Manchester-Nashua","Hillsborough County","New Boston",11689,1990,0.0065756196256955,0.0184237461617195,0.0681696188942566,2213
2019-04-30,"21087","MD","Baltimore-Columbia-Towson","Baltimore County","Kingsville",11690,1997,-0.00349301397205589,-0.00745526838966203,-0.00100050025012506,2365
2019-04-30,"53061","WI","Appleton","Calumet County","New Holstein",11691,980,-0.0180360721442886,-0.0335305719921105,-0.0558766859344894,1726
2019-04-30,"42053","KY","Paducah","McCracken County","Kevil",11692,933,0,0.00430570505920344,0.048314606741573,1070
2019-04-30,"48049","MI","Detroit-Warren-Dearborn","Saint Clair County","North Street",11693,1096,-0.00272975432211101,-0.00363636363636364,0.0558766859344894,2127
2019-04-30,"59068","MT","Billings","Carbon County","Red Lodge",11694,1221,0.00164068908941756,0.00659521846661171,0.0373831775700935,1843
2019-04-30,"44254","OH","Cleveland-Elyria","Medina County","Lodi",11695,1186,-0.00168350168350168,-0.0108423686405338,0.0197764402407567,1552
2019-04-30,"98251","WA","Seattle-Tacoma-Bellevue","Snohomish County","Gold Bar",11696,1809,-0.00330578512396694,0.00388457269700333,0.0723177237700059,1480
2019-04-30,"98339","WA",,"Jefferson County","Port Hadlock",11697,1556,-0.00256410256410256,-0.00447856685860525,0.0163291966035271,1137
2019-04-30,"53119","WI","Milwaukee-Waukesha-West Allis","Waukesha County","Eagle",11698,1986,-0.00150829562594269,0.00506072874493927,0.0474683544303797,1983
2019-04-30,"71837","AR","Texarkana","Miller County","Fouke",11699,951,0.00210748155953635,0.00105263157894737,0.0149413020277481,829
2019-04-30,"81652","CO","Glenwood Springs","Garfield County","Silt",11700,1725,-0.00173611111111111,0.0189013585351447,0.118677042801556,2022
2019-04-30,"33031","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Homestead",11701,2191,0.00828347906120571,0.015291936978684,-0.0676595744680851,2692
