"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"Jackson Park","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Milwaukee",1936,1214,0.00165016501650165,0.00330578512396694,0.016750418760469,2637
2019-04-30,"Downtown","TX","Austin-Round Rock","Travis County","Austin",1937,2328,0,0.00997830802603037,0.0420769919427037,4265
2019-04-30,"Thunderbird Hills","TX","San Antonio-New Braunfels","Bexar County","San Antonio",1938,1290,0.000775795190069822,0.00545596258768511,0.036144578313253,2087
2019-04-30,"Sauganash","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1939,2338,-0.00170794192997438,-0.00721868365180467,-0.0225752508361204,2477
2019-04-30,"Quail Lakes - Venetian Bridges","CA","Stockton-Lodi","San Joaquin County","Stockton",1940,1659,0.0012070006035003,0.00789793438639125,0.0427404148334381,2326
2019-04-30,"Northeast Bakersfield","CA","Bakersfield","Kern County","Bakersfield",1941,1319,0.0061022120518688,0.012279355333845,0.0410418310970797,1877
2019-04-30,"Springdale","CT","Bridgeport-Stamford-Norwalk","Fairfield County","Stamford",1942,2484,-0.0064,-0.0201183431952663,-0.00480769230769231,2768
2019-04-30,"Kendall Green","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County","Pompano Beach",1943,1718,0.0005824111822947,-0.00174317257408483,0.0443768996960486,1649
2019-04-30,"Westchester-Green Countrie","OH","Columbus","Franklin County","Columbus",1944,1329,-0.00075187969924812,0.00377643504531722,0.0390930414386239,1994
2019-04-30,"Regent","WI","Madison","Dane County","Madison",1945,2342,-0.00127931769722815,0.0147313691507799,0.0455357142857143,1595
2019-04-30,"Amphi","AZ","Tucson","Pima County","Tucson",1946,1011,0.00099009900990099,0.0181268882175227,0.0675818373812038,968
2019-04-30,"Hillsdale","OR","Portland-Vancouver-Hillsboro","Multnomah County","Portland",1947,2157,0.00700280112044818,0.0018578727357176,-0.0253050158156349,2690
2019-04-30,"North Weymouth","MA","Boston-Cambridge-Newton","Norfolk County","Weymouth",1948,2400,0.00125156445556946,0.000834028356964137,0.0300429184549356,3349
2019-04-30,"Back Creek Church Road","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",1949,1457,0.00413507925568573,0.0097020097020097,0.0436962750716332,3398
2019-04-30,"Annadale","NY","New York-Newark-Jersey City","Richmond County","New York",1950,2254,0.00177777777777778,0.00714924039320822,0.0240799636528851,2290
2019-04-30,"Sable Altura Chambers","CO","Denver-Aurora-Lakewood","Arapahoe County","Aurora",1951,1812,0.00443458980044346,0.0145576707726764,0.0419781483611271,1458
2019-04-30,"Collins Garden","TX","San Antonio-New Braunfels","Bexar County","San Antonio",1952,1093,-0.00636363636363636,-0.011754068716094,0.045933014354067,988
2019-04-30,"Oak Forest","AR","Little Rock-North Little Rock-Conway","Pulaski County","Little Rock",1953,727,0.00137741046831956,0.00553250345781466,0.0326704545454545,2981
2019-04-30,"Washington Park","CO","Denver-Aurora-Lakewood","Denver County","Denver",1954,2904,0.00380228136882129,0.0136125654450262,0.056384139687159,3624
2019-04-30,"Thompson Community","TX","San Antonio-New Braunfels","Bexar County","San Antonio",1955,1127,-0.00529567519858782,-0.00265486725663717,0.0857418111753372,1913
2019-04-30,"Montrose Verdugo City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Glendale",1956,2949,-0.000677736360555744,0.00135823429541596,0.0275261324041812,1588
2019-04-30,"North Indian Trail","WA","Spokane-Spokane Valley","Spokane County","Spokane",1957,1586,0.0089058524173028,0.0219072164948454,0.0601604278074866,2638
2019-04-30,"Grant Ferry","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County","Buffalo",1958,973,0.00412796697626419,0.00309278350515464,0.0220588235294118,1894
2019-04-30,"Glenbrook","OH","Columbus","Franklin County","Columbus",1959,1089,-0.00183318056828598,-0.000917431192660551,0.0501446480231437,1551
